date,open,high,low,close,volume
20191223T,94.92,94.92,94.92,94.92,0
20191224T,99.84,99.84,99.84,99.84,0
20191225T,99.84,99.84,99.84,99.84,0
20191226T,100.0,100.0,100.0,100.0,0
20191227T,50.59,50.59,50.59,50.59,0
20191230T,82.43,82.43,82.43,82.43,0
20191231T,73.47,73.47,73.47,73.47,0
20200101T,52.86,52.86,52.86,52.86,0
20200102T,100.0,100.0,100.0,100.0,0
20200103T,99.04,99.04,99.04,99.04,0
20200106T,90.81,90.81,90.81,90.81,0
20200107T,60.34,60.34,60.34,60.34,0
20200108T,99.46,99.46,99.46,99.46,0
20200109T,92.26,92.26,92.26,92.26,0
20200110T,100.0,100.0,100.0,100.0,0
20200413T,100.0,100.0,100.0,100.0,0
20201124T,72.91,72.91,72.91,72.91,0
20201125T,96.4,96.4,96.4,96.4,0
20201126T,71.51,71.51,71.51,71.51,0
20201127T,91.44,91.44,91.44,91.44,0
20201130T,91.44,91.44,91.44,91.44,0
20201201T,67.49,67.49,67.49,67.49,0
20201202T,85.61,85.61,85.61,85.61,0
20201203T,98.63,98.63,98.63,98.63,0
20201204T,53.0,53.0,53.0,53.0,0
20201207T,99.54,99.54,99.54,99.54,0
20201208T,93.66,93.66,93.66,93.66,0
20201209T,94.56,94.56,94.56,94.56,0
20201210T,75.57,75.57,75.57,75.57,0
20201211T,99.91,99.91,99.91,99.91,0
20201214T,100.0,100.0,100.0,100.0,0
20201215T,100.0,100.0,100.0,100.0,0
20201216T,100.0,100.0,100.0,100.0,0
20201217T,99.86,99.86,99.86,99.86,0
