date,open,high,low,close,volume
20191001T,16.81,16.81,16.81,16.81,0
20191003T,9.98,9.98,9.98,9.98,0
20191004T,14.57,14.57,14.57,14.57,0
20191007T,24.35,24.35,24.35,24.35,0
20191008T,24.35,24.35,24.35,24.35,0
20191009T,11.79,11.79,11.79,11.79,0
20191010T,30.56,30.56,30.56,30.56,0
20191011T,18.5,18.5,18.5,18.5,0
20191014T,22.35,22.35,22.35,22.35,0
20191015T,27.71,27.71,27.71,27.71,0
20191016T,45.99,45.99,45.99,45.99,0
20191017T,14.86,14.86,14.86,14.86,0
20191018T,19.98,19.98,19.98,19.98,0
20191021T,19.98,19.98,19.98,19.98,0
20191022T,14.94,14.94,14.94,14.94,0
20191023T,17.98,17.98,17.98,17.98,0
20191024T,21.71,21.71,21.71,21.71,0
20191025T,49.52,49.52,49.52,49.52,0
20191028T,41.13,41.13,41.13,41.13,0
20191029T,52.65,52.65,52.65,52.65,0
20191030T,28.9,28.9,28.9,28.9,0
20191031T,27.57,27.57,27.57,27.57,0
20191101T,24.41,24.41,24.41,24.41,0
20191104T,22.23,22.23,22.23,22.23,0
20191105T,26.86,26.86,26.86,26.86,0
20191106T,23.11,23.11,23.11,23.11,0
20191107T,30.31,30.31,30.31,30.31,0
20191108T,17.62,17.62,17.62,17.62,0
20191111T,21.35,21.35,21.35,21.35,0
20191112T,21.35,21.35,21.35,21.35,0
20191113T,28.71,28.71,28.71,28.71,0
20191114T,20.96,20.96,20.96,20.96,0
20191115T,14.38,14.38,14.38,14.38,0
20191118T,33.21,33.21,33.21,33.21,0
20191119T,40.21,40.21,40.21,40.21,0
20191120T,13.89,13.89,13.89,13.89,0
20191121T,8.39,8.39,8.39,8.39,0
20191122T,22.66,22.66,22.66,22.66,0
20191125T,18.29,18.29,18.29,18.29,0
20191126T,19.98,19.98,19.98,19.98,0
20191127T,16.22,16.22,16.22,16.22,0
20191128T,15.92,15.92,15.92,15.92,0
20191129T,19.01,19.01,19.01,19.01,0
20191202T,12.63,12.63,12.63,12.63,0
20191203T,20.76,20.76,20.76,20.76,0
20191204T,15.1,15.1,15.1,15.1,0
