date,open,high,low,close,volume
20240313T,100.0,100.0,100.0,100.0,0
20240314T,100.0,100.0,100.0,100.0,0
20250324T,97.15,97.15,97.15,97.15,0
20250325T,95.97,95.97,95.97,95.97,0
20250326T,68.36,68.36,68.36,68.36,0
20250327T,82.06,82.06,82.06,82.06,0
20250328T,71.75,71.75,71.75,71.75,0
20250401T,94.91,94.91,94.91,94.91,0
20250402T,70.7,70.7,70.7,70.7,0
20250403T,79.06,79.06,79.06,79.06,0
20250404T,69.53,69.53,69.53,69.53,0
20250407T,84.0,84.0,84.0,84.0,0
20250408T,100.0,100.0,100.0,100.0,0
20250409T,71.75,71.75,71.75,71.75,0
20250411T,98.01,98.01,98.01,98.01,0
20250415T,83.09,83.09,83.09,83.09,0
20250416T,95.71,95.71,95.71,95.71,0
20250417T,93.49,93.49,93.49,93.49,0
20250421T,57.78,57.78,57.78,57.78,0
20250422T,95.57,95.57,95.57,95.57,0
20250423T,56.3,56.3,56.3,56.3,0
20250424T,83.22,83.22,83.22,83.22,0
20250425T,100.0,100.0,100.0,100.0,0
20250428T,62.21,62.21,62.21,62.21,0
20250429T,86.61,86.61,86.61,86.61,0
20250430T,70.84,70.84,70.84,70.84,0
20250502T,96.65,96.65,96.65,96.65,0
20250505T,54.9,54.9,54.9,54.9,0
20250506T,86.8,86.8,86.8,86.8,0
20250507T,85.84,85.84,85.84,85.84,0
20250508T,88.18,88.18,88.18,88.18,0
20250509T,61.79,61.79,61.79,61.79,0
20250512T,98.25,98.25,98.25,98.25,0
20250513T,64.77,64.77,64.77,64.77,0
20250514T,70.89,70.89,70.89,70.89,0
20250515T,90.32,90.32,90.32,90.32,0
20250516T,80.57,80.57,80.57,80.57,0
20250519T,87.74,87.74,87.74,87.74,0
20250520T,90.86,90.86,90.86,90.86,0
20250521T,72.13,72.13,72.13,72.13,0
20250522T,57.52,57.52,57.52,57.52,0
20250523T,65.34,65.34,65.34,65.34,0
20250526T,86.19,86.19,86.19,86.19,0
20250527T,78.97,78.97,78.97,78.97,0
20250528T,73.79,73.79,73.79,73.79,0
20250529T,81.24,81.24,81.24,81.24,0
20250530T,69.53,69.53,69.53,69.53,0
20250602T,67.94,67.94,67.94,67.94,0
20250603T,87.78,87.78,87.78,87.78,0
20250604T,99.85,99.85,99.85,99.85,0
20250605T,99.92,99.92,99.92,99.92,0
20250606T,63.22,63.22,63.22,63.22,0
20250609T,64.56,64.56,64.56,64.56,0
20250610T,76.18,76.18,76.18,76.18,0
20250611T,69.49,69.49,69.49,69.49,0
20250612T,80.88,80.88,80.88,80.88,0
20250714T,91.47,91.47,91.47,91.47,0
20250715T,73.08,73.08,73.08,73.08,0
20250716T,67.32,67.32,67.32,67.32,0
20250717T,75.91,75.91,75.91,75.91,0
20250718T,79.42,79.42,79.42,79.42,0
20250721T,68.95,68.95,68.95,68.95,0
20250722T,82.36,82.36,82.36,82.36,0
20250723T,75.53,75.53,75.53,75.53,0
20250724T,63.66,63.66,63.66,63.66,0
20250725T,63.71,63.71,63.71,63.71,0
20250728T,48.66,48.66,48.66,48.66,0
20250729T,59.09,59.09,59.09,59.09,0
20250730T,79.13,79.13,79.13,79.13,0
20250731T,58.44,58.44,58.44,58.44,0
20250801T,51.66,51.66,51.66,51.66,0
20250804T,77.51,77.51,77.51,77.51,0
20250805T,67.59,67.59,67.59,67.59,0
20250806T,74.92,74.92,74.92,74.92,0
20250807T,55.46,55.46,55.46,55.46,0
20250808T,96.28,96.28,96.28,96.28,0
20250811T,57.09,57.09,57.09,57.09,0
20250812T,74.43,74.43,74.43,74.43,0
20250813T,79.82,79.82,79.82,79.82,0
20250814T,90.55,90.55,90.55,90.55,0
20250818T,60.24,60.24,60.24,60.24,0
20250819T,91.26,91.26,91.26,91.26,0
20250820T,69.94,69.94,69.94,69.94,0
20250821T,51.22,51.22,51.22,51.22,0
20250822T,86.52,86.52,86.52,86.52,0
20250825T,95.93,95.93,95.93,95.93,0
20250826T,66.74,66.74,66.74,66.74,0
20250828T,67.16,67.16,67.16,67.16,0
20250829T,89.66,89.66,89.66,89.66,0
20250901T,70.52,70.52,70.52,70.52,0
20250902T,79.39,79.39,79.39,79.39,0
20250903T,83.58,83.58,83.58,83.58,0
20250904T,57.33,57.33,57.33,57.33,0
20250905T,74.72,74.72,74.72,74.72,0
20250908T,76.98,76.98,76.98,76.98,0
20250909T,78.8,78.8,78.8,78.8,0
20250910T,74.48,74.48,74.48,74.48,0
20250911T,69.56,69.56,69.56,69.56,0
20250912T,70.94,70.94,70.94,70.94,0
20250915T,64.41,64.41,64.41,64.41,0
20250916T,77.45,77.45,77.45,77.45,0
20250917T,81.72,81.72,81.72,81.72,0
20250918T,83.97,83.97,83.97,83.97,0
20250919T,85.47,85.47,85.47,85.47,0
20250922T,58.56,58.56,58.56,58.56,0
20250923T,41.22,41.22,41.22,41.22,0
20250924T,36.68,36.68,36.68,36.68,0
20250925T,62.47,62.47,62.47,62.47,0
20250926T,42.47,42.47,42.47,42.47,0
20250929T,48.21,48.21,48.21,48.21,0
20250930T,56.76,56.76,56.76,56.76,0
20251001T,54.47,54.47,54.47,54.47,0
20251003T,64.66,64.66,64.66,64.66,0
20251006T,54.05,54.05,54.05,54.05,0
20251007T,40.16,40.16,40.16,40.16,0
20251008T,85.12,85.12,85.12,85.12,0
20251009T,80.89,80.89,80.89,80.89,0
20251010T,74.82,74.82,74.82,74.82,0
20251013T,39.77,39.77,39.77,39.77,0
20251014T,55.27,55.27,55.27,55.27,0
20251015T,72.22,72.22,72.22,72.22,0
20251016T,74.31,74.31,74.31,74.31,0
20251017T,85.42,85.42,85.42,85.42,0
20251020T,65.1,65.1,65.1,65.1,0
20251021T,73.95,73.95,73.95,73.95,0
20251022T,73.95,73.95,73.95,73.95,0
20251023T,51.38,51.38,51.38,51.38,0
20251024T,32.09,32.09,32.09,32.09,0
20251027T,42.26,42.26,42.26,42.26,0
20251028T,55.64,55.64,55.64,55.64,0
20251029T,55.81,55.81,55.81,55.81,0
20251030T,55.2,55.2,55.2,55.2,0
20251031T,56.59,56.59,56.59,56.59,0
20251103T,22.5,22.5,22.5,22.5,0
20251104T,77.24,77.24,77.24,77.24,0
20251105T,77.24,77.24,77.24,77.24,0
20251106T,64.9,64.9,64.9,64.9,0
20251107T,32.02,32.02,32.02,32.02,0
20251110T,35.88,35.88,35.88,35.88,0
20251111T,27.8,27.8,27.8,27.8,0
20251112T,61.42,61.42,61.42,61.42,0
20251113T,63.49,63.49,63.49,63.49,0
20251114T,59.57,59.57,59.57,59.57,0
20251117T,69.71,69.71,69.71,69.71,0
20251118T,38.99,38.99,38.99,38.99,0
20251119T,41.91,41.91,41.91,41.91,0
20251120T,54.18,54.18,54.18,54.18,0
20251121T,97.19,97.19,97.19,97.19,0
20251124T,75.93,75.93,75.93,75.93,0
20251125T,96.48,96.48,96.48,96.48,0
20251126T,96.63,96.63,96.63,96.63,0
20251127T,91.56,91.56,91.56,91.56,0
20251128T,88.48,88.48,88.48,88.48,0
20251201T,82.56,82.56,82.56,82.56,0
20251202T,75.13,75.13,75.13,75.13,0
20251203T,36.75,36.75,36.75,36.75,0
20251204T,77.33,77.33,77.33,77.33,0
20251205T,33.74,33.74,33.74,33.74,0
20251208T,82.19,82.19,82.19,82.19,0
20251209T,54.54,54.54,54.54,54.54,0
20251210T,66.22,66.22,66.22,66.22,0
