date,open,high,low,close,volume
20191001T,37.79,37.79,37.79,37.79,0
20191003T,30.7,30.7,30.7,30.7,0
20191004T,30.68,30.68,30.68,30.68,0
20191007T,64.81,64.81,64.81,64.81,0
20191008T,64.81,64.81,64.81,64.81,0
20191009T,64.83,64.83,64.83,64.83,0
20191010T,49.09,49.09,49.09,49.09,0
20191011T,64.69,64.69,64.69,64.69,0
20191014T,60.41,60.41,60.41,60.41,0
20191015T,38.22,38.22,38.22,38.22,0
20191016T,60.41,60.41,60.41,60.41,0
20191017T,42.31,42.31,42.31,42.31,0
20191018T,56.4,56.4,56.4,56.4,0
20191021T,56.4,56.4,56.4,56.4,0
20191022T,36.48,36.48,36.48,36.48,0
20191023T,60.11,60.11,60.11,60.11,0
20191024T,24.96,24.96,24.96,24.96,0
20191025T,61.84,61.84,61.84,61.84,0
20191028T,34.98,34.98,34.98,34.98,0
20191029T,44.82,44.82,44.82,44.82,0
20191030T,62.91,62.91,62.91,62.91,0
20191031T,51.7,51.7,51.7,51.7,0
20191101T,52.55,52.55,52.55,52.55,0
20191104T,59.28,59.28,59.28,59.28,0
20191105T,31.35,31.35,31.35,31.35,0
20191106T,31.44,31.44,31.44,31.44,0
20191107T,61.21,61.21,61.21,61.21,0
20191108T,50.06,50.06,50.06,50.06,0
20191111T,52.31,52.31,52.31,52.31,0
20191112T,52.31,52.31,52.31,52.31,0
20191113T,57.55,57.55,57.55,57.55,0
20191114T,67.67,67.67,67.67,67.67,0
20191115T,58.97,58.97,58.97,58.97,0
20191118T,59.77,59.77,59.77,59.77,0
20191119T,55.43,55.43,55.43,55.43,0
20191120T,55.52,55.52,55.52,55.52,0
20191121T,58.14,58.14,58.14,58.14,0
20191122T,52.72,52.72,52.72,52.72,0
20191125T,59.9,59.9,59.9,59.9,0
20191126T,29.89,29.89,29.89,29.89,0
20191127T,38.11,38.11,38.11,38.11,0
20191128T,59.84,59.84,59.84,59.84,0
20191129T,47.5,47.5,47.5,47.5,0
20191202T,57.65,57.65,57.65,57.65,0
20191203T,66.5,66.5,66.5,66.5,0
20191204T,50.35,50.35,50.35,50.35,0
20191205T,44.84,44.84,44.84,44.84,0
20191206T,65.8,65.8,65.8,65.8,0
20191209T,59.72,59.72,59.72,59.72,0
20191210T,67.61,67.61,67.61,67.61,0
20191211T,54.01,54.01,54.01,54.01,0
20191212T,63.94,63.94,63.94,63.94,0
20191213T,56.34,56.34,56.34,56.34,0
20191216T,35.31,35.31,35.31,35.31,0
20191217T,49.89,49.89,49.89,49.89,0
20191218T,18.33,18.33,18.33,18.33,0
20191219T,57.59,57.59,57.59,57.59,0
20191220T,72.08,72.08,72.08,72.08,0
20191223T,62.04,62.04,62.04,62.04,0
20191224T,45.7,45.7,45.7,45.7,0
20191225T,45.7,45.7,45.7,45.7,0
20191226T,46.34,46.34,46.34,46.34,0
20191227T,41.93,41.93,41.93,41.93,0
20191230T,35.54,35.54,35.54,35.54,0
20191231T,47.26,47.26,47.26,47.26,0
20200101T,70.76,70.76,70.76,70.76,0
20200102T,56.19,56.19,56.19,56.19,0
20200103T,44.03,44.03,44.03,44.03,0
20200106T,59.74,59.74,59.74,59.74,0
20200107T,72.63,72.63,72.63,72.63,0
20200108T,65.53,65.53,65.53,65.53,0
20200109T,44.54,44.54,44.54,44.54,0
20200110T,39.59,39.59,39.59,39.59,0
20200113T,34.08,34.08,34.08,34.08,0
20200114T,39.97,39.97,39.97,39.97,0
20200115T,43.51,43.51,43.51,43.51,0
20200116T,43.21,43.21,43.21,43.21,0
20200117T,64.65,64.65,64.65,64.65,0
20200120T,63.1,63.1,63.1,63.1,0
20200121T,45.36,45.36,45.36,45.36,0
20200122T,34.86,34.86,34.86,34.86,0
20200123T,58.99,58.99,58.99,58.99,0
20200124T,61.11,61.11,61.11,61.11,0
20200127T,59.87,59.87,59.87,59.87,0
20200128T,51.94,51.94,51.94,51.94,0
20200129T,60.12,60.12,60.12,60.12,0
20200130T,64.81,64.81,64.81,64.81,0
20200131T,65.85,65.85,65.85,65.85,0
20200203T,68.69,68.69,68.69,68.69,0
20200204T,70.29,70.29,70.29,70.29,0
20200205T,78.33,78.33,78.33,78.33,0
20200206T,66.69,66.69,66.69,66.69,0
20200207T,75.68,75.68,75.68,75.68,0
20200210T,17.89,17.89,17.89,17.89,0
20200211T,37.29,37.29,37.29,37.29,0
20200212T,34.32,34.32,34.32,34.32,0
20200213T,49.3,49.3,49.3,49.3,0
20200214T,60.28,60.28,60.28,60.28,0
20200217T,67.32,67.32,67.32,67.32,0
20200218T,58.05,58.05,58.05,58.05,0
