date,open,high,low,close,volume
20240808T,49.47,49.47,49.47,49.47,0
20240809T,57.55,57.55,57.55,57.55,0
20240812T,59.67,59.67,59.67,59.67,0
20240813T,48.73,48.73,48.73,48.73,0
20240814T,57.19,57.19,57.19,57.19,0
20240816T,66.29,66.29,66.29,66.29,0
20240819T,57.42,57.42,57.42,57.42,0
20240820T,47.41,47.41,47.41,47.41,0
20240821T,41.32,41.32,41.32,41.32,0
20240822T,65.16,65.16,65.16,65.16,0
20240823T,61.26,61.26,61.26,61.26,0
20240826T,42.26,42.26,42.26,42.26,0
20240827T,39.43,39.43,39.43,39.43,0
20240828T,52.8,52.8,52.8,52.8,0
20240829T,49.16,49.16,49.16,49.16,0
20240830T,60.06,60.06,60.06,60.06,0
20240902T,60.51,60.51,60.51,60.51,0
20240903T,63.81,63.81,63.81,63.81,0
20240904T,62.9,62.9,62.9,62.9,0
20240905T,53.48,53.48,53.48,53.48,0
20240906T,66.35,66.35,66.35,66.35,0
20240909T,51.67,51.67,51.67,51.67,0
20240910T,28.29,28.29,28.29,28.29,0
20240911T,39.92,39.92,39.92,39.92,0
20240912T,48.58,48.58,48.58,48.58,0
20240913T,60.7,60.7,60.7,60.7,0
20240916T,61.0,61.0,61.0,61.0,0
20240917T,54.72,54.72,54.72,54.72,0
20240918T,63.09,63.09,63.09,63.09,0
20240919T,49.24,49.24,49.24,49.24,0
20240920T,56.74,56.74,56.74,56.74,0
20240923T,49.56,49.56,49.56,49.56,0
20240924T,56.52,56.52,56.52,56.52,0
20240925T,56.72,56.72,56.72,56.72,0
20240926T,59.2,59.2,59.2,59.2,0
20240927T,65.39,65.39,65.39,65.39,0
20240930T,49.94,49.94,49.94,49.94,0
20241001T,81.71,81.71,81.71,81.71,0
20241003T,56.15,56.15,56.15,56.15,0
20241004T,56.0,56.0,56.0,56.0,0
20241007T,69.02,69.02,69.02,69.02,0
20241008T,71.66,71.66,71.66,71.66,0
20241009T,70.4,70.4,70.4,70.4,0
20241010T,55.02,55.02,55.02,55.02,0
20241011T,30.01,30.01,30.01,30.01,0
20241014T,42.9,42.9,42.9,42.9,0
20241015T,54.29,54.29,54.29,54.29,0
