date,open,high,low,close,volume
20250203T,95.23,95.23,95.23,95.23,0
20250204T,65.94,65.94,65.94,65.94,0
20250205T,74.64,74.64,74.64,74.64,0
20250206T,62.45,62.45,62.45,62.45,0
20250207T,72.22,72.22,72.22,72.22,0
20250210T,92.65,92.65,92.65,92.65,0
20250211T,77.1,77.1,77.1,77.1,0
20250212T,71.7,71.7,71.7,71.7,0
20250213T,82.78,82.78,82.78,82.78,0
20250214T,50.61,50.61,50.61,50.61,0
20250217T,100.0,100.0,100.0,100.0,0
20250218T,60.72,60.72,60.72,60.72,0
20250219T,49.82,49.82,49.82,49.82,0
20250220T,47.18,47.18,47.18,47.18,0
20250221T,63.21,63.21,63.21,63.21,0
20250224T,85.39,85.39,85.39,85.39,0
20250225T,54.94,54.94,54.94,54.94,0
20250227T,86.91,86.91,86.91,86.91,0
20250228T,82.88,82.88,82.88,82.88,0
20250303T,68.89,68.89,68.89,68.89,0
20250304T,76.7,76.7,76.7,76.7,0
20250305T,79.64,79.64,79.64,79.64,0
20250306T,78.39,78.39,78.39,78.39,0
20250307T,90.0,90.0,90.0,90.0,0
20250310T,76.29,76.29,76.29,76.29,0
20250311T,76.54,76.54,76.54,76.54,0
20250312T,67.69,67.69,67.69,67.69,0
20250313T,87.44,87.44,87.44,87.44,0
20250317T,55.18,55.18,55.18,55.18,0
20250318T,84.91,84.91,84.91,84.91,0
20250319T,72.56,72.56,72.56,72.56,0
20250320T,96.89,96.89,96.89,96.89,0
20250818T,86.54,86.54,86.54,86.54,0
20250819T,18.42,18.42,18.42,18.42,0
20250820T,72.81,72.81,72.81,72.81,0
20250821T,91.4,91.4,91.4,91.4,0
20250822T,66.9,66.9,66.9,66.9,0
20250825T,62.16,62.16,62.16,62.16,0
20250826T,42.77,42.77,42.77,42.77,0
20250828T,51.53,51.53,51.53,51.53,0
20250829T,64.42,64.42,64.42,64.42,0
20250901T,82.45,82.45,82.45,82.45,0
20250902T,71.65,71.65,71.65,71.65,0
20250903T,84.66,84.66,84.66,84.66,0
20250904T,74.39,74.39,74.39,74.39,0
20250905T,79.75,79.75,79.75,79.75,0
20250908T,71.9,71.9,71.9,71.9,0
20250909T,66.95,66.95,66.95,66.95,0
20250910T,67.61,67.61,67.61,67.61,0
20250911T,72.82,72.82,72.82,72.82,0
20250912T,85.73,85.73,85.73,85.73,0
20250915T,77.61,77.61,77.61,77.61,0
20250916T,100.0,100.0,100.0,100.0,0
20250917T,100.0,100.0,100.0,100.0,0
20250918T,100.0,100.0,100.0,100.0,0
20250919T,100.0,100.0,100.0,100.0,0
20250922T,100.0,100.0,100.0,100.0,0
20250923T,51.28,51.28,51.28,51.28,0
20250924T,54.59,54.59,54.59,54.59,0
20250925T,71.06,71.06,71.06,71.06,0
20250926T,51.97,51.97,51.97,51.97,0
20250929T,45.83,45.83,45.83,45.83,0
20250930T,74.73,74.73,74.73,74.73,0
20251001T,64.71,64.71,64.71,64.71,0
20251003T,77.16,77.16,77.16,77.16,0
20251006T,65.58,65.58,65.58,65.58,0
20251007T,85.05,85.05,85.05,85.05,0
20251008T,76.21,76.21,76.21,76.21,0
20251009T,47.21,47.21,47.21,47.21,0
20251010T,79.62,79.62,79.62,79.62,0
20251013T,74.45,74.45,74.45,74.45,0
20251014T,79.5,79.5,79.5,79.5,0
20251015T,75.94,75.94,75.94,75.94,0
20251016T,72.47,72.47,72.47,72.47,0
20251017T,84.62,84.62,84.62,84.62,0
20251020T,66.66,66.66,66.66,66.66,0
20251021T,100.0,100.0,100.0,100.0,0
20251022T,100.0,100.0,100.0,100.0,0
20251023T,76.01,76.01,76.01,76.01,0
20251024T,84.06,84.06,84.06,84.06,0
20251027T,74.68,74.68,74.68,74.68,0
20251028T,64.61,64.61,64.61,64.61,0
20251029T,71.62,71.62,71.62,71.62,0
20251030T,71.3,71.3,71.3,71.3,0
20251031T,55.2,55.2,55.2,55.2,0
20251103T,75.91,75.91,75.91,75.91,0
20251104T,79.01,79.01,79.01,79.01,0
20251105T,79.01,79.01,79.01,79.01,0
20251106T,85.03,85.03,85.03,85.03,0
20251107T,83.63,83.63,83.63,83.63,0
20251110T,86.61,86.61,86.61,86.61,0
20251111T,79.08,79.08,79.08,79.08,0
20251112T,81.93,81.93,81.93,81.93,0
20251113T,59.34,59.34,59.34,59.34,0
20251114T,56.41,56.41,56.41,56.41,0
20251117T,61.7,61.7,61.7,61.7,0
20251118T,59.14,59.14,59.14,59.14,0
20251119T,77.64,77.64,77.64,77.64,0
20251120T,68.92,68.92,68.92,68.92,0
20251121T,85.84,85.84,85.84,85.84,0
20251124T,88.82,88.82,88.82,88.82,0
