date,open,high,low,close,volume
20191001T,70.01,70.01,70.01,70.01,0
20191003T,63.2,63.2,63.2,63.2,0
20191004T,79.14,79.14,79.14,79.14,0
20191007T,71.02,71.02,71.02,71.02,0
20191008T,71.02,71.02,71.02,71.02,0
20191009T,93.9,93.9,93.9,93.9,0
20191010T,56.62,56.62,56.62,56.62,0
20191011T,63.08,63.08,63.08,63.08,0
20191014T,50.86,50.86,50.86,50.86,0
20191015T,65.76,65.76,65.76,65.76,0
20191016T,87.01,87.01,87.01,87.01,0
20191017T,74.01,74.01,74.01,74.01,0
20191018T,75.32,75.32,75.32,75.32,0
20191021T,75.32,75.32,75.32,75.32,0
20191022T,64.64,64.64,64.64,64.64,0
20191023T,72.54,72.54,72.54,72.54,0
20191024T,47.37,47.37,47.37,47.37,0
20191025T,69.36,69.36,69.36,69.36,0
20191028T,73.61,73.61,73.61,73.61,0
20191029T,61.84,61.84,61.84,61.84,0
20191030T,55.42,55.42,55.42,55.42,0
20191031T,66.03,66.03,66.03,66.03,0
20191101T,65.77,65.77,65.77,65.77,0
20191104T,74.84,74.84,74.84,74.84,0
20191105T,24.76,24.76,24.76,24.76,0
20191106T,89.44,89.44,89.44,89.44,0
20191107T,85.87,85.87,85.87,85.87,0
20191108T,86.6,86.6,86.6,86.6,0
20191111T,89.4,89.4,89.4,89.4,0
20191112T,89.4,89.4,89.4,89.4,0
20191113T,89.64,89.64,89.64,89.64,0
20191114T,86.49,86.49,86.49,86.49,0
20191115T,72.91,72.91,72.91,72.91,0
20191118T,70.74,70.74,70.74,70.74,0
20191119T,88.46,88.46,88.46,88.46,0
20191120T,92.8,92.8,92.8,92.8,0
20191121T,97.38,97.38,97.38,97.38,0
20191122T,94.87,94.87,94.87,94.87,0
20191125T,86.12,86.12,86.12,86.12,0
20191126T,67.93,67.93,67.93,67.93,0
20191127T,83.4,83.4,83.4,83.4,0
20191128T,84.85,84.85,84.85,84.85,0
20191129T,63.13,63.13,63.13,63.13,0
20191202T,89.34,89.34,89.34,89.34,0
20191203T,82.36,82.36,82.36,82.36,0
20191204T,92.01,92.01,92.01,92.01,0
20191205T,87.93,87.93,87.93,87.93,0
20191206T,97.8,97.8,97.8,97.8,0
20191209T,72.28,72.28,72.28,72.28,0
20191210T,84.13,84.13,84.13,84.13,0
20191211T,70.87,70.87,70.87,70.87,0
20191212T,70.52,70.52,70.52,70.52,0
