date,open,high,low,close,volume
20211118T,43.41,43.41,43.41,43.41,0
20211119T,43.41,43.41,43.41,43.41,0
20211122T,26.82,26.82,26.82,26.82,0
20211123T,33.15,33.15,33.15,33.15,0
20211124T,31.33,31.33,31.33,31.33,0
20211125T,37.97,37.97,37.97,37.97,0
20211126T,53.1,53.1,53.1,53.1,0
20211129T,51.83,51.83,51.83,51.83,0
20211130T,46.79,46.79,46.79,46.79,0
20211201T,42.53,42.53,42.53,42.53,0
20211202T,42.62,42.62,42.62,42.62,0
20211203T,43.81,43.81,43.81,43.81,0
20211206T,41.6,41.6,41.6,41.6,0
20211207T,48.03,48.03,48.03,48.03,0
20211208T,34.03,34.03,34.03,34.03,0
20211209T,43.42,43.42,43.42,43.42,0
20211210T,43.7,43.7,43.7,43.7,0
20211213T,73.84,73.84,73.84,73.84,0
20211214T,61.25,61.25,61.25,61.25,0
20211215T,70.12,70.12,70.12,70.12,0
20211216T,47.53,47.53,47.53,47.53,0
20211217T,58.02,58.02,58.02,58.02,0
20211220T,47.44,47.44,47.44,47.44,0
20211221T,67.97,67.97,67.97,67.97,0
20211222T,64.9,64.9,64.9,64.9,0
20211223T,62.28,62.28,62.28,62.28,0
20211224T,45.18,45.18,45.18,45.18,0
20211227T,65.0,65.0,65.0,65.0,0
20211228T,82.64,82.64,82.64,82.64,0
20211229T,47.79,47.79,47.79,47.79,0
20211230T,56.89,56.89,56.89,56.89,0
20211231T,60.68,60.68,60.68,60.68,0
20220103T,51.33,51.33,51.33,51.33,0
20220104T,58.46,58.46,58.46,58.46,0
20220105T,39.6,39.6,39.6,39.6,0
20220106T,49.66,49.66,49.66,49.66,0
20220107T,40.68,40.68,40.68,40.68,0
20220110T,38.3,38.3,38.3,38.3,0
20220111T,39.86,39.86,39.86,39.86,0
20220112T,33.14,33.14,33.14,33.14,0
20220113T,51.1,51.1,51.1,51.1,0
20220114T,52.59,52.59,52.59,52.59,0
20220117T,49.6,49.6,49.6,49.6,0
20220118T,59.0,59.0,59.0,59.0,0
20220119T,64.07,64.07,64.07,64.07,0
20220120T,54.36,54.36,54.36,54.36,0
20220121T,52.57,52.57,52.57,52.57,0
20220124T,52.45,52.45,52.45,52.45,0
20220125T,50.65,50.65,50.65,50.65,0
20220127T,56.3,56.3,56.3,56.3,0
20220128T,48.92,48.92,48.92,48.92,0
20220131T,61.92,61.92,61.92,61.92,0
20220201T,44.53,44.53,44.53,44.53,0
20220202T,71.58,71.58,71.58,71.58,0
20220203T,75.79,75.79,75.79,75.79,0
20220204T,74.36,74.36,74.36,74.36,0
20220207T,54.58,54.58,54.58,54.58,0
20220208T,28.95,28.95,28.95,28.95,0
20220209T,44.93,44.93,44.93,44.93,0
20220210T,55.58,55.58,55.58,55.58,0
20220211T,52.38,52.38,52.38,52.38,0
20220214T,37.8,37.8,37.8,37.8,0
20220215T,31.07,31.07,31.07,31.07,0
20220216T,47.43,47.43,47.43,47.43,0
20220217T,28.16,28.16,28.16,28.16,0
20220218T,51.46,51.46,51.46,51.46,0
20220221T,56.76,56.76,56.76,56.76,0
20220222T,59.07,59.07,59.07,59.07,0
20220223T,56.66,56.66,56.66,56.66,0
20220224T,68.1,68.1,68.1,68.1,0
20220225T,42.87,42.87,42.87,42.87,0
20220228T,49.64,49.64,49.64,49.64,0
20220301T,49.64,49.64,49.64,49.64,0
20220302T,73.98,73.98,73.98,73.98,0
20220303T,46.85,46.85,46.85,46.85,0
20220304T,35.01,35.01,35.01,35.01,0
20220307T,71.72,71.72,71.72,71.72,0
20220308T,63.66,63.66,63.66,63.66,0
20220309T,69.21,69.21,69.21,69.21,0
20220310T,49.49,49.49,49.49,49.49,0
20220311T,57.53,57.53,57.53,57.53,0
20220314T,46.27,46.27,46.27,46.27,0
20220315T,54.89,54.89,54.89,54.89,0
20220316T,31.14,31.14,31.14,31.14,0
20220317T,50.99,50.99,50.99,50.99,0
20220318T,50.99,50.99,50.99,50.99,0
20220321T,46.98,46.98,46.98,46.98,0
20220322T,41.04,41.04,41.04,41.04,0
20220323T,52.56,52.56,52.56,52.56,0
20220324T,51.39,51.39,51.39,51.39,0
20220325T,47.54,47.54,47.54,47.54,0
20220328T,69.24,69.24,69.24,69.24,0
20220329T,47.83,47.83,47.83,47.83,0
20220330T,45.34,45.34,45.34,45.34,0
20220331T,55.94,55.94,55.94,55.94,0
20220401T,43.98,43.98,43.98,43.98,0
20220404T,53.6,53.6,53.6,53.6,0
20220405T,42.76,42.76,42.76,42.76,0
20220406T,44.26,44.26,44.26,44.26,0
20220407T,50.47,50.47,50.47,50.47,0
20220408T,43.62,43.62,43.62,43.62,0
20220411T,60.88,60.88,60.88,60.88,0
20220412T,57.46,57.46,57.46,57.46,0
20220413T,48.56,48.56,48.56,48.56,0
20220414T,48.56,48.56,48.56,48.56,0
20220415T,48.56,48.56,48.56,48.56,0
20220418T,77.53,77.53,77.53,77.53,0
20220419T,50.03,50.03,50.03,50.03,0
20220420T,73.04,73.04,73.04,73.04,0
20220421T,81.43,81.43,81.43,81.43,0
20220422T,74.29,74.29,74.29,74.29,0
20220425T,44.28,44.28,44.28,44.28,0
20220426T,51.86,51.86,51.86,51.86,0
20220427T,67.32,67.32,67.32,67.32,0
20220428T,64.96,64.96,64.96,64.96,0
20220429T,51.86,51.86,51.86,51.86,0
20220502T,56.16,56.16,56.16,56.16,0
20220503T,56.16,56.16,56.16,56.16,0
20220504T,65.09,65.09,65.09,65.09,0
20220505T,58.33,58.33,58.33,58.33,0
20220506T,85.45,85.45,85.45,85.45,0
20220509T,74.68,74.68,74.68,74.68,0
20220510T,79.21,79.21,79.21,79.21,0
20220511T,54.96,54.96,54.96,54.96,0
20220512T,60.41,60.41,60.41,60.41,0
20220513T,54.9,54.9,54.9,54.9,0
20220516T,51.81,51.81,51.81,51.81,0
20220517T,32.1,32.1,32.1,32.1,0
20220518T,44.17,44.17,44.17,44.17,0
20220519T,52.05,52.05,52.05,52.05,0
20220520T,42.66,42.66,42.66,42.66,0
20220523T,50.62,50.62,50.62,50.62,0
20220524T,52.61,52.61,52.61,52.61,0
20220525T,49.28,49.28,49.28,49.28,0
20220526T,34.54,34.54,34.54,34.54,0
20220527T,34.0,34.0,34.0,34.0,0
20220530T,40.36,40.36,40.36,40.36,0
20220531T,63.05,63.05,63.05,63.05,0
20220601T,47.81,47.81,47.81,47.81,0
20220602T,33.71,33.71,33.71,33.71,0
20220603T,45.46,45.46,45.46,45.46,0
20220606T,56.34,56.34,56.34,56.34,0
20220607T,54.88,54.88,54.88,54.88,0
20220608T,54.33,54.33,54.33,54.33,0
20220609T,47.07,47.07,47.07,47.07,0
20220610T,50.32,50.32,50.32,50.32,0
20220613T,67.28,67.28,67.28,67.28,0
