date,open,high,low,close,volume
20191001T,30.58,30.58,30.58,30.58,0
20191003T,24.45,24.45,24.45,24.45,0
20191004T,31.52,31.52,31.52,31.52,0
20191007T,57.54,57.54,57.54,57.54,0
20191008T,57.54,57.54,57.54,57.54,0
20191009T,56.28,56.28,56.28,56.28,0
20191010T,32.33,32.33,32.33,32.33,0
20191011T,61.93,61.93,61.93,61.93,0
20191014T,29.35,29.35,29.35,29.35,0
20191015T,39.14,39.14,39.14,39.14,0
20191016T,74.73,74.73,74.73,74.73,0
20191017T,55.12,55.12,55.12,55.12,0
20191018T,75.91,75.91,75.91,75.91,0
20191021T,75.91,75.91,75.91,75.91,0
20191022T,42.39,42.39,42.39,42.39,0
20191023T,86.55,86.55,86.55,86.55,0
20191024T,85.93,85.93,85.93,85.93,0
20191025T,21.6,21.6,21.6,21.6,0
20191028T,78.2,78.2,78.2,78.2,0
20191029T,49.59,49.59,49.59,49.59,0
20191030T,80.29,80.29,80.29,80.29,0
20191031T,80.15,80.15,80.15,80.15,0
20191101T,82.2,82.2,82.2,82.2,0
20191104T,56.64,56.64,56.64,56.64,0
20191105T,58.5,58.5,58.5,58.5,0
20191106T,49.77,49.77,49.77,49.77,0
20191107T,41.02,41.02,41.02,41.02,0
20191108T,49.84,49.84,49.84,49.84,0
20191111T,45.49,45.49,45.49,45.49,0
20191112T,45.49,45.49,45.49,45.49,0
20191113T,34.3,34.3,34.3,34.3,0
20191114T,33.0,33.0,33.0,33.0,0
20191115T,33.72,33.72,33.72,33.72,0
20191118T,57.05,57.05,57.05,57.05,0
20191119T,72.76,72.76,72.76,72.76,0
20191120T,77.94,77.94,77.94,77.94,0
20191121T,34.95,34.95,34.95,34.95,0
20191122T,11.08,11.08,11.08,11.08,0
20191125T,45.43,45.43,45.43,45.43,0
20191126T,66.13,66.13,66.13,66.13,0
20191127T,62.07,62.07,62.07,62.07,0
20191128T,58.52,58.52,58.52,58.52,0
20191129T,60.63,60.63,60.63,60.63,0
20191202T,79.59,79.59,79.59,79.59,0
20191203T,57.16,57.16,57.16,57.16,0
20191204T,31.21,31.21,31.21,31.21,0
20191205T,56.62,56.62,56.62,56.62,0
20191206T,50.21,50.21,50.21,50.21,0
20191209T,27.49,27.49,27.49,27.49,0
20191210T,62.0,62.0,62.0,62.0,0
20191211T,82.71,82.71,82.71,82.71,0
20191212T,46.84,46.84,46.84,46.84,0
20191213T,90.47,90.47,90.47,90.47,0
20191216T,32.88,32.88,32.88,32.88,0
20191217T,85.7,85.7,85.7,85.7,0
20191218T,54.94,54.94,54.94,54.94,0
20191219T,51.18,51.18,51.18,51.18,0
20191220T,65.96,65.96,65.96,65.96,0
20191223T,63.35,63.35,63.35,63.35,0
20191224T,37.61,37.61,37.61,37.61,0
20191225T,37.61,37.61,37.61,37.61,0
20191226T,55.89,55.89,55.89,55.89,0
20191227T,50.77,50.77,50.77,50.77,0
20191230T,37.58,37.58,37.58,37.58,0
20191231T,11.92,11.92,11.92,11.92,0
20200101T,53.3,53.3,53.3,53.3,0
20200102T,46.8,46.8,46.8,46.8,0
20200103T,29.78,29.78,29.78,29.78,0
20200106T,37.58,37.58,37.58,37.58,0
20200107T,65.56,65.56,65.56,65.56,0
20200108T,43.39,43.39,43.39,43.39,0
20200109T,48.48,48.48,48.48,48.48,0
20200110T,55.23,55.23,55.23,55.23,0
20200113T,51.35,51.35,51.35,51.35,0
20200114T,47.69,47.69,47.69,47.69,0
20200115T,57.24,57.24,57.24,57.24,0
20200116T,43.84,43.84,43.84,43.84,0
20200117T,61.03,61.03,61.03,61.03,0
20200120T,32.76,32.76,32.76,32.76,0
20200121T,46.93,46.93,46.93,46.93,0
20200122T,12.25,12.25,12.25,12.25,0
20200123T,37.01,37.01,37.01,37.01,0
20200124T,37.52,37.52,37.52,37.52,0
20200127T,25.39,25.39,25.39,25.39,0
20200128T,11.76,11.76,11.76,11.76,0
20200129T,46.59,46.59,46.59,46.59,0
20200130T,62.13,62.13,62.13,62.13,0
20200131T,58.06,58.06,58.06,58.06,0
20200203T,54.92,54.92,54.92,54.92,0
20200204T,89.75,89.75,89.75,89.75,0
20200205T,33.82,33.82,33.82,33.82,0
20200206T,72.74,72.74,72.74,72.74,0
20200207T,66.12,66.12,66.12,66.12,0
20200210T,53.3,53.3,53.3,53.3,0
20200211T,46.98,46.98,46.98,46.98,0
20200212T,55.98,55.98,55.98,55.98,0
20200213T,33.38,33.38,33.38,33.38,0
20200214T,37.34,37.34,37.34,37.34,0
20200217T,65.94,65.94,65.94,65.94,0
20200218T,77.84,77.84,77.84,77.84,0
20200219T,58.46,58.46,58.46,58.46,0
20200220T,8.53,8.53,8.53,8.53,0
20200221T,8.53,8.53,8.53,8.53,0
20200224T,66.48,66.48,66.48,66.48,0
20200225T,50.65,50.65,50.65,50.65,0
20200226T,65.4,65.4,65.4,65.4,0
20200227T,64.68,64.68,64.68,64.68,0
20200228T,87.04,87.04,87.04,87.04,0
20200302T,84.35,84.35,84.35,84.35,0
20200303T,92.34,92.34,92.34,92.34,0
20200304T,56.22,56.22,56.22,56.22,0
20200305T,66.71,66.71,66.71,66.71,0
20200306T,48.28,48.28,48.28,48.28,0
20200309T,95.99,95.99,95.99,95.99,0
20200310T,95.99,95.99,95.99,95.99,0
20200311T,98.49,98.49,98.49,98.49,0
20200312T,70.66,70.66,70.66,70.66,0
20200313T,72.32,72.32,72.32,72.32,0
20200316T,94.82,94.82,94.82,94.82,0
20200317T,61.41,61.41,61.41,61.41,0
20200318T,63.0,63.0,63.0,63.0,0
20200319T,97.55,97.55,97.55,97.55,0
20200320T,89.35,89.35,89.35,89.35,0
20200323T,62.27,62.27,62.27,62.27,0
20200324T,86.47,86.47,86.47,86.47,0
20200325T,82.04,82.04,82.04,82.04,0
20200326T,94.2,94.2,94.2,94.2,0
20200327T,75.47,75.47,75.47,75.47,0
20200330T,86.45,86.45,86.45,86.45,0
20200331T,99.43,99.43,99.43,99.43,0
20200401T,90.16,90.16,90.16,90.16,0
20200402T,90.16,90.16,90.16,90.16,0
20200403T,52.73,52.73,52.73,52.73,0
20200406T,52.73,52.73,52.73,52.73,0
20200407T,91.0,91.0,91.0,91.0,0
20200408T,49.23,49.23,49.23,49.23,0
20200409T,92.81,92.81,92.81,92.81,0
20200410T,92.81,92.81,92.81,92.81,0
20200527T,82.43,82.43,82.43,82.43,0
20200528T,67.67,67.67,67.67,67.67,0
20200529T,95.62,95.62,95.62,95.62,0
20200601T,96.67,96.67,96.67,96.67,0
20200602T,91.54,91.54,91.54,91.54,0
20200603T,98.0,98.0,98.0,98.0,0
20200604T,68.7,68.7,68.7,68.7,0
20200605T,97.92,97.92,97.92,97.92,0
20200608T,57.89,57.89,57.89,57.89,0
20200609T,74.22,74.22,74.22,74.22,0
20200610T,37.61,37.61,37.61,37.61,0
20200611T,77.83,77.83,77.83,77.83,0
20200612T,84.94,84.94,84.94,84.94,0
20200615T,21.23,21.23,21.23,21.23,0
20200616T,25.37,25.37,25.37,25.37,0
20200617T,92.1,92.1,92.1,92.1,0
20200618T,73.57,73.57,73.57,73.57,0
20200619T,57.08,57.08,57.08,57.08,0
20200622T,85.22,85.22,85.22,85.22,0
20200623T,72.28,72.28,72.28,72.28,0
20200624T,55.73,55.73,55.73,55.73,0
20200625T,87.25,87.25,87.25,87.25,0
20200626T,77.49,77.49,77.49,77.49,0
20200629T,84.18,84.18,84.18,84.18,0
20200630T,62.61,62.61,62.61,62.61,0
20200701T,45.66,45.66,45.66,45.66,0
