date,open,high,low,close,volume
20191001T,61.17,61.17,61.17,61.17,0
20191003T,55.98,55.98,55.98,55.98,0
20191004T,100.0,100.0,100.0,100.0,0
20191007T,85.34,85.34,85.34,85.34,0
20191008T,85.34,85.34,85.34,85.34,0
20191009T,100.0,100.0,100.0,100.0,0
20191010T,86.7,86.7,86.7,86.7,0
20191011T,100.0,100.0,100.0,100.0,0
20191014T,91.55,91.55,91.55,91.55,0
20191015T,96.19,96.19,96.19,96.19,0
20191016T,99.67,99.67,99.67,99.67,0
20191017T,100.0,100.0,100.0,100.0,0
20191018T,99.87,99.87,99.87,99.87,0
20191021T,99.87,99.87,99.87,99.87,0
20191022T,100.0,100.0,100.0,100.0,0
20191023T,92.87,92.87,92.87,92.87,0
20191024T,97.67,97.67,97.67,97.67,0
20191025T,93.68,93.68,93.68,93.68,0
20191028T,100.0,100.0,100.0,100.0,0
20191029T,100.0,100.0,100.0,100.0,0
20191030T,100.0,100.0,100.0,100.0,0
20191031T,100.0,100.0,100.0,100.0,0
20191101T,100.0,100.0,100.0,100.0,0
20191104T,100.0,100.0,100.0,100.0,0
20191105T,95.4,95.4,95.4,95.4,0
20191106T,52.59,52.59,52.59,52.59,0
20191210T,77.62,77.62,77.62,77.62,0
20191211T,96.37,96.37,96.37,96.37,0
20191212T,99.68,99.68,99.68,99.68,0
20191213T,99.31,99.31,99.31,99.31,0
20191216T,95.01,95.01,95.01,95.01,0
20191217T,84.97,84.97,84.97,84.97,0
20191218T,79.33,79.33,79.33,79.33,0
20191219T,69.44,69.44,69.44,69.44,0
20191220T,99.71,99.71,99.71,99.71,0
20191223T,96.71,96.71,96.71,96.71,0
20191224T,97.02,97.02,97.02,97.02,0
20191225T,97.02,97.02,97.02,97.02,0
20191226T,66.72,66.72,66.72,66.72,0
20191227T,36.42,36.42,36.42,36.42,0
20191230T,59.39,59.39,59.39,59.39,0
20191231T,68.33,68.33,68.33,68.33,0
20200101T,97.78,97.78,97.78,97.78,0
20200102T,83.82,83.82,83.82,83.82,0
20200103T,94.99,94.99,94.99,94.99,0
20200106T,93.94,93.94,93.94,93.94,0
20200107T,99.85,99.85,99.85,99.85,0
20200108T,76.16,76.16,76.16,76.16,0
20200109T,91.79,91.79,91.79,91.79,0
20200110T,99.98,99.98,99.98,99.98,0
20200113T,85.52,85.52,85.52,85.52,0
20200114T,55.34,55.34,55.34,55.34,0
20200115T,100.0,100.0,100.0,100.0,0
20200116T,98.97,98.97,98.97,98.97,0
20200117T,65.01,65.01,65.01,65.01,0
20200120T,98.0,98.0,98.0,98.0,0
20200121T,36.79,36.79,36.79,36.79,0
20200122T,59.24,59.24,59.24,59.24,0
20200123T,58.21,58.21,58.21,58.21,0
20200124T,72.32,72.32,72.32,72.32,0
20200127T,98.48,98.48,98.48,98.48,0
20200128T,98.81,98.81,98.81,98.81,0
20200129T,64.57,64.57,64.57,64.57,0
20200130T,42.08,42.08,42.08,42.08,0
20200131T,67.58,67.58,67.58,67.58,0
20200203T,88.55,88.55,88.55,88.55,0
20200204T,97.94,97.94,97.94,97.94,0
20200205T,85.48,85.48,85.48,85.48,0
20200206T,67.12,67.12,67.12,67.12,0
20200207T,92.14,92.14,92.14,92.14,0
20200210T,99.87,99.87,99.87,99.87,0
20200211T,67.38,67.38,67.38,67.38,0
20200212T,52.0,52.0,52.0,52.0,0
20200213T,77.06,77.06,77.06,77.06,0
20200214T,51.9,51.9,51.9,51.9,0
20200217T,22.11,22.11,22.11,22.11,0
20200218T,64.58,64.58,64.58,64.58,0
20200219T,95.03,95.03,95.03,95.03,0
20200220T,83.24,83.24,83.24,83.24,0
20200221T,83.24,83.24,83.24,83.24,0
20200224T,59.2,59.2,59.2,59.2,0
20200225T,68.41,68.41,68.41,68.41,0
20200226T,72.78,72.78,72.78,72.78,0
20200227T,93.3,93.3,93.3,93.3,0
20200228T,94.71,94.71,94.71,94.71,0
20200302T,91.61,91.61,91.61,91.61,0
20200303T,99.39,99.39,99.39,99.39,0
20200304T,87.73,87.73,87.73,87.73,0
20200305T,84.25,84.25,84.25,84.25,0
20200306T,99.36,99.36,99.36,99.36,0
20200309T,37.22,37.22,37.22,37.22,0
20200310T,37.22,37.22,37.22,37.22,0
20200311T,68.61,68.61,68.61,68.61,0
20200312T,55.41,55.41,55.41,55.41,0
20200313T,44.05,44.05,44.05,44.05,0
20200316T,30.72,30.72,30.72,30.72,0
20200317T,42.42,42.42,42.42,42.42,0
20200318T,54.58,54.58,54.58,54.58,0
20200319T,32.67,32.67,32.67,32.67,0
20200320T,33.79,33.79,33.79,33.79,0
20200323T,75.35,75.35,75.35,75.35,0
20200324T,95.87,95.87,95.87,95.87,0
20200325T,86.15,86.15,86.15,86.15,0
20200527T,96.62,96.62,96.62,96.62,0
20200528T,87.86,87.86,87.86,87.86,0
20200529T,67.29,67.29,67.29,67.29,0
20200601T,93.13,93.13,93.13,93.13,0
20200602T,67.32,67.32,67.32,67.32,0
20200603T,92.74,92.74,92.74,92.74,0
20200604T,95.93,95.93,95.93,95.93,0
20200605T,71.99,71.99,71.99,71.99,0
20200608T,82.52,82.52,82.52,82.52,0
20200609T,94.16,94.16,94.16,94.16,0
20200610T,53.62,53.62,53.62,53.62,0
20200611T,81.04,81.04,81.04,81.04,0
20200612T,80.38,80.38,80.38,80.38,0
20200615T,80.13,80.13,80.13,80.13,0
20200616T,100.0,100.0,100.0,100.0,0
20200617T,100.0,100.0,100.0,100.0,0
20201110T,100.0,100.0,100.0,100.0,0
20201111T,100.0,100.0,100.0,100.0,0
20201112T,77.38,77.38,77.38,77.38,0
20201113T,86.45,86.45,86.45,86.45,0
20201116T,80.17,80.17,80.17,80.17,0
20201117T,92.15,92.15,92.15,92.15,0
20201118T,77.33,77.33,77.33,77.33,0
20201119T,85.72,85.72,85.72,85.72,0
20201120T,97.96,97.96,97.96,97.96,0
20201123T,87.1,87.1,87.1,87.1,0
20201124T,70.26,70.26,70.26,70.26,0
20201125T,88.72,88.72,88.72,88.72,0
20201126T,65.27,65.27,65.27,65.27,0
20201127T,93.9,93.9,93.9,93.9,0
20201130T,93.9,93.9,93.9,93.9,0
20201201T,76.28,76.28,76.28,76.28,0
20201202T,68.07,68.07,68.07,68.07,0
20201203T,99.64,99.64,99.64,99.64,0
20201204T,99.45,99.45,99.45,99.45,0
20201207T,98.22,98.22,98.22,98.22,0
20201208T,81.61,81.61,81.61,81.61,0
20201209T,98.6,98.6,98.6,98.6,0
20201210T,69.34,69.34,69.34,69.34,0
20201211T,79.08,79.08,79.08,79.08,0
20201214T,86.09,86.09,86.09,86.09,0
20201215T,76.18,76.18,76.18,76.18,0
20201216T,71.09,71.09,71.09,71.09,0
20201217T,85.56,85.56,85.56,85.56,0
20201218T,81.98,81.98,81.98,81.98,0
20201221T,90.35,90.35,90.35,90.35,0
20201222T,73.35,73.35,73.35,73.35,0
20201223T,67.99,67.99,67.99,67.99,0
20201224T,77.54,77.54,77.54,77.54,0
20201225T,77.54,77.54,77.54,77.54,0
20201228T,82.83,82.83,82.83,82.83,0
20201229T,93.37,93.37,93.37,93.37,0
20201230T,80.64,80.64,80.64,80.64,0
20201231T,77.3,77.3,77.3,77.3,0
20210101T,99.68,99.68,99.68,99.68,0
20210104T,88.39,88.39,88.39,88.39,0
20210105T,80.2,80.2,80.2,80.2,0
20210106T,82.47,82.47,82.47,82.47,0
20210107T,60.89,60.89,60.89,60.89,0
20210108T,74.93,74.93,74.93,74.93,0
20210111T,65.01,65.01,65.01,65.01,0
20210112T,58.12,58.12,58.12,58.12,0
20210113T,90.29,90.29,90.29,90.29,0
20210114T,80.15,80.15,80.15,80.15,0
20210115T,50.22,50.22,50.22,50.22,0
20210118T,91.32,91.32,91.32,91.32,0
20210119T,72.91,72.91,72.91,72.91,0
20210120T,94.38,94.38,94.38,94.38,0
20210121T,96.56,96.56,96.56,96.56,0
20210122T,88.01,88.01,88.01,88.01,0
20210125T,100.0,100.0,100.0,100.0,0
20210127T,100.0,100.0,100.0,100.0,0
20210128T,100.0,100.0,100.0,100.0,0
20210129T,100.0,100.0,100.0,100.0,0
20210201T,100.0,100.0,100.0,100.0,0
20210202T,100.0,100.0,100.0,100.0,0
20210203T,100.0,100.0,100.0,100.0,0
20210204T,100.0,100.0,100.0,100.0,0
20210205T,84.39,84.39,84.39,84.39,0
20210208T,100.0,100.0,100.0,100.0,0
20210209T,100.0,100.0,100.0,100.0,0
20210210T,86.84,86.84,86.84,86.84,0
20210427T,74.52,74.52,74.52,74.52,0
20210428T,42.26,42.26,42.26,42.26,0
20210429T,78.47,78.47,78.47,78.47,0
20210430T,85.33,85.33,85.33,85.33,0
20210503T,99.96,99.96,99.96,99.96,0
20210504T,69.47,69.47,69.47,69.47,0
20210505T,62.3,62.3,62.3,62.3,0
20210506T,67.59,67.59,67.59,67.59,0
20210507T,86.61,86.61,86.61,86.61,0
20210510T,71.43,71.43,71.43,71.43,0
20210511T,92.44,92.44,92.44,92.44,0
20210512T,99.98,99.98,99.98,99.98,0
20210513T,99.98,99.98,99.98,99.98,0
20210514T,96.99,96.99,96.99,96.99,0
20210517T,85.67,85.67,85.67,85.67,0
20210518T,78.4,78.4,78.4,78.4,0
20210519T,72.42,72.42,72.42,72.42,0
20210520T,70.47,70.47,70.47,70.47,0
20210521T,79.83,79.83,79.83,79.83,0
20210524T,83.0,83.0,83.0,83.0,0
20210525T,94.95,94.95,94.95,94.95,0
20210526T,71.59,71.59,71.59,71.59,0
20210527T,90.61,90.61,90.61,90.61,0
20210528T,87.08,87.08,87.08,87.08,0
20210531T,90.45,90.45,90.45,90.45,0
20210601T,82.18,82.18,82.18,82.18,0
20210602T,91.42,91.42,91.42,91.42,0
20210603T,89.52,89.52,89.52,89.52,0
20210604T,89.47,89.47,89.47,89.47,0
20210607T,99.77,99.77,99.77,99.77,0
20210608T,84.37,84.37,84.37,84.37,0
20210609T,90.08,90.08,90.08,90.08,0
20210610T,66.45,66.45,66.45,66.45,0
20210611T,74.74,74.74,74.74,74.74,0
