date,open,high,low,close,volume
20260119T,60.77,60.77,60.77,60.77,0
20260120T,62.36,62.36,62.36,62.36,0
20260121T,59.03,59.03,59.03,59.03,0
20260122T,53.06,53.06,53.06,53.06,0
20260123T,62.96,62.96,62.96,62.96,0
20260127T,55.69,55.69,55.69,55.69,0
20260128T,65.6,65.6,65.6,65.6,0
20260129T,63.39,63.39,63.39,63.39,0
20260130T,62.91,62.91,62.91,62.91,0
20260202T,56.88,56.88,56.88,56.88,0
20260203T,49.7,49.7,49.7,49.7,0
20260204T,52.24,52.24,52.24,52.24,0
20260205T,45.19,45.19,45.19,45.19,0
20260206T,43.98,43.98,43.98,43.98,0
