date,open,high,low,close,volume
20191218T,69.08,69.08,69.08,69.08,0
20191219T,58.85,58.85,58.85,58.85,0
20191220T,95.08,95.08,95.08,95.08,0
20191223T,89.58,89.58,89.58,89.58,0
20191224T,73.96,73.96,73.96,73.96,0
20191225T,73.96,73.96,73.96,73.96,0
20191226T,61.15,61.15,61.15,61.15,0
20191227T,83.26,83.26,83.26,83.26,0
20191230T,71.02,71.02,71.02,71.02,0
20191231T,60.99,60.99,60.99,60.99,0
20200101T,75.61,75.61,75.61,75.61,0
20200102T,92.61,92.61,92.61,92.61,0
20200103T,88.38,88.38,88.38,88.38,0
20200106T,70.64,70.64,70.64,70.64,0
20200107T,78.1,78.1,78.1,78.1,0
20200108T,90.67,90.67,90.67,90.67,0
20200109T,100.0,100.0,100.0,100.0,0
20200110T,100.0,100.0,100.0,100.0,0
20200113T,99.89,99.89,99.89,99.89,0
20200114T,100.0,100.0,100.0,100.0,0
20200115T,100.0,100.0,100.0,100.0,0
20200304T,77.05,77.05,77.05,77.05,0
20200305T,85.79,85.79,85.79,85.79,0
20200306T,100.0,100.0,100.0,100.0,0
20200309T,100.0,100.0,100.0,100.0,0
20200310T,100.0,100.0,100.0,100.0,0
20200311T,74.73,74.73,74.73,74.73,0
20200312T,97.68,97.68,97.68,97.68,0
20200313T,95.09,95.09,95.09,95.09,0
20200316T,69.89,69.89,69.89,69.89,0
20200317T,78.85,78.85,78.85,78.85,0
20200318T,75.69,75.69,75.69,75.69,0
20200319T,74.06,74.06,74.06,74.06,0
20200320T,76.0,76.0,76.0,76.0,0
20200323T,100.0,100.0,100.0,100.0,0
20200324T,100.0,100.0,100.0,100.0,0
20200325T,100.0,100.0,100.0,100.0,0
20200326T,67.58,67.58,67.58,67.58,0
20200327T,92.98,92.98,92.98,92.98,0
20200330T,99.68,99.68,99.68,99.68,0
20200331T,99.9,99.9,99.9,99.9,0
20200401T,94.3,94.3,94.3,94.3,0
20200402T,94.3,94.3,94.3,94.3,0
20200403T,100.0,100.0,100.0,100.0,0
20200406T,100.0,100.0,100.0,100.0,0
20200407T,100.0,100.0,100.0,100.0,0
20200408T,97.05,97.05,97.05,97.05,0
20200409T,68.29,68.29,68.29,68.29,0
20200410T,68.29,68.29,68.29,68.29,0
20200413T,99.01,99.01,99.01,99.01,0
20200415T,91.62,91.62,91.62,91.62,0
20200416T,98.74,98.74,98.74,98.74,0
20200417T,85.18,85.18,85.18,85.18,0
20200420T,99.91,99.91,99.91,99.91,0
20200421T,99.8,99.8,99.8,99.8,0
20200422T,98.77,98.77,98.77,98.77,0
20200423T,87.61,87.61,87.61,87.61,0
20200424T,71.64,71.64,71.64,71.64,0
20200427T,88.45,88.45,88.45,88.45,0
20200428T,81.78,81.78,81.78,81.78,0
20200429T,66.03,66.03,66.03,66.03,0
20200430T,84.69,84.69,84.69,84.69,0
20200501T,84.69,84.69,84.69,84.69,0
20200504T,95.24,95.24,95.24,95.24,0
20200505T,48.68,48.68,48.68,48.68,0
20200506T,69.86,69.86,69.86,69.86,0
20200507T,68.62,68.62,68.62,68.62,0
20200508T,90.56,90.56,90.56,90.56,0
20200511T,82.82,82.82,82.82,82.82,0
20200512T,83.99,83.99,83.99,83.99,0
20200513T,71.86,71.86,71.86,71.86,0
20200514T,65.41,65.41,65.41,65.41,0
20200515T,71.6,71.6,71.6,71.6,0
20200518T,79.24,79.24,79.24,79.24,0
20200519T,70.47,70.47,70.47,70.47,0
20200520T,87.22,87.22,87.22,87.22,0
20200521T,41.06,41.06,41.06,41.06,0
20200522T,72.6,72.6,72.6,72.6,0
20200525T,72.6,72.6,72.6,72.6,0
20200526T,78.68,78.68,78.68,78.68,0
20200527T,76.77,76.77,76.77,76.77,0
20200528T,53.35,53.35,53.35,53.35,0
20200529T,69.83,69.83,69.83,69.83,0
20200601T,62.13,62.13,62.13,62.13,0
20200602T,68.79,68.79,68.79,68.79,0
20200603T,70.24,70.24,70.24,70.24,0
20200604T,94.41,94.41,94.41,94.41,0
20200605T,95.56,95.56,95.56,95.56,0
20200608T,91.45,91.45,91.45,91.45,0
20200609T,65.5,65.5,65.5,65.5,0
20200610T,85.7,85.7,85.7,85.7,0
20200611T,82.73,82.73,82.73,82.73,0
20200612T,85.51,85.51,85.51,85.51,0
20200615T,86.03,86.03,86.03,86.03,0
20200616T,44.17,44.17,44.17,44.17,0
20200617T,83.83,83.83,83.83,83.83,0
