date,open,high,low,close,volume
20251114T,92.59,92.59,92.59,92.59,0
20251117T,100.0,100.0,100.0,100.0,0
20251118T,85.44,85.44,85.44,85.44,0
20251119T,100.0,100.0,100.0,100.0,0
20251120T,86.96,86.96,86.96,86.96,0
20251121T,100.0,100.0,100.0,100.0,0
20251124T,57.38,57.38,57.38,57.38,0
20251125T,100.0,100.0,100.0,100.0,0
20251126T,100.0,100.0,100.0,100.0,0
20251127T,100.0,100.0,100.0,100.0,0
20251128T,100.0,100.0,100.0,100.0,0
20251201T,100.0,100.0,100.0,100.0,0
20251202T,100.0,100.0,100.0,100.0,0
20251203T,100.0,100.0,100.0,100.0,0
20251204T,100.0,100.0,100.0,100.0,0
20251205T,100.0,100.0,100.0,100.0,0
20251209T,100.0,100.0,100.0,100.0,0
20251210T,100.0,100.0,100.0,100.0,0
20251211T,100.0,100.0,100.0,100.0,0
20251216T,100.0,100.0,100.0,100.0,0
20251217T,100.0,100.0,100.0,100.0,0
20251218T,100.0,100.0,100.0,100.0,0
20251222T,100.0,100.0,100.0,100.0,0
20251223T,100.0,100.0,100.0,100.0,0
20251224T,85.87,85.87,85.87,85.87,0
20251225T,85.87,85.87,85.87,85.87,0
20251226T,85.19,85.19,85.19,85.19,0
20251229T,100.0,100.0,100.0,100.0,0
20251230T,100.0,100.0,100.0,100.0,0
20251231T,100.0,100.0,100.0,100.0,0
20260101T,100.0,100.0,100.0,100.0,0
20260105T,100.0,100.0,100.0,100.0,0
20260106T,12.34,12.34,12.34,12.34,0
20260107T,40.84,40.84,40.84,40.84,0
20260108T,37.3,37.3,37.3,37.3,0
20260109T,38.84,38.84,38.84,38.84,0
20260112T,41.67,41.67,41.67,41.67,0
20260113T,100.0,100.0,100.0,100.0,0
20260114T,87.8,87.8,87.8,87.8,0
20260115T,87.8,87.8,87.8,87.8,0
20260119T,96.05,96.05,96.05,96.05,0
20260120T,100.0,100.0,100.0,100.0,0
20260121T,100.0,100.0,100.0,100.0,0
20260122T,100.0,100.0,100.0,100.0,0
20260127T,100.0,100.0,100.0,100.0,0
20260128T,100.0,100.0,100.0,100.0,0
20260129T,53.33,53.33,53.33,53.33,0
20260130T,100.0,100.0,100.0,100.0,0
20260203T,77.27,77.27,77.27,77.27,0
20260204T,43.33,43.33,43.33,43.33,0
20260206T,100.0,100.0,100.0,100.0,0
