date,open,high,low,close,volume
20191001T,57.08,57.08,57.08,57.08,0
20191003T,50.58,50.58,50.58,50.58,0
20191004T,42.86,42.86,42.86,42.86,0
20191007T,60.85,60.85,60.85,60.85,0
20191008T,60.85,60.85,60.85,60.85,0
20191009T,64.93,64.93,64.93,64.93,0
20191010T,65.14,65.14,65.14,65.14,0
20191011T,70.56,70.56,70.56,70.56,0
20191014T,77.73,77.73,77.73,77.73,0
20191015T,54.14,54.14,54.14,54.14,0
20191016T,65.26,65.26,65.26,65.26,0
20191017T,55.44,55.44,55.44,55.44,0
20191018T,50.56,50.56,50.56,50.56,0
20191021T,50.56,50.56,50.56,50.56,0
20191022T,54.03,54.03,54.03,54.03,0
20191023T,54.48,54.48,54.48,54.48,0
20191024T,41.04,41.04,41.04,41.04,0
20191025T,86.94,86.94,86.94,86.94,0
20191028T,81.77,81.77,81.77,81.77,0
20191029T,73.16,73.16,73.16,73.16,0
20191030T,68.06,68.06,68.06,68.06,0
20191031T,90.12,90.12,90.12,90.12,0
20191101T,95.94,95.94,95.94,95.94,0
20191104T,71.81,71.81,71.81,71.81,0
20191105T,71.31,71.31,71.31,71.31,0
20191106T,65.25,65.25,65.25,65.25,0
20191107T,77.86,77.86,77.86,77.86,0
20191108T,62.5,62.5,62.5,62.5,0
20191111T,92.24,92.24,92.24,92.24,0
20191112T,92.24,92.24,92.24,92.24,0
20191113T,83.13,83.13,83.13,83.13,0
20191114T,73.56,73.56,73.56,73.56,0
20191115T,79.16,79.16,79.16,79.16,0
20191118T,80.71,80.71,80.71,80.71,0
20191119T,52.25,52.25,52.25,52.25,0
20191120T,79.59,79.59,79.59,79.59,0
20191121T,77.41,77.41,77.41,77.41,0
20191122T,88.69,88.69,88.69,88.69,0
20191125T,84.7,84.7,84.7,84.7,0
20191126T,57.53,57.53,57.53,57.53,0
20191127T,83.78,83.78,83.78,83.78,0
20191128T,80.58,80.58,80.58,80.58,0
20191129T,90.59,90.59,90.59,90.59,0
20191202T,75.73,75.73,75.73,75.73,0
20191203T,44.11,44.11,44.11,44.11,0
20191204T,74.42,74.42,74.42,74.42,0
20191205T,84.07,84.07,84.07,84.07,0
20191206T,72.17,72.17,72.17,72.17,0
20191209T,100.0,100.0,100.0,100.0,0
20191210T,76.56,76.56,76.56,76.56,0
20191211T,76.99,76.99,76.99,76.99,0
20191212T,65.97,65.97,65.97,65.97,0
20191213T,74.37,74.37,74.37,74.37,0
20191216T,77.45,77.45,77.45,77.45,0
20191217T,74.89,74.89,74.89,74.89,0
20191218T,58.42,58.42,58.42,58.42,0
20191219T,81.58,81.58,81.58,81.58,0
20191220T,85.79,85.79,85.79,85.79,0
20191223T,85.51,85.51,85.51,85.51,0
20191224T,79.29,79.29,79.29,79.29,0
20191225T,79.29,79.29,79.29,79.29,0
20191226T,75.32,75.32,75.32,75.32,0
20191227T,72.07,72.07,72.07,72.07,0
20191230T,73.15,73.15,73.15,73.15,0
20191231T,75.63,75.63,75.63,75.63,0
20200101T,74.33,74.33,74.33,74.33,0
20200102T,72.76,72.76,72.76,72.76,0
20200103T,72.04,72.04,72.04,72.04,0
20200106T,86.16,86.16,86.16,86.16,0
20200107T,81.74,81.74,81.74,81.74,0
20200108T,60.08,60.08,60.08,60.08,0
20200109T,82.51,82.51,82.51,82.51,0
20200110T,78.16,78.16,78.16,78.16,0
20200113T,81.65,81.65,81.65,81.65,0
20200114T,85.19,85.19,85.19,85.19,0
20200115T,83.44,83.44,83.44,83.44,0
20200116T,85.62,85.62,85.62,85.62,0
20200117T,78.83,78.83,78.83,78.83,0
20200120T,90.26,90.26,90.26,90.26,0
20200121T,80.75,80.75,80.75,80.75,0
20200122T,54.27,54.27,54.27,54.27,0
20200123T,87.66,87.66,87.66,87.66,0
20200124T,87.19,87.19,87.19,87.19,0
20200127T,83.66,83.66,83.66,83.66,0
20200128T,90.76,90.76,90.76,90.76,0
20200129T,77.07,77.07,77.07,77.07,0
20200130T,80.62,80.62,80.62,80.62,0
20200131T,77.75,77.75,77.75,77.75,0
20200203T,73.73,73.73,73.73,73.73,0
20200204T,82.89,82.89,82.89,82.89,0
20200205T,85.93,85.93,85.93,85.93,0
20200206T,84.0,84.0,84.0,84.0,0
20200207T,62.42,62.42,62.42,62.42,0
20200210T,87.32,87.32,87.32,87.32,0
20200211T,79.46,79.46,79.46,79.46,0
20200212T,78.49,78.49,78.49,78.49,0
20200213T,81.67,81.67,81.67,81.67,0
20200214T,92.1,92.1,92.1,92.1,0
20200217T,69.47,69.47,69.47,69.47,0
20200218T,71.47,71.47,71.47,71.47,0
20200219T,69.44,69.44,69.44,69.44,0
20200220T,89.11,89.11,89.11,89.11,0
20200221T,89.11,89.11,89.11,89.11,0
20200224T,55.14,55.14,55.14,55.14,0
20200225T,92.41,92.41,92.41,92.41,0
20200226T,71.05,71.05,71.05,71.05,0
20200227T,73.8,73.8,73.8,73.8,0
20200228T,62.72,62.72,62.72,62.72,0
20200302T,67.08,67.08,67.08,67.08,0
20200303T,68.9,68.9,68.9,68.9,0
20200304T,80.87,80.87,80.87,80.87,0
20200305T,81.28,81.28,81.28,81.28,0
20200306T,94.38,94.38,94.38,94.38,0
20200309T,78.56,78.56,78.56,78.56,0
20200310T,78.56,78.56,78.56,78.56,0
20200311T,78.17,78.17,78.17,78.17,0
20200312T,93.32,93.32,93.32,93.32,0
20200313T,77.19,77.19,77.19,77.19,0
20200316T,82.95,82.95,82.95,82.95,0
20200317T,77.08,77.08,77.08,77.08,0
20200318T,76.33,76.33,76.33,76.33,0
20200319T,100.0,100.0,100.0,100.0,0
20200320T,60.12,60.12,60.12,60.12,0
20200323T,90.01,90.01,90.01,90.01,0
20200324T,79.51,79.51,79.51,79.51,0
20200325T,99.68,99.68,99.68,99.68,0
20200326T,78.5,78.5,78.5,78.5,0
20200327T,88.71,88.71,88.71,88.71,0
20200330T,99.01,99.01,99.01,99.01,0
20200331T,88.17,88.17,88.17,88.17,0
20200401T,99.9,99.9,99.9,99.9,0
20200402T,99.9,99.9,99.9,99.9,0
20200403T,98.64,98.64,98.64,98.64,0
20200406T,98.64,98.64,98.64,98.64,0
20200407T,77.2,77.2,77.2,77.2,0
20200408T,83.65,83.65,83.65,83.65,0
20200409T,95.34,95.34,95.34,95.34,0
20200410T,95.34,95.34,95.34,95.34,0
20200413T,87.15,87.15,87.15,87.15,0
20200415T,99.73,99.73,99.73,99.73,0
20200416T,99.98,99.98,99.98,99.98,0
20200417T,100.0,100.0,100.0,100.0,0
20200420T,88.51,88.51,88.51,88.51,0
20200421T,95.92,95.92,95.92,95.92,0
20200422T,96.52,96.52,96.52,96.52,0
20200423T,81.97,81.97,81.97,81.97,0
20200424T,70.7,70.7,70.7,70.7,0
20200427T,99.97,99.97,99.97,99.97,0
20200428T,100.0,100.0,100.0,100.0,0
20200429T,88.41,88.41,88.41,88.41,0
20200430T,88.92,88.92,88.92,88.92,0
20200501T,88.92,88.92,88.92,88.92,0
20200504T,77.54,77.54,77.54,77.54,0
20200505T,79.34,79.34,79.34,79.34,0
20200506T,76.44,76.44,76.44,76.44,0
20200507T,70.88,70.88,70.88,70.88,0
20200508T,54.09,54.09,54.09,54.09,0
20200511T,78.01,78.01,78.01,78.01,0
20200512T,76.82,76.82,76.82,76.82,0
20200513T,84.75,84.75,84.75,84.75,0
20200514T,70.34,70.34,70.34,70.34,0
20200515T,86.56,86.56,86.56,86.56,0
20200518T,87.94,87.94,87.94,87.94,0
20200519T,76.0,76.0,76.0,76.0,0
20200520T,76.02,76.02,76.02,76.02,0
20200521T,98.74,98.74,98.74,98.74,0
20200522T,91.47,91.47,91.47,91.47,0
20200525T,91.47,91.47,91.47,91.47,0
20200526T,65.62,65.62,65.62,65.62,0
20200527T,98.83,98.83,98.83,98.83,0
20200528T,70.05,70.05,70.05,70.05,0
20200529T,99.56,99.56,99.56,99.56,0
20200601T,99.6,99.6,99.6,99.6,0
20200602T,85.55,85.55,85.55,85.55,0
20200603T,91.51,91.51,91.51,91.51,0
20200604T,100.0,100.0,100.0,100.0,0
20200605T,94.18,94.18,94.18,94.18,0
20200608T,100.0,100.0,100.0,100.0,0
20200609T,76.44,76.44,76.44,76.44,0
20200610T,96.43,96.43,96.43,96.43,0
20200611T,94.93,94.93,94.93,94.93,0
20200612T,68.84,68.84,68.84,68.84,0
20200615T,97.72,97.72,97.72,97.72,0
20200616T,95.38,95.38,95.38,95.38,0
20200617T,95.86,95.86,95.86,95.86,0
20200618T,97.37,97.37,97.37,97.37,0
20200619T,94.19,94.19,94.19,94.19,0
20200622T,99.99,99.99,99.99,99.99,0
20200623T,98.54,98.54,98.54,98.54,0
20200624T,99.99,99.99,99.99,99.99,0
20200625T,91.06,91.06,91.06,91.06,0
20200626T,99.98,99.98,99.98,99.98,0
20200629T,94.15,94.15,94.15,94.15,0
20200630T,100.0,100.0,100.0,100.0,0
20200701T,100.0,100.0,100.0,100.0,0
20200702T,100.0,100.0,100.0,100.0,0
20200703T,100.0,100.0,100.0,100.0,0
20200706T,53.36,53.36,53.36,53.36,0
20200707T,60.01,60.01,60.01,60.01,0
20200708T,85.45,85.45,85.45,85.45,0
20200709T,95.5,95.5,95.5,95.5,0
20200710T,76.4,76.4,76.4,76.4,0
20200713T,100.0,100.0,100.0,100.0,0
20200714T,70.17,70.17,70.17,70.17,0
20200715T,84.09,84.09,84.09,84.09,0
20200716T,72.17,72.17,72.17,72.17,0
20200717T,68.34,68.34,68.34,68.34,0
20200720T,49.81,49.81,49.81,49.81,0
20200721T,84.6,84.6,84.6,84.6,0
20200722T,59.99,59.99,59.99,59.99,0
20200723T,79.81,79.81,79.81,79.81,0
20200724T,79.97,79.97,79.97,79.97,0
20200727T,64.74,64.74,64.74,64.74,0
20200728T,57.78,57.78,57.78,57.78,0
20200729T,80.92,80.92,80.92,80.92,0
20200730T,64.61,64.61,64.61,64.61,0
20200731T,79.53,79.53,79.53,79.53,0
20200803T,47.71,47.71,47.71,47.71,0
20200804T,65.57,65.57,65.57,65.57,0
20200805T,75.29,75.29,75.29,75.29,0
20200806T,77.81,77.81,77.81,77.81,0
20200807T,75.49,75.49,75.49,75.49,0
20200810T,78.31,78.31,78.31,78.31,0
20200811T,80.45,80.45,80.45,80.45,0
20200812T,73.34,73.34,73.34,73.34,0
20200813T,64.19,64.19,64.19,64.19,0
20200814T,59.22,59.22,59.22,59.22,0
20200817T,67.64,67.64,67.64,67.64,0
20200818T,73.41,73.41,73.41,73.41,0
20200819T,71.76,71.76,71.76,71.76,0
20200820T,84.51,84.51,84.51,84.51,0
20200821T,82.03,82.03,82.03,82.03,0
20200824T,77.73,77.73,77.73,77.73,0
20200825T,71.45,71.45,71.45,71.45,0
20200826T,89.08,89.08,89.08,89.08,0
