date,open,high,low,close,volume
20211130T,30.39,30.39,30.39,30.39,0
20211201T,30.62,30.62,30.62,30.62,0
20211202T,23.05,23.05,23.05,23.05,0
20211203T,18.38,18.38,18.38,18.38,0
20211206T,23.84,23.84,23.84,23.84,0
20211207T,13.54,13.54,13.54,13.54,0
20211208T,32.11,32.11,32.11,32.11,0
20211209T,42.76,42.76,42.76,42.76,0
20211210T,41.24,41.24,41.24,41.24,0
20211213T,30.91,30.91,30.91,30.91,0
20211214T,34.48,34.48,34.48,34.48,0
20211215T,35.23,35.23,35.23,35.23,0
20211216T,36.77,36.77,36.77,36.77,0
20211217T,37.5,37.5,37.5,37.5,0
20211220T,35.6,35.6,35.6,35.6,0
20211221T,32.8,32.8,32.8,32.8,0
20211222T,32.61,32.61,32.61,32.61,0
20211223T,25.8,25.8,25.8,25.8,0
20211224T,21.66,21.66,21.66,21.66,0
20211227T,31.75,31.75,31.75,31.75,0
20211228T,40.85,40.85,40.85,40.85,0
20211229T,39.04,39.04,39.04,39.04,0
20211230T,36.23,36.23,36.23,36.23,0
20211231T,38.63,38.63,38.63,38.63,0
20220103T,44.48,44.48,44.48,44.48,0
20220104T,51.61,51.61,51.61,51.61,0
20220105T,45.39,45.39,45.39,45.39,0
20220106T,40.86,40.86,40.86,40.86,0
20220107T,34.99,34.99,34.99,34.99,0
20220110T,38.94,38.94,38.94,38.94,0
20220111T,43.15,43.15,43.15,43.15,0
20220112T,34.55,34.55,34.55,34.55,0
20220113T,30.61,30.61,30.61,30.61,0
20220114T,37.32,37.32,37.32,37.32,0
20220117T,27.43,27.43,27.43,27.43,0
20220118T,48.79,48.79,48.79,48.79,0
20220119T,55.59,55.59,55.59,55.59,0
20220120T,32.12,32.12,32.12,32.12,0
20220121T,31.7,31.7,31.7,31.7,0
20220124T,44.39,44.39,44.39,44.39,0
20220125T,36.8,36.8,36.8,36.8,0
20220127T,50.63,50.63,50.63,50.63,0
20220128T,37.1,37.1,37.1,37.1,0
20220131T,45.35,45.35,45.35,45.35,0
20220201T,46.09,46.09,46.09,46.09,0
20220202T,30.42,30.42,30.42,30.42,0
20220203T,31.61,31.61,31.61,31.61,0
20220204T,48.42,48.42,48.42,48.42,0
20220207T,53.18,53.18,53.18,53.18,0
20220208T,37.57,37.57,37.57,37.57,0
20220209T,39.02,39.02,39.02,39.02,0
20220210T,35.58,35.58,35.58,35.58,0
20220211T,56.94,56.94,56.94,56.94,0
20220214T,53.71,53.71,53.71,53.71,0
20220215T,33.92,33.92,33.92,33.92,0
20220216T,39.41,39.41,39.41,39.41,0
20220217T,41.7,41.7,41.7,41.7,0
20220218T,33.35,33.35,33.35,33.35,0
20220221T,44.75,44.75,44.75,44.75,0
20220222T,52.92,52.92,52.92,52.92,0
20220223T,21.31,21.31,21.31,21.31,0
20220224T,44.07,44.07,44.07,44.07,0
20220225T,46.58,46.58,46.58,46.58,0
20220228T,41.8,41.8,41.8,41.8,0
20220301T,41.8,41.8,41.8,41.8,0
20220302T,40.47,40.47,40.47,40.47,0
20220303T,49.23,49.23,49.23,49.23,0
20220304T,55.45,55.45,55.45,55.45,0
20220307T,51.75,51.75,51.75,51.75,0
20220308T,57.47,57.47,57.47,57.47,0
20220309T,57.42,57.42,57.42,57.42,0
20220310T,53.04,53.04,53.04,53.04,0
20220311T,32.78,32.78,32.78,32.78,0
20220314T,49.74,49.74,49.74,49.74,0
20220315T,53.98,53.98,53.98,53.98,0
20220316T,38.85,38.85,38.85,38.85,0
20220317T,52.76,52.76,52.76,52.76,0
20220318T,52.76,52.76,52.76,52.76,0
20220321T,52.22,52.22,52.22,52.22,0
20220322T,54.01,54.01,54.01,54.01,0
20220323T,39.52,39.52,39.52,39.52,0
20220324T,52.55,52.55,52.55,52.55,0
20220325T,56.68,56.68,56.68,56.68,0
20220328T,56.74,56.74,56.74,56.74,0
20220329T,58.4,58.4,58.4,58.4,0
20220330T,31.16,31.16,31.16,31.16,0
20220331T,52.75,52.75,52.75,52.75,0
20220401T,43.83,43.83,43.83,43.83,0
20220404T,44.21,44.21,44.21,44.21,0
20220405T,31.03,31.03,31.03,31.03,0
20220406T,39.23,39.23,39.23,39.23,0
20220407T,45.91,45.91,45.91,45.91,0
20220408T,28.68,28.68,28.68,28.68,0
20220411T,39.06,39.06,39.06,39.06,0
20220412T,43.54,43.54,43.54,43.54,0
20220413T,37.12,37.12,37.12,37.12,0
20220414T,37.12,37.12,37.12,37.12,0
20220415T,37.12,37.12,37.12,37.12,0
20220418T,45.43,45.43,45.43,45.43,0
20220419T,50.34,50.34,50.34,50.34,0
20220420T,46.75,46.75,46.75,46.75,0
20220421T,40.8,40.8,40.8,40.8,0
20220422T,43.03,43.03,43.03,43.03,0
20220425T,49.25,49.25,49.25,49.25,0
20220426T,48.39,48.39,48.39,48.39,0
20220427T,46.53,46.53,46.53,46.53,0
20220428T,53.19,53.19,53.19,53.19,0
20220429T,46.27,46.27,46.27,46.27,0
20220502T,47.81,47.81,47.81,47.81,0
20220503T,47.81,47.81,47.81,47.81,0
20220504T,59.54,59.54,59.54,59.54,0
20220505T,45.32,45.32,45.32,45.32,0
20220506T,35.52,35.52,35.52,35.52,0
20220509T,40.14,40.14,40.14,40.14,0
20220510T,53.75,53.75,53.75,53.75,0
20220511T,46.6,46.6,46.6,46.6,0
20220512T,46.07,46.07,46.07,46.07,0
20220513T,27.44,27.44,27.44,27.44,0
20220516T,20.36,20.36,20.36,20.36,0
20220517T,41.14,41.14,41.14,41.14,0
20220518T,40.49,40.49,40.49,40.49,0
20220519T,43.54,43.54,43.54,43.54,0
20220520T,42.12,42.12,42.12,42.12,0
20220523T,46.71,46.71,46.71,46.71,0
20220524T,35.19,35.19,35.19,35.19,0
20220525T,37.89,37.89,37.89,37.89,0
20220526T,52.44,52.44,52.44,52.44,0
20220527T,36.12,36.12,36.12,36.12,0
20220530T,42.08,42.08,42.08,42.08,0
20220531T,34.75,34.75,34.75,34.75,0
20220601T,42.47,42.47,42.47,42.47,0
20220602T,39.48,39.48,39.48,39.48,0
20220603T,53.07,53.07,53.07,53.07,0
20220606T,46.98,46.98,46.98,46.98,0
20220607T,50.31,50.31,50.31,50.31,0
20220608T,46.96,46.96,46.96,46.96,0
20220609T,46.17,46.17,46.17,46.17,0
20220610T,44.0,44.0,44.0,44.0,0
20220613T,46.41,46.41,46.41,46.41,0
20220614T,48.76,48.76,48.76,48.76,0
20220615T,46.59,46.59,46.59,46.59,0
20220616T,57.5,57.5,57.5,57.5,0
20220617T,54.7,54.7,54.7,54.7,0
20220620T,47.31,47.31,47.31,47.31,0
20220621T,43.64,43.64,43.64,43.64,0
20220622T,44.27,44.27,44.27,44.27,0
20220623T,51.75,51.75,51.75,51.75,0
20220624T,34.73,34.73,34.73,34.73,0
20220627T,40.17,40.17,40.17,40.17,0
20220628T,41.09,41.09,41.09,41.09,0
20220629T,36.05,36.05,36.05,36.05,0
20220630T,27.82,27.82,27.82,27.82,0
20220701T,28.9,28.9,28.9,28.9,0
20220704T,28.1,28.1,28.1,28.1,0
20220705T,47.51,47.51,47.51,47.51,0
20220706T,30.46,30.46,30.46,30.46,0
20220707T,43.55,43.55,43.55,43.55,0
20220708T,36.32,36.32,36.32,36.32,0
20220711T,36.7,36.7,36.7,36.7,0
20220712T,49.51,49.51,49.51,49.51,0
20220713T,42.84,42.84,42.84,42.84,0
20220714T,45.36,45.36,45.36,45.36,0
20220715T,18.26,18.26,18.26,18.26,0
20220718T,42.55,42.55,42.55,42.55,0
20220719T,43.71,43.71,43.71,43.71,0
20220720T,41.39,41.39,41.39,41.39,0
20220721T,47.1,47.1,47.1,47.1,0
20220722T,43.91,43.91,43.91,43.91,0
20220725T,47.74,47.74,47.74,47.74,0
20220726T,54.76,54.76,54.76,54.76,0
20220727T,56.95,56.95,56.95,56.95,0
20220728T,37.73,37.73,37.73,37.73,0
20220729T,53.87,53.87,53.87,53.87,0
20220801T,57.02,57.02,57.02,57.02,0
20220802T,44.08,44.08,44.08,44.08,0
20220803T,38.47,38.47,38.47,38.47,0
20220804T,52.87,52.87,52.87,52.87,0
20220805T,45.39,45.39,45.39,45.39,0
20220810T,69.03,69.03,69.03,69.03,0
20220811T,55.52,55.52,55.52,55.52,0
20220812T,47.53,47.53,47.53,47.53,0
20220816T,50.65,50.65,50.65,50.65,0
20220817T,46.56,46.56,46.56,46.56,0
20220818T,50.87,50.87,50.87,50.87,0
20220819T,31.48,31.48,31.48,31.48,0
20220822T,51.66,51.66,51.66,51.66,0
20220823T,41.93,41.93,41.93,41.93,0
20220824T,46.8,46.8,46.8,46.8,0
20220825T,52.77,52.77,52.77,52.77,0
20220826T,58.22,58.22,58.22,58.22,0
20220829T,43.59,43.59,43.59,43.59,0
20220830T,34.72,34.72,34.72,34.72,0
20220831T,34.72,34.72,34.72,34.72,0
20220901T,44.55,44.55,44.55,44.55,0
20220902T,37.99,37.99,37.99,37.99,0
20220905T,55.52,55.52,55.52,55.52,0
20220906T,54.82,54.82,54.82,54.82,0
20220907T,40.2,40.2,40.2,40.2,0
20220908T,35.25,35.25,35.25,35.25,0
20220909T,51.32,51.32,51.32,51.32,0
20220912T,56.05,56.05,56.05,56.05,0
20220913T,59.05,59.05,59.05,59.05,0
20220914T,58.02,58.02,58.02,58.02,0
20220915T,50.49,50.49,50.49,50.49,0
20220916T,38.65,38.65,38.65,38.65,0
20220919T,47.36,47.36,47.36,47.36,0
20220920T,50.63,50.63,50.63,50.63,0
20220921T,36.65,36.65,36.65,36.65,0
20220922T,42.6,42.6,42.6,42.6,0
20220923T,43.26,43.26,43.26,43.26,0
20220926T,43.18,43.18,43.18,43.18,0
20220927T,35.05,35.05,35.05,35.05,0
20220928T,41.61,41.61,41.61,41.61,0
20220929T,52.72,52.72,52.72,52.72,0
20220930T,44.66,44.66,44.66,44.66,0
20221003T,25.05,25.05,25.05,25.05,0
20221004T,24.04,24.04,24.04,24.04,0
20221005T,24.04,24.04,24.04,24.04,0
20221006T,40.45,40.45,40.45,40.45,0
20221007T,39.05,39.05,39.05,39.05,0
20221010T,28.33,28.33,28.33,28.33,0
20221011T,57.75,57.75,57.75,57.75,0
20221012T,19.59,19.59,19.59,19.59,0
20221013T,45.62,45.62,45.62,45.62,0
20221014T,43.08,43.08,43.08,43.08,0
20221017T,56.71,56.71,56.71,56.71,0
20221018T,56.09,56.09,56.09,56.09,0
20221019T,49.45,49.45,49.45,49.45,0
20221020T,48.73,48.73,48.73,48.73,0
20221021T,53.39,53.39,53.39,53.39,0
20221024T,66.01,66.01,66.01,66.01,0
20221025T,57.7,57.7,57.7,57.7,0
20221026T,57.7,57.7,57.7,57.7,0
20221027T,51.6,51.6,51.6,51.6,0
20221028T,45.14,45.14,45.14,45.14,0
20221031T,55.22,55.22,55.22,55.22,0
20221101T,52.21,52.21,52.21,52.21,0
20221102T,59.02,59.02,59.02,59.02,0
20221103T,55.92,55.92,55.92,55.92,0
20221104T,56.15,56.15,56.15,56.15,0
20221107T,58.36,58.36,58.36,58.36,0
20221108T,58.36,58.36,58.36,58.36,0
20221109T,59.66,59.66,59.66,59.66,0
20221110T,59.11,59.11,59.11,59.11,0
20221111T,61.59,61.59,61.59,61.59,0
20221114T,46.54,46.54,46.54,46.54,0
20221115T,52.36,52.36,52.36,52.36,0
20221116T,52.3,52.3,52.3,52.3,0
20221117T,55.34,55.34,55.34,55.34,0
20221118T,78.89,78.89,78.89,78.89,0
20221121T,52.03,52.03,52.03,52.03,0
20221122T,63.25,63.25,63.25,63.25,0
20221123T,76.27,76.27,76.27,76.27,0
20221124T,65.49,65.49,65.49,65.49,0
20221125T,53.36,53.36,53.36,53.36,0
20221128T,60.88,60.88,60.88,60.88,0
20221129T,42.17,42.17,42.17,42.17,0
20221130T,30.16,30.16,30.16,30.16,0
20221201T,47.51,47.51,47.51,47.51,0
20221202T,51.3,51.3,51.3,51.3,0
20221205T,58.36,58.36,58.36,58.36,0
20221206T,47.53,47.53,47.53,47.53,0
20221207T,36.61,36.61,36.61,36.61,0
20221208T,45.98,45.98,45.98,45.98,0
20221209T,56.82,56.82,56.82,56.82,0
20221212T,52.12,52.12,52.12,52.12,0
20221213T,41.68,41.68,41.68,41.68,0
20221214T,58.69,58.69,58.69,58.69,0
20221215T,63.14,63.14,63.14,63.14,0
20221216T,55.28,55.28,55.28,55.28,0
20221219T,53.96,53.96,53.96,53.96,0
20221220T,58.3,58.3,58.3,58.3,0
20221221T,48.56,48.56,48.56,48.56,0
20221222T,54.64,54.64,54.64,54.64,0
20221223T,52.37,52.37,52.37,52.37,0
20221226T,42.85,42.85,42.85,42.85,0
20221227T,41.81,41.81,41.81,41.81,0
20221228T,56.3,56.3,56.3,56.3,0
20221229T,53.07,53.07,53.07,53.07,0
20221230T,46.46,46.46,46.46,46.46,0
20230102T,52.52,52.52,52.52,52.52,0
20230103T,58.84,58.84,58.84,58.84,0
