date,open,high,low,close,volume
20191001T,90.09,90.09,90.09,90.09,0
20191003T,96.63,96.63,96.63,96.63,0
20191004T,64.32,64.32,64.32,64.32,0
20191007T,75.36,75.36,75.36,75.36,0
20191008T,75.36,75.36,75.36,75.36,0
20191009T,92.89,92.89,92.89,92.89,0
20191010T,91.05,91.05,91.05,91.05,0
20191011T,86.34,86.34,86.34,86.34,0
20191014T,64.48,64.48,64.48,64.48,0
20191015T,56.04,56.04,56.04,56.04,0
20191016T,76.19,76.19,76.19,76.19,0
20191017T,96.5,96.5,96.5,96.5,0
20191018T,70.43,70.43,70.43,70.43,0
20191021T,70.43,70.43,70.43,70.43,0
20191022T,64.0,64.0,64.0,64.0,0
20191023T,72.37,72.37,72.37,72.37,0
20191024T,70.23,70.23,70.23,70.23,0
20191025T,88.4,88.4,88.4,88.4,0
20191028T,96.45,96.45,96.45,96.45,0
20191029T,95.18,95.18,95.18,95.18,0
20191030T,73.04,73.04,73.04,73.04,0
20191031T,68.02,68.02,68.02,68.02,0
20191101T,84.59,84.59,84.59,84.59,0
20191104T,80.41,80.41,80.41,80.41,0
20191105T,54.95,54.95,54.95,54.95,0
20191106T,97.6,97.6,97.6,97.6,0
20191107T,93.06,93.06,93.06,93.06,0
20191108T,77.03,77.03,77.03,77.03,0
20191111T,60.9,60.9,60.9,60.9,0
20191112T,60.9,60.9,60.9,60.9,0
20191113T,92.69,92.69,92.69,92.69,0
20191114T,96.64,96.64,96.64,96.64,0
20191115T,87.11,87.11,87.11,87.11,0
20191118T,90.53,90.53,90.53,90.53,0
20191119T,71.95,71.95,71.95,71.95,0
20191120T,81.8,81.8,81.8,81.8,0
20191121T,73.49,73.49,73.49,73.49,0
20191122T,88.6,88.6,88.6,88.6,0
20191125T,86.62,86.62,86.62,86.62,0
20191126T,66.82,66.82,66.82,66.82,0
20191127T,82.44,82.44,82.44,82.44,0
20191128T,56.54,56.54,56.54,56.54,0
20191129T,68.65,68.65,68.65,68.65,0
20191202T,70.49,70.49,70.49,70.49,0
20191203T,67.58,67.58,67.58,67.58,0
20191204T,90.29,90.29,90.29,90.29,0
20191205T,93.25,93.25,93.25,93.25,0
20191206T,72.72,72.72,72.72,72.72,0
20191209T,81.02,81.02,81.02,81.02,0
20191210T,88.07,88.07,88.07,88.07,0
20191211T,99.51,99.51,99.51,99.51,0
20191212T,98.17,98.17,98.17,98.17,0
20191213T,92.63,92.63,92.63,92.63,0
20191216T,90.62,90.62,90.62,90.62,0
20191217T,92.08,92.08,92.08,92.08,0
20191218T,64.96,64.96,64.96,64.96,0
20191219T,91.4,91.4,91.4,91.4,0
20191220T,81.81,81.81,81.81,81.81,0
20191223T,73.56,73.56,73.56,73.56,0
20191224T,74.73,74.73,74.73,74.73,0
20191225T,74.73,74.73,74.73,74.73,0
20191226T,64.39,64.39,64.39,64.39,0
20191227T,83.43,83.43,83.43,83.43,0
20191230T,75.4,75.4,75.4,75.4,0
20191231T,55.3,55.3,55.3,55.3,0
20200101T,55.7,55.7,55.7,55.7,0
20200102T,71.68,71.68,71.68,71.68,0
20200103T,61.93,61.93,61.93,61.93,0
20200106T,55.6,55.6,55.6,55.6,0
20200107T,81.19,81.19,81.19,81.19,0
20200108T,77.34,77.34,77.34,77.34,0
20200109T,87.36,87.36,87.36,87.36,0
20200110T,81.36,81.36,81.36,81.36,0
20200113T,90.92,90.92,90.92,90.92,0
20200114T,86.99,86.99,86.99,86.99,0
20200115T,77.6,77.6,77.6,77.6,0
20200116T,67.22,67.22,67.22,67.22,0
20200117T,93.22,93.22,93.22,93.22,0
20200120T,82.07,82.07,82.07,82.07,0
20200121T,62.94,62.94,62.94,62.94,0
20200122T,53.27,53.27,53.27,53.27,0
20200123T,85.34,85.34,85.34,85.34,0
20200124T,45.43,45.43,45.43,45.43,0
20200127T,82.18,82.18,82.18,82.18,0
20200128T,95.75,95.75,95.75,95.75,0
20200129T,72.94,72.94,72.94,72.94,0
20200130T,82.65,82.65,82.65,82.65,0
20200131T,90.63,90.63,90.63,90.63,0
20200203T,72.85,72.85,72.85,72.85,0
20200204T,89.96,89.96,89.96,89.96,0
20200205T,41.18,41.18,41.18,41.18,0
20200206T,83.49,83.49,83.49,83.49,0
20200207T,45.02,45.02,45.02,45.02,0
20200210T,76.3,76.3,76.3,76.3,0
20200211T,89.74,89.74,89.74,89.74,0
20200212T,89.57,89.57,89.57,89.57,0
20200213T,90.21,90.21,90.21,90.21,0
20200214T,77.22,77.22,77.22,77.22,0
20200217T,89.15,89.15,89.15,89.15,0
20200218T,91.63,91.63,91.63,91.63,0
20200219T,63.52,63.52,63.52,63.52,0
20200220T,55.59,55.59,55.59,55.59,0
20200221T,55.59,55.59,55.59,55.59,0
20200224T,70.75,70.75,70.75,70.75,0
20200225T,90.6,90.6,90.6,90.6,0
20200226T,95.87,95.87,95.87,95.87,0
20200227T,95.58,95.58,95.58,95.58,0
20200228T,90.35,90.35,90.35,90.35,0
20200302T,89.04,89.04,89.04,89.04,0
20200303T,96.79,96.79,96.79,96.79,0
20200304T,87.3,87.3,87.3,87.3,0
20200305T,90.07,90.07,90.07,90.07,0
20200306T,85.53,85.53,85.53,85.53,0
20200309T,93.48,93.48,93.48,93.48,0
20200310T,93.48,93.48,93.48,93.48,0
20200311T,92.56,92.56,92.56,92.56,0
20200312T,96.31,96.31,96.31,96.31,0
20200313T,73.11,73.11,73.11,73.11,0
20200316T,75.13,75.13,75.13,75.13,0
20200317T,86.62,86.62,86.62,86.62,0
20200318T,89.28,89.28,89.28,89.28,0
20200319T,95.3,95.3,95.3,95.3,0
20200320T,83.76,83.76,83.76,83.76,0
20200323T,84.47,84.47,84.47,84.47,0
20200324T,91.61,91.61,91.61,91.61,0
20200325T,82.89,82.89,82.89,82.89,0
20200326T,59.32,59.32,59.32,59.32,0
20200327T,88.19,88.19,88.19,88.19,0
20200330T,84.61,84.61,84.61,84.61,0
20200331T,99.15,99.15,99.15,99.15,0
20200401T,87.0,87.0,87.0,87.0,0
20200402T,87.0,87.0,87.0,87.0,0
20200403T,74.25,74.25,74.25,74.25,0
20200406T,74.25,74.25,74.25,74.25,0
20200407T,77.74,77.74,77.74,77.74,0
20200408T,56.08,56.08,56.08,56.08,0
20200409T,59.87,59.87,59.87,59.87,0
20200410T,59.87,59.87,59.87,59.87,0
20200413T,73.91,73.91,73.91,73.91,0
20200415T,35.92,35.92,35.92,35.92,0
20200416T,84.42,84.42,84.42,84.42,0
20200417T,60.58,60.58,60.58,60.58,0
20200420T,76.3,76.3,76.3,76.3,0
20200421T,61.99,61.99,61.99,61.99,0
20200422T,81.34,81.34,81.34,81.34,0
20200423T,94.62,94.62,94.62,94.62,0
20200424T,86.26,86.26,86.26,86.26,0
20200427T,85.02,85.02,85.02,85.02,0
20200428T,69.31,69.31,69.31,69.31,0
20200429T,84.43,84.43,84.43,84.43,0
20200430T,91.6,91.6,91.6,91.6,0
20200501T,91.6,91.6,91.6,91.6,0
20200504T,77.31,77.31,77.31,77.31,0
20200505T,63.45,63.45,63.45,63.45,0
20200506T,74.57,74.57,74.57,74.57,0
20200507T,83.33,83.33,83.33,83.33,0
20200508T,79.5,79.5,79.5,79.5,0
20200511T,52.16,52.16,52.16,52.16,0
20200512T,69.72,69.72,69.72,69.72,0
20200513T,53.59,53.59,53.59,53.59,0
20200514T,28.63,28.63,28.63,28.63,0
20200515T,57.67,57.67,57.67,57.67,0
20200518T,99.63,99.63,99.63,99.63,0
20200519T,68.23,68.23,68.23,68.23,0
20200520T,95.99,95.99,95.99,95.99,0
20200521T,52.5,52.5,52.5,52.5,0
20200522T,82.31,82.31,82.31,82.31,0
20200525T,82.31,82.31,82.31,82.31,0
20200526T,73.74,73.74,73.74,73.74,0
20200527T,86.1,86.1,86.1,86.1,0
20200528T,59.73,59.73,59.73,59.73,0
20200529T,79.33,79.33,79.33,79.33,0
20200601T,76.93,76.93,76.93,76.93,0
20200602T,67.81,67.81,67.81,67.81,0
20200603T,82.51,82.51,82.51,82.51,0
20200604T,83.95,83.95,83.95,83.95,0
20200605T,85.83,85.83,85.83,85.83,0
20200608T,92.49,92.49,92.49,92.49,0
20200609T,63.2,63.2,63.2,63.2,0
20200610T,67.57,67.57,67.57,67.57,0
20200611T,66.6,66.6,66.6,66.6,0
20200612T,50.64,50.64,50.64,50.64,0
20200615T,70.66,70.66,70.66,70.66,0
20200616T,88.14,88.14,88.14,88.14,0
20200617T,67.78,67.78,67.78,67.78,0
20200618T,83.69,83.69,83.69,83.69,0
20200619T,49.28,49.28,49.28,49.28,0
20200622T,76.82,76.82,76.82,76.82,0
20200623T,74.1,74.1,74.1,74.1,0
20200624T,71.64,71.64,71.64,71.64,0
20200625T,72.66,72.66,72.66,72.66,0
20200626T,79.13,79.13,79.13,79.13,0
20200629T,81.98,81.98,81.98,81.98,0
20200630T,62.24,62.24,62.24,62.24,0
20200701T,80.39,80.39,80.39,80.39,0
20200702T,68.6,68.6,68.6,68.6,0
20200703T,59.71,59.71,59.71,59.71,0
20200706T,61.96,61.96,61.96,61.96,0
20200707T,91.35,91.35,91.35,91.35,0
20200708T,92.5,92.5,92.5,92.5,0
20200709T,47.13,47.13,47.13,47.13,0
20200710T,74.62,74.62,74.62,74.62,0
20200713T,92.71,92.71,92.71,92.71,0
20200714T,89.06,89.06,89.06,89.06,0
20200715T,66.92,66.92,66.92,66.92,0
20200716T,57.91,57.91,57.91,57.91,0
20200717T,64.0,64.0,64.0,64.0,0
20200720T,71.26,71.26,71.26,71.26,0
20200721T,91.15,91.15,91.15,91.15,0
20200722T,74.11,74.11,74.11,74.11,0
20200723T,83.43,83.43,83.43,83.43,0
20200724T,62.0,62.0,62.0,62.0,0
20200727T,83.98,83.98,83.98,83.98,0
20200728T,60.18,60.18,60.18,60.18,0
20200729T,73.73,73.73,73.73,73.73,0
20200730T,59.75,59.75,59.75,59.75,0
20200731T,53.63,53.63,53.63,53.63,0
20200803T,89.34,89.34,89.34,89.34,0
20200804T,86.23,86.23,86.23,86.23,0
20200805T,70.3,70.3,70.3,70.3,0
20200806T,73.59,73.59,73.59,73.59,0
20200807T,89.03,89.03,89.03,89.03,0
20200810T,68.35,68.35,68.35,68.35,0
20200811T,54.48,54.48,54.48,54.48,0
20200812T,80.41,80.41,80.41,80.41,0
20200813T,85.27,85.27,85.27,85.27,0
20200814T,43.07,43.07,43.07,43.07,0
20200817T,81.13,81.13,81.13,81.13,0
20200818T,66.45,66.45,66.45,66.45,0
20200819T,53.99,53.99,53.99,53.99,0
20200820T,44.97,44.97,44.97,44.97,0
20200821T,65.64,65.64,65.64,65.64,0
20200824T,70.6,70.6,70.6,70.6,0
20200825T,59.45,59.45,59.45,59.45,0
20200826T,54.77,54.77,54.77,54.77,0
20200827T,92.06,92.06,92.06,92.06,0
20200828T,85.98,85.98,85.98,85.98,0
20200831T,71.8,71.8,71.8,71.8,0
20200901T,84.11,84.11,84.11,84.11,0
20200902T,95.35,95.35,95.35,95.35,0
20200903T,88.44,88.44,88.44,88.44,0
20200904T,81.41,81.41,81.41,81.41,0
20200907T,83.31,83.31,83.31,83.31,0
20200908T,81.93,81.93,81.93,81.93,0
20200909T,74.99,74.99,74.99,74.99,0
20200910T,76.9,76.9,76.9,76.9,0
20200911T,41.75,41.75,41.75,41.75,0
20200914T,62.59,62.59,62.59,62.59,0
20200915T,73.5,73.5,73.5,73.5,0
20200916T,56.33,56.33,56.33,56.33,0
20200917T,91.01,91.01,91.01,91.01,0
20200918T,79.75,79.75,79.75,79.75,0
20200921T,72.96,72.96,72.96,72.96,0
20200922T,78.67,78.67,78.67,78.67,0
20200923T,65.64,65.64,65.64,65.64,0
20200924T,59.94,59.94,59.94,59.94,0
20200925T,91.71,91.71,91.71,91.71,0
20200928T,74.22,74.22,74.22,74.22,0
20200929T,96.58,96.58,96.58,96.58,0
20200930T,94.28,94.28,94.28,94.28,0
20201001T,67.39,67.39,67.39,67.39,0
20201005T,53.82,53.82,53.82,53.82,0
20201006T,59.63,59.63,59.63,59.63,0
20201007T,65.44,65.44,65.44,65.44,0
20201008T,95.6,95.6,95.6,95.6,0
20201009T,86.54,86.54,86.54,86.54,0
20201012T,93.17,93.17,93.17,93.17,0
20201013T,79.72,79.72,79.72,79.72,0
20201014T,64.09,64.09,64.09,64.09,0
20201015T,76.59,76.59,76.59,76.59,0
20201016T,99.95,99.95,99.95,99.95,0
20201019T,72.5,72.5,72.5,72.5,0
20201020T,84.14,84.14,84.14,84.14,0
20201021T,92.65,92.65,92.65,92.65,0
20201022T,97.14,97.14,97.14,97.14,0
20201023T,79.47,79.47,79.47,79.47,0
20201026T,57.23,57.23,57.23,57.23,0
20201027T,56.74,56.74,56.74,56.74,0
20201028T,91.36,91.36,91.36,91.36,0
20201029T,99.57,99.57,99.57,99.57,0
20201030T,99.51,99.51,99.51,99.51,0
20201102T,94.1,94.1,94.1,94.1,0
20201103T,86.26,86.26,86.26,86.26,0
20201104T,91.05,91.05,91.05,91.05,0
20201105T,61.03,61.03,61.03,61.03,0
20201106T,35.37,35.37,35.37,35.37,0
20201109T,25.55,25.55,25.55,25.55,0
20201110T,67.32,67.32,67.32,67.32,0
20201111T,90.96,90.96,90.96,90.96,0
20201112T,76.6,76.6,76.6,76.6,0
20201113T,70.66,70.66,70.66,70.66,0
20201116T,97.82,97.82,97.82,97.82,0
20201117T,74.1,74.1,74.1,74.1,0
20201118T,81.46,81.46,81.46,81.46,0
20201119T,65.25,65.25,65.25,65.25,0
20201120T,87.94,87.94,87.94,87.94,0
20201123T,39.77,39.77,39.77,39.77,0
20201124T,55.51,55.51,55.51,55.51,0
20201125T,55.42,55.42,55.42,55.42,0
20201126T,85.95,85.95,85.95,85.95,0
20201127T,89.95,89.95,89.95,89.95,0
20201130T,89.95,89.95,89.95,89.95,0
20201201T,74.78,74.78,74.78,74.78,0
20201202T,83.35,83.35,83.35,83.35,0
20201203T,81.35,81.35,81.35,81.35,0
20201204T,71.92,71.92,71.92,71.92,0
20201207T,78.21,78.21,78.21,78.21,0
20201208T,65.53,65.53,65.53,65.53,0
20201209T,47.1,47.1,47.1,47.1,0
20201210T,63.88,63.88,63.88,63.88,0
20201211T,61.18,61.18,61.18,61.18,0
20201214T,52.51,52.51,52.51,52.51,0
20201215T,42.08,42.08,42.08,42.08,0
20201216T,68.68,68.68,68.68,68.68,0
20201217T,82.49,82.49,82.49,82.49,0
20201218T,66.71,66.71,66.71,66.71,0
20201221T,61.54,61.54,61.54,61.54,0
20201222T,50.67,50.67,50.67,50.67,0
20201223T,37.69,37.69,37.69,37.69,0
20201224T,86.7,86.7,86.7,86.7,0
20201225T,86.7,86.7,86.7,86.7,0
20201228T,80.86,80.86,80.86,80.86,0
20201229T,91.37,91.37,91.37,91.37,0
20201230T,77.75,77.75,77.75,77.75,0
20201231T,68.54,68.54,68.54,68.54,0
20210101T,78.31,78.31,78.31,78.31,0
20210104T,54.79,54.79,54.79,54.79,0
20210105T,60.8,60.8,60.8,60.8,0
20210106T,35.5,35.5,35.5,35.5,0
20210107T,34.85,34.85,34.85,34.85,0
20210108T,43.32,43.32,43.32,43.32,0
20210111T,65.42,65.42,65.42,65.42,0
20210112T,55.16,55.16,55.16,55.16,0
20210113T,55.39,55.39,55.39,55.39,0
20210114T,61.28,61.28,61.28,61.28,0
20210115T,38.12,38.12,38.12,38.12,0
20210118T,65.16,65.16,65.16,65.16,0
20210119T,59.65,59.65,59.65,59.65,0
20210120T,59.48,59.48,59.48,59.48,0
20210121T,42.38,42.38,42.38,42.38,0
20210122T,51.88,51.88,51.88,51.88,0
20210125T,38.77,38.77,38.77,38.77,0
20210127T,72.91,72.91,72.91,72.91,0
20210128T,56.48,56.48,56.48,56.48,0
20210129T,79.78,79.78,79.78,79.78,0
20210201T,53.71,53.71,53.71,53.71,0
20210202T,61.61,61.61,61.61,61.61,0
20210203T,56.52,56.52,56.52,56.52,0
20210204T,29.62,29.62,29.62,29.62,0
20210205T,44.48,44.48,44.48,44.48,0
20210208T,60.25,60.25,60.25,60.25,0
20210209T,74.34,74.34,74.34,74.34,0
20210210T,40.4,40.4,40.4,40.4,0
20210211T,52.69,52.69,52.69,52.69,0
20210212T,66.87,66.87,66.87,66.87,0
20210215T,61.75,61.75,61.75,61.75,0
20210216T,49.3,49.3,49.3,49.3,0
20210217T,49.72,49.72,49.72,49.72,0
20210218T,56.89,56.89,56.89,56.89,0
20210219T,69.31,69.31,69.31,69.31,0
20210222T,83.45,83.45,83.45,83.45,0
20210223T,77.35,77.35,77.35,77.35,0
20210224T,65.1,65.1,65.1,65.1,0
20210225T,62.99,62.99,62.99,62.99,0
20210226T,88.55,88.55,88.55,88.55,0
20210301T,50.95,50.95,50.95,50.95,0
20210302T,54.96,54.96,54.96,54.96,0
20210303T,71.77,71.77,71.77,71.77,0
20210304T,74.43,74.43,74.43,74.43,0
20210305T,60.94,60.94,60.94,60.94,0
20210308T,62.61,62.61,62.61,62.61,0
20210309T,71.03,71.03,71.03,71.03,0
20210310T,71.39,71.39,71.39,71.39,0
20210311T,71.39,71.39,71.39,71.39,0
20210312T,71.24,71.24,71.24,71.24,0
20210315T,55.68,55.68,55.68,55.68,0
20210316T,65.43,65.43,65.43,65.43,0
20210317T,59.12,59.12,59.12,59.12,0
20210318T,80.06,80.06,80.06,80.06,0
20210319T,44.28,44.28,44.28,44.28,0
20210322T,38.77,38.77,38.77,38.77,0
20210323T,78.52,78.52,78.52,78.52,0
20210324T,67.35,67.35,67.35,67.35,0
20210325T,75.09,75.09,75.09,75.09,0
20210326T,62.47,62.47,62.47,62.47,0
20210329T,62.47,62.47,62.47,62.47,0
20210330T,73.3,73.3,73.3,73.3,0
