date,open,high,low,close,volume
20191001T,70.7,70.7,70.7,70.7,0
20191003T,57.4,57.4,57.4,57.4,0
20191004T,65.45,65.45,65.45,65.45,0
20191007T,42.51,42.51,42.51,42.51,0
20191008T,42.51,42.51,42.51,42.51,0
20191009T,66.1,66.1,66.1,66.1,0
20191010T,60.8,60.8,60.8,60.8,0
20191011T,55.06,55.06,55.06,55.06,0
20191014T,48.69,48.69,48.69,48.69,0
20191015T,68.61,68.61,68.61,68.61,0
20191016T,39.41,39.41,39.41,39.41,0
20191017T,60.36,60.36,60.36,60.36,0
20191018T,59.84,59.84,59.84,59.84,0
20191021T,59.84,59.84,59.84,59.84,0
20191022T,51.59,51.59,51.59,51.59,0
20191023T,48.66,48.66,48.66,48.66,0
20191024T,45.75,45.75,45.75,45.75,0
20191025T,56.29,56.29,56.29,56.29,0
20191028T,69.83,69.83,69.83,69.83,0
20191029T,45.54,45.54,45.54,45.54,0
20191030T,63.1,63.1,63.1,63.1,0
20191031T,66.84,66.84,66.84,66.84,0
20191101T,69.05,69.05,69.05,69.05,0
20191104T,46.18,46.18,46.18,46.18,0
20191105T,38.6,38.6,38.6,38.6,0
20191106T,50.5,50.5,50.5,50.5,0
20191107T,33.53,33.53,33.53,33.53,0
20191108T,46.04,46.04,46.04,46.04,0
20191111T,52.73,52.73,52.73,52.73,0
20191112T,52.73,52.73,52.73,52.73,0
20191113T,61.92,61.92,61.92,61.92,0
20191114T,46.33,46.33,46.33,46.33,0
20191115T,53.15,53.15,53.15,53.15,0
20191118T,65.49,65.49,65.49,65.49,0
20191119T,52.89,52.89,52.89,52.89,0
20191120T,87.85,87.85,87.85,87.85,0
20191121T,58.18,58.18,58.18,58.18,0
20191122T,42.23,42.23,42.23,42.23,0
20191125T,43.9,43.9,43.9,43.9,0
20191126T,35.67,35.67,35.67,35.67,0
20191127T,86.86,86.86,86.86,86.86,0
20191128T,56.91,56.91,56.91,56.91,0
20191129T,48.52,48.52,48.52,48.52,0
20191202T,55.27,55.27,55.27,55.27,0
20191203T,76.99,76.99,76.99,76.99,0
20191204T,51.95,51.95,51.95,51.95,0
20191205T,50.01,50.01,50.01,50.01,0
20191206T,69.03,69.03,69.03,69.03,0
20191209T,81.4,81.4,81.4,81.4,0
20191210T,40.87,40.87,40.87,40.87,0
20191211T,79.17,79.17,79.17,79.17,0
20191212T,50.09,50.09,50.09,50.09,0
20191213T,39.36,39.36,39.36,39.36,0
20191216T,62.82,62.82,62.82,62.82,0
20191217T,73.57,73.57,73.57,73.57,0
20191218T,38.01,38.01,38.01,38.01,0
20191219T,35.75,35.75,35.75,35.75,0
20191220T,73.67,73.67,73.67,73.67,0
20191223T,65.64,65.64,65.64,65.64,0
20191224T,72.26,72.26,72.26,72.26,0
20191225T,72.26,72.26,72.26,72.26,0
20191226T,56.7,56.7,56.7,56.7,0
20191227T,82.12,82.12,82.12,82.12,0
20191230T,61.7,61.7,61.7,61.7,0
20191231T,50.76,50.76,50.76,50.76,0
20200101T,40.84,40.84,40.84,40.84,0
20200102T,51.37,51.37,51.37,51.37,0
20200103T,62.0,62.0,62.0,62.0,0
20200106T,49.52,49.52,49.52,49.52,0
20200107T,69.17,69.17,69.17,69.17,0
20200108T,47.03,47.03,47.03,47.03,0
20200109T,66.94,66.94,66.94,66.94,0
