date,open,high,low,close,volume
20220607T,49.98,49.98,49.98,49.98,0
20220608T,66.65,66.65,66.65,66.65,0
20220609T,75.76,75.76,75.76,75.76,0
20220610T,55.82,55.82,55.82,55.82,0
20220613T,61.11,61.11,61.11,61.11,0
20220614T,65.97,65.97,65.97,65.97,0
20220615T,62.13,62.13,62.13,62.13,0
20220616T,74.87,74.87,74.87,74.87,0
20220617T,65.96,65.96,65.96,65.96,0
20220620T,77.19,77.19,77.19,77.19,0
20220621T,66.9,66.9,66.9,66.9,0
20220622T,74.13,74.13,74.13,74.13,0
20220623T,69.69,69.69,69.69,69.69,0
20220624T,70.27,70.27,70.27,70.27,0
20220627T,66.44,66.44,66.44,66.44,0
20220628T,73.46,73.46,73.46,73.46,0
20220629T,73.89,73.89,73.89,73.89,0
20220630T,67.87,67.87,67.87,67.87,0
20220701T,43.71,43.71,43.71,43.71,0
20220704T,69.57,69.57,69.57,69.57,0
20220705T,72.91,72.91,72.91,72.91,0
20220706T,73.11,73.11,73.11,73.11,0
20220707T,68.13,68.13,68.13,68.13,0
20220708T,54.72,54.72,54.72,54.72,0
20220711T,58.88,58.88,58.88,58.88,0
20220712T,68.07,68.07,68.07,68.07,0
20220713T,71.02,71.02,71.02,71.02,0
20220714T,63.6,63.6,63.6,63.6,0
20220715T,61.91,61.91,61.91,61.91,0
20220718T,52.53,52.53,52.53,52.53,0
20220719T,54.87,54.87,54.87,54.87,0
20220720T,46.14,46.14,46.14,46.14,0
20220721T,55.66,55.66,55.66,55.66,0
20220722T,56.77,56.77,56.77,56.77,0
20220725T,65.75,65.75,65.75,65.75,0
20220726T,35.88,35.88,35.88,35.88,0
20220727T,69.33,69.33,69.33,69.33,0
20220728T,68.52,68.52,68.52,68.52,0
20220729T,82.4,82.4,82.4,82.4,0
20220801T,64.64,64.64,64.64,64.64,0
20220802T,70.27,70.27,70.27,70.27,0
20220803T,52.78,52.78,52.78,52.78,0
20220804T,43.69,43.69,43.69,43.69,0
20220805T,59.06,59.06,59.06,59.06,0
20220810T,62.33,62.33,62.33,62.33,0
20220811T,59.44,59.44,59.44,59.44,0
20220812T,75.03,75.03,75.03,75.03,0
20220816T,73.48,73.48,73.48,73.48,0
20220817T,60.97,60.97,60.97,60.97,0
20220818T,53.8,53.8,53.8,53.8,0
20220819T,57.67,57.67,57.67,57.67,0
20220822T,58.26,58.26,58.26,58.26,0
20220823T,57.37,57.37,57.37,57.37,0
20220824T,51.84,51.84,51.84,51.84,0
20220825T,65.81,65.81,65.81,65.81,0
20220826T,55.35,55.35,55.35,55.35,0
20220829T,66.7,66.7,66.7,66.7,0
20220830T,59.12,59.12,59.12,59.12,0
20220831T,59.12,59.12,59.12,59.12,0
20220901T,60.61,60.61,60.61,60.61,0
20220902T,60.99,60.99,60.99,60.99,0
20220905T,62.58,62.58,62.58,62.58,0
20220906T,60.6,60.6,60.6,60.6,0
20220907T,54.23,54.23,54.23,54.23,0
20220908T,75.21,75.21,75.21,75.21,0
20220909T,64.62,64.62,64.62,64.62,0
20220912T,80.42,80.42,80.42,80.42,0
20220913T,66.6,66.6,66.6,66.6,0
20220914T,61.74,61.74,61.74,61.74,0
20220915T,60.5,60.5,60.5,60.5,0
20220916T,67.69,67.69,67.69,67.69,0
20220919T,55.75,55.75,55.75,55.75,0
20220920T,63.77,63.77,63.77,63.77,0
20220921T,62.28,62.28,62.28,62.28,0
20220922T,62.01,62.01,62.01,62.01,0
20220923T,70.26,70.26,70.26,70.26,0
20220926T,64.35,64.35,64.35,64.35,0
20220927T,65.35,65.35,65.35,65.35,0
20220928T,67.24,67.24,67.24,67.24,0
20220929T,71.36,71.36,71.36,71.36,0
20220930T,63.58,63.58,63.58,63.58,0
20221003T,59.28,59.28,59.28,59.28,0
20221004T,76.22,76.22,76.22,76.22,0
20221005T,76.22,76.22,76.22,76.22,0
20221006T,78.3,78.3,78.3,78.3,0
20221007T,70.54,70.54,70.54,70.54,0
20221010T,54.38,54.38,54.38,54.38,0
20221011T,72.82,72.82,72.82,72.82,0
20221012T,62.58,62.58,62.58,62.58,0
20221013T,59.3,59.3,59.3,59.3,0
20221014T,58.6,58.6,58.6,58.6,0
20221017T,49.45,49.45,49.45,49.45,0
20221018T,59.05,59.05,59.05,59.05,0
20221019T,60.11,60.11,60.11,60.11,0
20221020T,67.57,67.57,67.57,67.57,0
20221021T,64.59,64.59,64.59,64.59,0
20221024T,79.6,79.6,79.6,79.6,0
20221025T,55.21,55.21,55.21,55.21,0
20221026T,55.21,55.21,55.21,55.21,0
20221027T,67.41,67.41,67.41,67.41,0
20221028T,48.18,48.18,48.18,48.18,0
20221031T,55.97,55.97,55.97,55.97,0
20221101T,66.23,66.23,66.23,66.23,0
20221102T,76.88,76.88,76.88,76.88,0
20221103T,57.35,57.35,57.35,57.35,0
20221104T,53.58,53.58,53.58,53.58,0
20221107T,57.32,57.32,57.32,57.32,0
20221108T,57.32,57.32,57.32,57.32,0
20221109T,54.63,54.63,54.63,54.63,0
20221110T,49.3,49.3,49.3,49.3,0
20221111T,56.28,56.28,56.28,56.28,0
20221114T,71.23,71.23,71.23,71.23,0
20221115T,66.31,66.31,66.31,66.31,0
20221116T,64.24,64.24,64.24,64.24,0
20221117T,57.94,57.94,57.94,57.94,0
20221118T,55.03,55.03,55.03,55.03,0
20221121T,60.1,60.1,60.1,60.1,0
20221122T,57.54,57.54,57.54,57.54,0
20221123T,51.72,51.72,51.72,51.72,0
20221124T,44.9,44.9,44.9,44.9,0
20221125T,47.7,47.7,47.7,47.7,0
20221128T,58.14,58.14,58.14,58.14,0
20221129T,48.3,48.3,48.3,48.3,0
20221130T,49.55,49.55,49.55,49.55,0
20221201T,64.29,64.29,64.29,64.29,0
20221202T,64.16,64.16,64.16,64.16,0
20221205T,72.63,72.63,72.63,72.63,0
20221206T,50.98,50.98,50.98,50.98,0
20221207T,57.45,57.45,57.45,57.45,0
20221208T,55.87,55.87,55.87,55.87,0
20221209T,63.39,63.39,63.39,63.39,0
20221212T,42.14,42.14,42.14,42.14,0
20221213T,55.55,55.55,55.55,55.55,0
20221214T,62.75,62.75,62.75,62.75,0
20221215T,60.29,60.29,60.29,60.29,0
20221216T,65.89,65.89,65.89,65.89,0
20221219T,56.04,56.04,56.04,56.04,0
20221220T,60.0,60.0,60.0,60.0,0
20221221T,71.94,71.94,71.94,71.94,0
20221222T,51.59,51.59,51.59,51.59,0
20221223T,56.57,56.57,56.57,56.57,0
20221226T,59.65,59.65,59.65,59.65,0
20221227T,71.31,71.31,71.31,71.31,0
20221228T,70.51,70.51,70.51,70.51,0
20221229T,64.78,64.78,64.78,64.78,0
20221230T,54.55,54.55,54.55,54.55,0
20230102T,42.5,42.5,42.5,42.5,0
20230103T,61.78,61.78,61.78,61.78,0
20230104T,50.68,50.68,50.68,50.68,0
20230105T,69.89,69.89,69.89,69.89,0
20230106T,49.75,49.75,49.75,49.75,0
20230109T,59.87,59.87,59.87,59.87,0
20230110T,57.91,57.91,57.91,57.91,0
20230111T,59.45,59.45,59.45,59.45,0
20230112T,54.31,54.31,54.31,54.31,0
20230113T,61.63,61.63,61.63,61.63,0
20230116T,66.13,66.13,66.13,66.13,0
20230117T,63.17,63.17,63.17,63.17,0
20230118T,59.57,59.57,59.57,59.57,0
20230119T,55.74,55.74,55.74,55.74,0
20230120T,56.06,56.06,56.06,56.06,0
20230123T,56.92,56.92,56.92,56.92,0
20230124T,42.06,42.06,42.06,42.06,0
20230125T,57.39,57.39,57.39,57.39,0
20230127T,60.43,60.43,60.43,60.43,0
20230130T,50.28,50.28,50.28,50.28,0
20230131T,45.41,45.41,45.41,45.41,0
20230201T,58.42,58.42,58.42,58.42,0
20230202T,42.97,42.97,42.97,42.97,0
20230203T,64.94,64.94,64.94,64.94,0
20230206T,59.39,59.39,59.39,59.39,0
20230207T,65.8,65.8,65.8,65.8,0
20230208T,66.57,66.57,66.57,66.57,0
20230209T,58.19,58.19,58.19,58.19,0
20230210T,60.52,60.52,60.52,60.52,0
20230213T,62.35,62.35,62.35,62.35,0
20230214T,40.47,40.47,40.47,40.47,0
