date,open,high,low,close,volume
20240628T,55.86,55.86,55.86,55.86,0
20240701T,39.19,39.19,39.19,39.19,0
20240702T,54.17,54.17,54.17,54.17,0
20240703T,48.82,48.82,48.82,48.82,0
20240704T,40.58,40.58,40.58,40.58,0
20240705T,43.15,43.15,43.15,43.15,0
20240708T,40.42,40.42,40.42,40.42,0
20240709T,41.5,41.5,41.5,41.5,0
20240710T,40.72,40.72,40.72,40.72,0
20240711T,25.55,25.55,25.55,25.55,0
20240712T,31.73,31.73,31.73,31.73,0
20240715T,41.76,41.76,41.76,41.76,0
20240716T,45.61,45.61,45.61,45.61,0
20240717T,45.61,45.61,45.61,45.61,0
20240718T,48.45,48.45,48.45,48.45,0
20240719T,39.49,39.49,39.49,39.49,0
20240722T,30.67,30.67,30.67,30.67,0
20240723T,35.03,35.03,35.03,35.03,0
20240724T,48.06,48.06,48.06,48.06,0
20240725T,50.2,50.2,50.2,50.2,0
20240726T,59.12,59.12,59.12,59.12,0
20240729T,38.2,38.2,38.2,38.2,0
20240730T,49.7,49.7,49.7,49.7,0
20240731T,30.67,30.67,30.67,30.67,0
20240801T,46.07,46.07,46.07,46.07,0
20240802T,41.98,41.98,41.98,41.98,0
20240805T,48.66,48.66,48.66,48.66,0
20240806T,43.54,43.54,43.54,43.54,0
20240807T,40.64,40.64,40.64,40.64,0
20240808T,46.16,46.16,46.16,46.16,0
20240809T,48.17,48.17,48.17,48.17,0
20240812T,49.72,49.72,49.72,49.72,0
20240813T,52.41,52.41,52.41,52.41,0
20240814T,49.27,49.27,49.27,49.27,0
20240816T,51.08,51.08,51.08,51.08,0
20240819T,59.55,59.55,59.55,59.55,0
20240820T,46.1,46.1,46.1,46.1,0
20240821T,55.12,55.12,55.12,55.12,0
20240822T,55.89,55.89,55.89,55.89,0
20240823T,53.55,53.55,53.55,53.55,0
20240826T,63.23,63.23,63.23,63.23,0
20240827T,55.78,55.78,55.78,55.78,0
20240828T,58.73,58.73,58.73,58.73,0
20240829T,40.64,40.64,40.64,40.64,0
20240830T,49.27,49.27,49.27,49.27,0
20240902T,46.97,46.97,46.97,46.97,0
20240903T,64.23,64.23,64.23,64.23,0
20240904T,45.38,45.38,45.38,45.38,0
20240905T,54.67,54.67,54.67,54.67,0
20240906T,56.44,56.44,56.44,56.44,0
20240909T,58.83,58.83,58.83,58.83,0
20240910T,42.77,42.77,42.77,42.77,0
20240911T,50.72,50.72,50.72,50.72,0
20240912T,44.22,44.22,44.22,44.22,0
20240913T,53.56,53.56,53.56,53.56,0
20240916T,59.95,59.95,59.95,59.95,0
20240917T,56.82,56.82,56.82,56.82,0
20240918T,45.64,45.64,45.64,45.64,0
20240919T,58.0,58.0,58.0,58.0,0
20240920T,51.94,51.94,51.94,51.94,0
20240923T,61.29,61.29,61.29,61.29,0
20240924T,74.1,74.1,74.1,74.1,0
20240925T,61.84,61.84,61.84,61.84,0
20240926T,62.88,62.88,62.88,62.88,0
20240927T,53.47,53.47,53.47,53.47,0
20240930T,56.31,56.31,56.31,56.31,0
20241001T,44.37,44.37,44.37,44.37,0
20241003T,59.57,59.57,59.57,59.57,0
20241004T,51.66,51.66,51.66,51.66,0
20241007T,59.36,59.36,59.36,59.36,0
20241008T,53.37,53.37,53.37,53.37,0
20241009T,35.4,35.4,35.4,35.4,0
20241010T,57.11,57.11,57.11,57.11,0
20241011T,65.21,65.21,65.21,65.21,0
20241014T,35.28,35.28,35.28,35.28,0
20241015T,71.19,71.19,71.19,71.19,0
20241016T,56.26,56.26,56.26,56.26,0
20241017T,49.73,49.73,49.73,49.73,0
20241018T,47.42,47.42,47.42,47.42,0
20241021T,35.37,35.37,35.37,35.37,0
20241022T,37.36,37.36,37.36,37.36,0
20241023T,37.77,37.77,37.77,37.77,0
20241024T,49.0,49.0,49.0,49.0,0
20241025T,45.02,45.02,45.02,45.02,0
20241028T,45.44,45.44,45.44,45.44,0
20241029T,52.42,52.42,52.42,52.42,0
20241030T,45.65,45.65,45.65,45.65,0
20241031T,49.25,49.25,49.25,49.25,0
20241101T,65.18,65.18,65.18,65.18,0
20241104T,56.0,56.0,56.0,56.0,0
20241105T,43.1,43.1,43.1,43.1,0
20241106T,56.28,56.28,56.28,56.28,0
20241107T,46.61,46.61,46.61,46.61,0
20241108T,54.69,54.69,54.69,54.69,0
20241111T,52.99,52.99,52.99,52.99,0
20241112T,52.69,52.69,52.69,52.69,0
20241113T,50.47,50.47,50.47,50.47,0
20241114T,38.35,38.35,38.35,38.35,0
20241118T,42.1,42.1,42.1,42.1,0
20241119T,61.88,61.88,61.88,61.88,0
20241120T,61.88,61.88,61.88,61.88,0
20241121T,51.57,51.57,51.57,51.57,0
20241122T,40.78,40.78,40.78,40.78,0
20241125T,51.23,51.23,51.23,51.23,0
20241126T,54.51,54.51,54.51,54.51,0
20241127T,46.24,46.24,46.24,46.24,0
20241128T,47.69,47.69,47.69,47.69,0
20241129T,59.6,59.6,59.6,59.6,0
20241202T,60.15,60.15,60.15,60.15,0
20241203T,46.98,46.98,46.98,46.98,0
20241204T,51.88,51.88,51.88,51.88,0
20241205T,53.96,53.96,53.96,53.96,0
20241206T,56.77,56.77,56.77,56.77,0
20241209T,55.02,55.02,55.02,55.02,0
20241210T,52.56,52.56,52.56,52.56,0
20241211T,40.77,40.77,40.77,40.77,0
20241212T,56.21,56.21,56.21,56.21,0
20241213T,41.2,41.2,41.2,41.2,0
20241216T,41.78,41.78,41.78,41.78,0
20241217T,52.65,52.65,52.65,52.65,0
20241218T,47.9,47.9,47.9,47.9,0
20241219T,53.18,53.18,53.18,53.18,0
20241220T,60.95,60.95,60.95,60.95,0
20241223T,43.2,43.2,43.2,43.2,0
20241224T,53.39,53.39,53.39,53.39,0
20241225T,53.39,53.39,53.39,53.39,0
20241226T,62.92,62.92,62.92,62.92,0
20241227T,71.61,71.61,71.61,71.61,0
20241230T,51.22,51.22,51.22,51.22,0
20241231T,78.54,78.54,78.54,78.54,0
20250101T,42.47,42.47,42.47,42.47,0
20250102T,59.12,59.12,59.12,59.12,0
20250103T,48.52,48.52,48.52,48.52,0
20250106T,53.87,53.87,53.87,53.87,0
20250107T,45.16,45.16,45.16,45.16,0
20250108T,62.64,62.64,62.64,62.64,0
20250109T,60.44,60.44,60.44,60.44,0
20250110T,55.91,55.91,55.91,55.91,0
20250113T,52.58,52.58,52.58,52.58,0
20250114T,54.67,54.67,54.67,54.67,0
20250115T,47.04,47.04,47.04,47.04,0
20250116T,48.48,48.48,48.48,48.48,0
20250117T,44.91,44.91,44.91,44.91,0
20250120T,65.27,65.27,65.27,65.27,0
20250121T,63.68,63.68,63.68,63.68,0
20250122T,45.29,45.29,45.29,45.29,0
20250123T,56.4,56.4,56.4,56.4,0
20250124T,56.28,56.28,56.28,56.28,0
20250127T,51.86,51.86,51.86,51.86,0
20250128T,44.38,44.38,44.38,44.38,0
20250129T,51.97,51.97,51.97,51.97,0
20250130T,40.74,40.74,40.74,40.74,0
20250131T,59.71,59.71,59.71,59.71,0
20250203T,45.42,45.42,45.42,45.42,0
20250204T,51.11,51.11,51.11,51.11,0
20250205T,46.0,46.0,46.0,46.0,0
20250206T,40.8,40.8,40.8,40.8,0
20250207T,51.17,51.17,51.17,51.17,0
20250210T,71.68,71.68,71.68,71.68,0
20250211T,57.2,57.2,57.2,57.2,0
20250212T,44.45,44.45,44.45,44.45,0
20250213T,42.5,42.5,42.5,42.5,0
20250214T,61.93,61.93,61.93,61.93,0
20250217T,57.02,57.02,57.02,57.02,0
20250218T,63.19,63.19,63.19,63.19,0
20250219T,55.51,55.51,55.51,55.51,0
20250220T,56.74,56.74,56.74,56.74,0
20250221T,51.57,51.57,51.57,51.57,0
20250224T,84.48,84.48,84.48,84.48,0
20250225T,73.85,73.85,73.85,73.85,0
20250227T,60.83,60.83,60.83,60.83,0
20250228T,50.37,50.37,50.37,50.37,0
20250303T,60.04,60.04,60.04,60.04,0
20250304T,58.68,58.68,58.68,58.68,0
20250305T,83.53,83.53,83.53,83.53,0
20250306T,75.49,75.49,75.49,75.49,0
20250307T,43.79,43.79,43.79,43.79,0
20250310T,63.27,63.27,63.27,63.27,0
20250311T,48.51,48.51,48.51,48.51,0
20250312T,49.57,49.57,49.57,49.57,0
