date,open,high,low,close,volume
20191001T,13.05,13.05,13.05,13.05,0
20191003T,14.84,14.84,14.84,14.84,0
20191004T,23.27,23.27,23.27,23.27,0
20191007T,18.46,18.46,18.46,18.46,0
20191008T,18.46,18.46,18.46,18.46,0
20191009T,7.8,7.8,7.8,7.8,0
20191010T,7.99,7.99,7.99,7.99,0
20191011T,8.39,8.39,8.39,8.39,0
20191014T,10.96,10.96,10.96,10.96,0
20191015T,10.88,10.88,10.88,10.88,0
20191016T,10.8,10.8,10.8,10.8,0
20191017T,16.81,16.81,16.81,16.81,0
20191018T,26.4,26.4,26.4,26.4,0
20191021T,26.4,26.4,26.4,26.4,0
20191022T,13.19,13.19,13.19,13.19,0
20191023T,13.16,13.16,13.16,13.16,0
20191024T,13.8,13.8,13.8,13.8,0
20191025T,8.9,8.9,8.9,8.9,0
20191028T,27.73,27.73,27.73,27.73,0
20191029T,16.36,16.36,16.36,16.36,0
20191030T,8.11,8.11,8.11,8.11,0
20191031T,21.22,21.22,21.22,21.22,0
20191101T,21.42,21.42,21.42,21.42,0
20191104T,17.83,17.83,17.83,17.83,0
20191105T,19.77,19.77,19.77,19.77,0
20191106T,22.72,22.72,22.72,22.72,0
20191107T,19.59,19.59,19.59,19.59,0
20191108T,15.73,15.73,15.73,15.73,0
20191111T,25.78,25.78,25.78,25.78,0
20191112T,25.78,25.78,25.78,25.78,0
20191113T,26.94,26.94,26.94,26.94,0
20191114T,15.37,15.37,15.37,15.37,0
20191115T,53.03,53.03,53.03,53.03,0
20191118T,41.78,41.78,41.78,41.78,0
20191119T,52.15,52.15,52.15,52.15,0
20191120T,26.84,26.84,26.84,26.84,0
20191121T,33.08,33.08,33.08,33.08,0
20191122T,14.38,14.38,14.38,14.38,0
20191125T,24.63,24.63,24.63,24.63,0
20191126T,34.09,34.09,34.09,34.09,0
20191127T,18.54,18.54,18.54,18.54,0
20191128T,26.54,26.54,26.54,26.54,0
20191129T,27.55,27.55,27.55,27.55,0
20191202T,20.71,20.71,20.71,20.71,0
20191203T,21.85,21.85,21.85,21.85,0
20191204T,15.43,15.43,15.43,15.43,0
20191205T,18.54,18.54,18.54,18.54,0
20191206T,16.37,16.37,16.37,16.37,0
20191209T,15.35,15.35,15.35,15.35,0
20191210T,22.11,22.11,22.11,22.11,0
20191211T,27.37,27.37,27.37,27.37,0
20191212T,17.02,17.02,17.02,17.02,0
20191213T,15.91,15.91,15.91,15.91,0
20191216T,17.2,17.2,17.2,17.2,0
20191217T,29.76,29.76,29.76,29.76,0
20191218T,20.28,20.28,20.28,20.28,0
20191219T,19.15,19.15,19.15,19.15,0
20191220T,23.94,23.94,23.94,23.94,0
20191223T,36.23,36.23,36.23,36.23,0
20191224T,16.22,16.22,16.22,16.22,0
20191225T,16.22,16.22,16.22,16.22,0
20191226T,15.68,15.68,15.68,15.68,0
20191227T,24.67,24.67,24.67,24.67,0
20191230T,25.2,25.2,25.2,25.2,0
20191231T,33.96,33.96,33.96,33.96,0
20200101T,17.06,17.06,17.06,17.06,0
20200102T,36.81,36.81,36.81,36.81,0
20200103T,18.57,18.57,18.57,18.57,0
20200106T,25.13,25.13,25.13,25.13,0
20200107T,16.39,16.39,16.39,16.39,0
20200108T,26.98,26.98,26.98,26.98,0
20200109T,28.9,28.9,28.9,28.9,0
20200110T,17.82,17.82,17.82,17.82,0
20200113T,14.45,14.45,14.45,14.45,0
20200114T,21.61,21.61,21.61,21.61,0
20200115T,36.79,36.79,36.79,36.79,0
20200116T,35.78,35.78,35.78,35.78,0
20200117T,24.48,24.48,24.48,24.48,0
20200120T,44.24,44.24,44.24,44.24,0
20200121T,67.14,67.14,67.14,67.14,0
20200122T,42.93,42.93,42.93,42.93,0
20200123T,40.42,40.42,40.42,40.42,0
20200124T,29.8,29.8,29.8,29.8,0
20200127T,26.38,26.38,26.38,26.38,0
20200128T,21.95,21.95,21.95,21.95,0
20200129T,50.67,50.67,50.67,50.67,0
20200130T,11.94,11.94,11.94,11.94,0
20200131T,22.79,22.79,22.79,22.79,0
20200203T,20.22,20.22,20.22,20.22,0
20200204T,27.85,27.85,27.85,27.85,0
20200205T,23.37,23.37,23.37,23.37,0
20200206T,29.05,29.05,29.05,29.05,0
20200207T,29.97,29.97,29.97,29.97,0
20200210T,21.46,21.46,21.46,21.46,0
20200211T,27.92,27.92,27.92,27.92,0
20200212T,20.54,20.54,20.54,20.54,0
20200213T,32.59,32.59,32.59,32.59,0
20200214T,34.93,34.93,34.93,34.93,0
20200217T,18.46,18.46,18.46,18.46,0
20200218T,17.7,17.7,17.7,17.7,0
20200219T,11.19,11.19,11.19,11.19,0
20200220T,30.12,30.12,30.12,30.12,0
20200221T,30.12,30.12,30.12,30.12,0
20200224T,25.19,25.19,25.19,25.19,0
20200225T,20.97,20.97,20.97,20.97,0
20200226T,22.01,22.01,22.01,22.01,0
20200227T,24.46,24.46,24.46,24.46,0
20200228T,36.26,36.26,36.26,36.26,0
20200302T,26.38,26.38,26.38,26.38,0
20200303T,18.9,18.9,18.9,18.9,0
20200304T,12.49,12.49,12.49,12.49,0
20200305T,18.6,18.6,18.6,18.6,0
20200306T,25.64,25.64,25.64,25.64,0
20200309T,30.31,30.31,30.31,30.31,0
20200310T,30.31,30.31,30.31,30.31,0
20200311T,54.35,54.35,54.35,54.35,0
20200312T,33.0,33.0,33.0,33.0,0
20200313T,54.91,54.91,54.91,54.91,0
20200316T,34.38,34.38,34.38,34.38,0
20200317T,22.86,22.86,22.86,22.86,0
20200318T,28.5,28.5,28.5,28.5,0
20200319T,30.96,30.96,30.96,30.96,0
20200320T,42.61,42.61,42.61,42.61,0
20200323T,58.62,58.62,58.62,58.62,0
20200324T,60.87,60.87,60.87,60.87,0
20200325T,54.72,54.72,54.72,54.72,0
20200326T,41.86,41.86,41.86,41.86,0
20200327T,44.83,44.83,44.83,44.83,0
20200330T,34.8,34.8,34.8,34.8,0
20200331T,60.25,60.25,60.25,60.25,0
20200401T,39.27,39.27,39.27,39.27,0
20200402T,39.27,39.27,39.27,39.27,0
20200403T,27.22,27.22,27.22,27.22,0
20200406T,27.22,27.22,27.22,27.22,0
20200407T,51.49,51.49,51.49,51.49,0
20200408T,34.89,34.89,34.89,34.89,0
20200409T,45.55,45.55,45.55,45.55,0
20200410T,45.55,45.55,45.55,45.55,0
20200413T,27.87,27.87,27.87,27.87,0
20200415T,36.67,36.67,36.67,36.67,0
20200416T,38.31,38.31,38.31,38.31,0
20200417T,32.65,32.65,32.65,32.65,0
20200420T,44.98,44.98,44.98,44.98,0
20200421T,41.29,41.29,41.29,41.29,0
20200422T,35.85,35.85,35.85,35.85,0
20200423T,37.54,37.54,37.54,37.54,0
20200424T,14.06,14.06,14.06,14.06,0
20200427T,27.78,27.78,27.78,27.78,0
20200428T,38.49,38.49,38.49,38.49,0
20200429T,21.63,21.63,21.63,21.63,0
20200430T,28.71,28.71,28.71,28.71,0
20200501T,28.71,28.71,28.71,28.71,0
20200504T,17.92,17.92,17.92,17.92,0
20200505T,23.13,23.13,23.13,23.13,0
20200506T,18.51,18.51,18.51,18.51,0
20200507T,11.35,11.35,11.35,11.35,0
20200508T,19.46,19.46,19.46,19.46,0
20200511T,22.88,22.88,22.88,22.88,0
20200512T,16.26,16.26,16.26,16.26,0
20200513T,18.94,18.94,18.94,18.94,0
20200514T,17.38,17.38,17.38,17.38,0
20200515T,21.13,21.13,21.13,21.13,0
20200518T,23.52,23.52,23.52,23.52,0
20200519T,18.61,18.61,18.61,18.61,0
