date,open,high,low,close,volume
20191001T,66.98,66.98,66.98,66.98,0
20191003T,58.45,58.45,58.45,58.45,0
20191004T,89.48,89.48,89.48,89.48,0
20191007T,94.83,94.83,94.83,94.83,0
20191008T,94.83,94.83,94.83,94.83,0
20191009T,91.16,91.16,91.16,91.16,0
20191010T,93.56,93.56,93.56,93.56,0
20191011T,85.81,85.81,85.81,85.81,0
20191014T,70.26,70.26,70.26,70.26,0
20191015T,62.75,62.75,62.75,62.75,0
20191016T,45.95,45.95,45.95,45.95,0
20191017T,66.06,66.06,66.06,66.06,0
20191018T,71.25,71.25,71.25,71.25,0
20191021T,71.25,71.25,71.25,71.25,0
20191022T,82.34,82.34,82.34,82.34,0
20191023T,37.38,37.38,37.38,37.38,0
20191024T,77.97,77.97,77.97,77.97,0
20191025T,76.43,76.43,76.43,76.43,0
20191028T,55.64,55.64,55.64,55.64,0
20191029T,67.79,67.79,67.79,67.79,0
20191030T,71.0,71.0,71.0,71.0,0
20191031T,89.48,89.48,89.48,89.48,0
20191101T,67.74,67.74,67.74,67.74,0
20191104T,81.93,81.93,81.93,81.93,0
20191105T,83.9,83.9,83.9,83.9,0
20191106T,95.33,95.33,95.33,95.33,0
20191107T,61.61,61.61,61.61,61.61,0
20191108T,59.56,59.56,59.56,59.56,0
20191111T,70.33,70.33,70.33,70.33,0
20191112T,70.33,70.33,70.33,70.33,0
20191113T,82.79,82.79,82.79,82.79,0
20191114T,82.14,82.14,82.14,82.14,0
20191115T,94.55,94.55,94.55,94.55,0
20191118T,86.61,86.61,86.61,86.61,0
20191119T,82.33,82.33,82.33,82.33,0
20191120T,66.15,66.15,66.15,66.15,0
20191121T,73.79,73.79,73.79,73.79,0
20191122T,92.11,92.11,92.11,92.11,0
20191125T,83.12,83.12,83.12,83.12,0
20191126T,80.37,80.37,80.37,80.37,0
20191127T,84.81,84.81,84.81,84.81,0
20191128T,85.37,85.37,85.37,85.37,0
20191129T,86.34,86.34,86.34,86.34,0
20191202T,74.33,74.33,74.33,74.33,0
20191203T,68.04,68.04,68.04,68.04,0
20191204T,77.81,77.81,77.81,77.81,0
20191205T,56.06,56.06,56.06,56.06,0
20191206T,54.95,54.95,54.95,54.95,0
20191209T,89.49,89.49,89.49,89.49,0
20191210T,84.66,84.66,84.66,84.66,0
20191211T,82.3,82.3,82.3,82.3,0
20191212T,93.9,93.9,93.9,93.9,0
20191213T,91.67,91.67,91.67,91.67,0
20191216T,90.21,90.21,90.21,90.21,0
20191217T,87.64,87.64,87.64,87.64,0
20191218T,81.88,81.88,81.88,81.88,0
20191219T,80.58,80.58,80.58,80.58,0
20191220T,52.04,52.04,52.04,52.04,0
20191223T,67.34,67.34,67.34,67.34,0
20191224T,72.76,72.76,72.76,72.76,0
20191225T,72.76,72.76,72.76,72.76,0
20191226T,41.92,41.92,41.92,41.92,0
20191227T,56.6,56.6,56.6,56.6,0
20191230T,41.97,41.97,41.97,41.97,0
20191231T,51.56,51.56,51.56,51.56,0
20200101T,59.93,59.93,59.93,59.93,0
20200102T,39.15,39.15,39.15,39.15,0
20200103T,53.75,53.75,53.75,53.75,0
20200106T,73.47,73.47,73.47,73.47,0
20200107T,64.36,64.36,64.36,64.36,0
20200108T,71.49,71.49,71.49,71.49,0
20200109T,73.56,73.56,73.56,73.56,0
20200110T,62.19,62.19,62.19,62.19,0
20200113T,87.77,87.77,87.77,87.77,0
20200114T,74.45,74.45,74.45,74.45,0
20200115T,71.36,71.36,71.36,71.36,0
20200116T,95.9,95.9,95.9,95.9,0
20200117T,59.14,59.14,59.14,59.14,0
20200120T,60.8,60.8,60.8,60.8,0
20200121T,80.24,80.24,80.24,80.24,0
20200122T,90.82,90.82,90.82,90.82,0
20200123T,81.68,81.68,81.68,81.68,0
20200124T,77.4,77.4,77.4,77.4,0
20200127T,60.27,60.27,60.27,60.27,0
20200128T,88.32,88.32,88.32,88.32,0
20200129T,83.51,83.51,83.51,83.51,0
20200130T,76.19,76.19,76.19,76.19,0
20200131T,49.56,49.56,49.56,49.56,0
20200203T,64.19,64.19,64.19,64.19,0
20200204T,87.41,87.41,87.41,87.41,0
20200205T,53.01,53.01,53.01,53.01,0
20200206T,54.46,54.46,54.46,54.46,0
20200207T,49.74,49.74,49.74,49.74,0
20200210T,72.75,72.75,72.75,72.75,0
20200211T,77.72,77.72,77.72,77.72,0
20200212T,89.05,89.05,89.05,89.05,0
20200213T,63.52,63.52,63.52,63.52,0
20200214T,95.72,95.72,95.72,95.72,0
20200217T,56.38,56.38,56.38,56.38,0
20200218T,61.84,61.84,61.84,61.84,0
20200219T,50.39,50.39,50.39,50.39,0
20200220T,69.91,69.91,69.91,69.91,0
20200221T,69.91,69.91,69.91,69.91,0
20200224T,53.35,53.35,53.35,53.35,0
20200225T,73.06,73.06,73.06,73.06,0
20200226T,60.42,60.42,60.42,60.42,0
20200227T,64.02,64.02,64.02,64.02,0
20200228T,63.49,63.49,63.49,63.49,0
20200302T,74.0,74.0,74.0,74.0,0
20200303T,62.83,62.83,62.83,62.83,0
20200304T,78.73,78.73,78.73,78.73,0
20200305T,81.41,81.41,81.41,81.41,0
20200306T,78.11,78.11,78.11,78.11,0
20200309T,61.16,61.16,61.16,61.16,0
20200310T,61.16,61.16,61.16,61.16,0
20200311T,66.17,66.17,66.17,66.17,0
20200312T,76.32,76.32,76.32,76.32,0
20200313T,72.04,72.04,72.04,72.04,0
