date,open,high,low,close,volume
20200227T,52.35,52.35,52.35,52.35,0
20200228T,67.26,67.26,67.26,67.26,0
20200302T,55.13,55.13,55.13,55.13,0
20200303T,49.42,49.42,49.42,49.42,0
20200304T,47.27,47.27,47.27,47.27,0
20200305T,48.24,48.24,48.24,48.24,0
20200306T,67.11,67.11,67.11,67.11,0
20200309T,42.11,42.11,42.11,42.11,0
20200310T,42.11,42.11,42.11,42.11,0
20200311T,68.4,68.4,68.4,68.4,0
20200312T,54.62,54.62,54.62,54.62,0
20200313T,61.81,61.81,61.81,61.81,0
20200316T,49.15,49.15,49.15,49.15,0
20200317T,54.95,54.95,54.95,54.95,0
20200318T,56.3,56.3,56.3,56.3,0
20200319T,44.31,44.31,44.31,44.31,0
20200320T,36.72,36.72,36.72,36.72,0
20200323T,56.16,56.16,56.16,56.16,0
20200324T,53.17,53.17,53.17,53.17,0
20200325T,48.35,48.35,48.35,48.35,0
20200326T,44.81,44.81,44.81,44.81,0
20200327T,56.2,56.2,56.2,56.2,0
20200330T,58.79,58.79,58.79,58.79,0
20200331T,62.37,62.37,62.37,62.37,0
20200401T,68.22,68.22,68.22,68.22,0
20200402T,68.22,68.22,68.22,68.22,0
20200403T,48.65,48.65,48.65,48.65,0
20200406T,48.65,48.65,48.65,48.65,0
20200407T,66.65,66.65,66.65,66.65,0
20200408T,58.27,58.27,58.27,58.27,0
20200409T,48.69,48.69,48.69,48.69,0
20200410T,48.69,48.69,48.69,48.69,0
20200413T,56.85,56.85,56.85,56.85,0
20200415T,50.33,50.33,50.33,50.33,0
20200416T,54.39,54.39,54.39,54.39,0
20200417T,55.99,55.99,55.99,55.99,0
20200420T,46.61,46.61,46.61,46.61,0
20200421T,64.47,64.47,64.47,64.47,0
20200422T,57.44,57.44,57.44,57.44,0
20200423T,37.1,37.1,37.1,37.1,0
20200424T,58.17,58.17,58.17,58.17,0
20200427T,58.0,58.0,58.0,58.0,0
20200428T,53.39,53.39,53.39,53.39,0
20200429T,59.39,59.39,59.39,59.39,0
20200430T,53.61,53.61,53.61,53.61,0
20200501T,53.61,53.61,53.61,53.61,0
20200504T,55.63,55.63,55.63,55.63,0
20200505T,56.86,56.86,56.86,56.86,0
20200506T,62.2,62.2,62.2,62.2,0
20200507T,59.14,59.14,59.14,59.14,0
20200508T,49.96,49.96,49.96,49.96,0
20200511T,52.55,52.55,52.55,52.55,0
20200512T,41.59,41.59,41.59,41.59,0
20200513T,53.22,53.22,53.22,53.22,0
20200514T,48.92,48.92,48.92,48.92,0
20200515T,53.47,53.47,53.47,53.47,0
20200518T,47.09,47.09,47.09,47.09,0
20200519T,44.79,44.79,44.79,44.79,0
20200520T,48.83,48.83,48.83,48.83,0
20200521T,64.41,64.41,64.41,64.41,0
20200522T,48.43,48.43,48.43,48.43,0
20200525T,48.43,48.43,48.43,48.43,0
20200526T,62.54,62.54,62.54,62.54,0
20200527T,48.48,48.48,48.48,48.48,0
20200528T,58.83,58.83,58.83,58.83,0
20200529T,51.3,51.3,51.3,51.3,0
20200601T,57.01,57.01,57.01,57.01,0
20200602T,53.99,53.99,53.99,53.99,0
20200603T,51.83,51.83,51.83,51.83,0
20200604T,37.49,37.49,37.49,37.49,0
20200605T,49.02,49.02,49.02,49.02,0
20200608T,42.23,42.23,42.23,42.23,0
20200609T,40.45,40.45,40.45,40.45,0
20200610T,30.93,30.93,30.93,30.93,0
20200611T,40.32,40.32,40.32,40.32,0
20200612T,55.7,55.7,55.7,55.7,0
20200615T,48.43,48.43,48.43,48.43,0
20200616T,44.92,44.92,44.92,44.92,0
