date,open,high,low,close,volume
20191001T,11.62,11.62,11.62,11.62,0
20191003T,14.8,14.8,14.8,14.8,0
20191004T,10.64,10.64,10.64,10.64,0
20191007T,17.06,17.06,17.06,17.06,0
20191008T,17.06,17.06,17.06,17.06,0
20191009T,15.15,15.15,15.15,15.15,0
20191010T,11.34,11.34,11.34,11.34,0
20191011T,6.98,6.98,6.98,6.98,0
20191014T,17.94,17.94,17.94,17.94,0
20191015T,8.67,8.67,8.67,8.67,0
20191016T,12.91,12.91,12.91,12.91,0
20191017T,15.82,15.82,15.82,15.82,0
20191018T,15.26,15.26,15.26,15.26,0
20191021T,15.26,15.26,15.26,15.26,0
20191022T,9.92,9.92,9.92,9.92,0
20191023T,13.34,13.34,13.34,13.34,0
20191024T,18.74,18.74,18.74,18.74,0
20191025T,25.67,25.67,25.67,25.67,0
20191028T,23.7,23.7,23.7,23.7,0
20191029T,21.8,21.8,21.8,21.8,0
20191030T,29.69,29.69,29.69,29.69,0
20191031T,44.29,44.29,44.29,44.29,0
20191101T,25.79,25.79,25.79,25.79,0
20191104T,18.47,18.47,18.47,18.47,0
20191105T,12.06,12.06,12.06,12.06,0
20191106T,11.02,11.02,11.02,11.02,0
20191107T,11.92,11.92,11.92,11.92,0
20191108T,14.73,14.73,14.73,14.73,0
20191111T,8.67,8.67,8.67,8.67,0
20191112T,8.67,8.67,8.67,8.67,0
20191113T,14.2,14.2,14.2,14.2,0
20191114T,8.87,8.87,8.87,8.87,0
20191115T,9.1,9.1,9.1,9.1,0
20191118T,11.75,11.75,11.75,11.75,0
20191119T,11.1,11.1,11.1,11.1,0
20191120T,9.67,9.67,9.67,9.67,0
20191121T,17.43,17.43,17.43,17.43,0
20191122T,15.08,15.08,15.08,15.08,0
20191125T,19.56,19.56,19.56,19.56,0
20191126T,19.98,19.98,19.98,19.98,0
20191127T,14.73,14.73,14.73,14.73,0
20191128T,16.81,16.81,16.81,16.81,0
20191129T,13.56,13.56,13.56,13.56,0
20191202T,8.62,8.62,8.62,8.62,0
20191203T,14.99,14.99,14.99,14.99,0
20191204T,14.53,14.53,14.53,14.53,0
20191205T,9.98,9.98,9.98,9.98,0
20191206T,4.95,4.95,4.95,4.95,0
20191209T,10.21,10.21,10.21,10.21,0
20191210T,5.93,5.93,5.93,5.93,0
20191211T,12.73,12.73,12.73,12.73,0
20191212T,10.25,10.25,10.25,10.25,0
20191213T,18.3,18.3,18.3,18.3,0
20191216T,13.17,13.17,13.17,13.17,0
20191217T,12.6,12.6,12.6,12.6,0
20191218T,9.71,9.71,9.71,9.71,0
20191219T,6.66,6.66,6.66,6.66,0
20191220T,16.11,16.11,16.11,16.11,0
20191223T,13.47,13.47,13.47,13.47,0
20191224T,5.3,5.3,5.3,5.3,0
20191225T,5.3,5.3,5.3,5.3,0
20191226T,8.29,8.29,8.29,8.29,0
20191227T,7.03,7.03,7.03,7.03,0
20191230T,7.95,7.95,7.95,7.95,0
20191231T,6.58,6.58,6.58,6.58,0
20200101T,4.51,4.51,4.51,4.51,0
20200102T,15.05,15.05,15.05,15.05,0
20200103T,12.72,12.72,12.72,12.72,0
20200106T,9.73,9.73,9.73,9.73,0
20200107T,10.17,10.17,10.17,10.17,0
20200108T,11.02,11.02,11.02,11.02,0
20200109T,21.17,21.17,21.17,21.17,0
20200110T,16.09,16.09,16.09,16.09,0
20200113T,12.79,12.79,12.79,12.79,0
20200114T,16.98,16.98,16.98,16.98,0
20200115T,9.2,9.2,9.2,9.2,0
20200116T,20.83,20.83,20.83,20.83,0
20200117T,9.19,9.19,9.19,9.19,0
20200120T,25.08,25.08,25.08,25.08,0
20200121T,24.39,24.39,24.39,24.39,0
20200122T,27.26,27.26,27.26,27.26,0
20200123T,22.23,22.23,22.23,22.23,0
20200124T,36.14,36.14,36.14,36.14,0
20200127T,25.87,25.87,25.87,25.87,0
20200128T,29.8,29.8,29.8,29.8,0
20200129T,18.5,18.5,18.5,18.5,0
20200130T,22.7,22.7,22.7,22.7,0
20200131T,22.29,22.29,22.29,22.29,0
20200203T,16.22,16.22,16.22,16.22,0
20200204T,18.16,18.16,18.16,18.16,0
20200205T,25.37,25.37,25.37,25.37,0
20200206T,18.58,18.58,18.58,18.58,0
20200207T,12.98,12.98,12.98,12.98,0
20200210T,15.91,15.91,15.91,15.91,0
20200211T,10.29,10.29,10.29,10.29,0
20200212T,11.01,11.01,11.01,11.01,0
20200213T,16.15,16.15,16.15,16.15,0
20200214T,8.06,8.06,8.06,8.06,0
20200217T,13.46,13.46,13.46,13.46,0
20200218T,15.95,15.95,15.95,15.95,0
20200219T,8.92,8.92,8.92,8.92,0
20200220T,16.66,16.66,16.66,16.66,0
20200221T,16.66,16.66,16.66,16.66,0
20200224T,22.01,22.01,22.01,22.01,0
20200225T,13.31,13.31,13.31,13.31,0
20200226T,19.92,19.92,19.92,19.92,0
20200227T,8.75,8.75,8.75,8.75,0
20200228T,18.61,18.61,18.61,18.61,0
20200302T,22.52,22.52,22.52,22.52,0
20200303T,11.17,11.17,11.17,11.17,0
20200304T,17.96,17.96,17.96,17.96,0
20200305T,9.9,9.9,9.9,9.9,0
20200306T,25.3,25.3,25.3,25.3,0
20200309T,34.17,34.17,34.17,34.17,0
20200310T,34.17,34.17,34.17,34.17,0
20200311T,25.94,25.94,25.94,25.94,0
20200312T,37.63,37.63,37.63,37.63,0
20200313T,34.63,34.63,34.63,34.63,0
20200316T,23.69,23.69,23.69,23.69,0
20200317T,12.47,12.47,12.47,12.47,0
20200318T,22.46,22.46,22.46,22.46,0
20200319T,21.42,21.42,21.42,21.42,0
20200320T,15.15,15.15,15.15,15.15,0
20200323T,34.69,34.69,34.69,34.69,0
20200324T,24.15,24.15,24.15,24.15,0
20200325T,20.12,20.12,20.12,20.12,0
20200326T,20.68,20.68,20.68,20.68,0
20200327T,19.41,19.41,19.41,19.41,0
20200330T,30.81,30.81,30.81,30.81,0
20200331T,15.5,15.5,15.5,15.5,0
20200401T,21.71,21.71,21.71,21.71,0
20200402T,21.71,21.71,21.71,21.71,0
20200403T,23.06,23.06,23.06,23.06,0
20200406T,23.06,23.06,23.06,23.06,0
20200407T,22.23,22.23,22.23,22.23,0
20200408T,17.67,17.67,17.67,17.67,0
20200409T,15.8,15.8,15.8,15.8,0
20200410T,15.8,15.8,15.8,15.8,0
20200413T,13.11,13.11,13.11,13.11,0
20200415T,13.12,13.12,13.12,13.12,0
20200416T,11.36,11.36,11.36,11.36,0
20200417T,14.1,14.1,14.1,14.1,0
20200420T,18.83,18.83,18.83,18.83,0
20200421T,28.35,28.35,28.35,28.35,0
20200422T,10.6,10.6,10.6,10.6,0
20200423T,14.12,14.12,14.12,14.12,0
20200424T,10.22,10.22,10.22,10.22,0
20200427T,17.09,17.09,17.09,17.09,0
20200428T,13.49,13.49,13.49,13.49,0
20200429T,16.56,16.56,16.56,16.56,0
20200430T,20.4,20.4,20.4,20.4,0
20200501T,20.4,20.4,20.4,20.4,0
20200504T,31.7,31.7,31.7,31.7,0
20200505T,7.94,7.94,7.94,7.94,0
20200506T,14.35,14.35,14.35,14.35,0
20200507T,16.02,16.02,16.02,16.02,0
20200508T,17.28,17.28,17.28,17.28,0
20200511T,15.32,15.32,15.32,15.32,0
20200512T,13.9,13.9,13.9,13.9,0
20200513T,18.72,18.72,18.72,18.72,0
20200514T,28.68,28.68,28.68,28.68,0
20200515T,10.41,10.41,10.41,10.41,0
20200518T,14.99,14.99,14.99,14.99,0
20200519T,17.2,17.2,17.2,17.2,0
20200520T,24.12,24.12,24.12,24.12,0
20200521T,16.89,16.89,16.89,16.89,0
20200522T,17.0,17.0,17.0,17.0,0
20200525T,17.0,17.0,17.0,17.0,0
20200526T,17.08,17.08,17.08,17.08,0
