date,open,high,low,close,volume
20191001T,46.4,46.4,46.4,46.4,0
20191003T,44.16,44.16,44.16,44.16,0
20191004T,43.5,43.5,43.5,43.5,0
20191007T,43.26,43.26,43.26,43.26,0
20191008T,43.26,43.26,43.26,43.26,0
20191009T,66.09,66.09,66.09,66.09,0
20191010T,76.98,76.98,76.98,76.98,0
20191011T,51.1,51.1,51.1,51.1,0
20191014T,54.08,54.08,54.08,54.08,0
20191015T,77.16,77.16,77.16,77.16,0
20191016T,64.49,64.49,64.49,64.49,0
20191017T,65.76,65.76,65.76,65.76,0
20191018T,77.16,77.16,77.16,77.16,0
20191021T,77.16,77.16,77.16,77.16,0
20191022T,74.14,74.14,74.14,74.14,0
20191023T,74.7,74.7,74.7,74.7,0
20191024T,71.81,71.81,71.81,71.81,0
20191025T,72.83,72.83,72.83,72.83,0
20191028T,72.59,72.59,72.59,72.59,0
20191029T,65.64,65.64,65.64,65.64,0
20191030T,76.16,76.16,76.16,76.16,0
20191031T,50.28,50.28,50.28,50.28,0
20191101T,55.99,55.99,55.99,55.99,0
20191104T,54.4,54.4,54.4,54.4,0
20191105T,74.37,74.37,74.37,74.37,0
20191106T,63.86,63.86,63.86,63.86,0
20191107T,64.56,64.56,64.56,64.56,0
20191108T,44.56,44.56,44.56,44.56,0
20191111T,50.75,50.75,50.75,50.75,0
20191112T,50.75,50.75,50.75,50.75,0
20191113T,66.12,66.12,66.12,66.12,0
20191114T,73.91,73.91,73.91,73.91,0
20191115T,63.83,63.83,63.83,63.83,0
20191118T,54.96,54.96,54.96,54.96,0
20191119T,47.55,47.55,47.55,47.55,0
20191120T,53.11,53.11,53.11,53.11,0
20191121T,54.96,54.96,54.96,54.96,0
20191122T,67.89,67.89,67.89,67.89,0
20191125T,44.63,44.63,44.63,44.63,0
20191126T,29.72,29.72,29.72,29.72,0
20191127T,28.83,28.83,28.83,28.83,0
20191128T,60.21,60.21,60.21,60.21,0
20191129T,55.73,55.73,55.73,55.73,0
20191202T,45.38,45.38,45.38,45.38,0
20191203T,54.89,54.89,54.89,54.89,0
20191204T,67.16,67.16,67.16,67.16,0
20191219T,53.97,53.97,53.97,53.97,0
20191220T,59.5,59.5,59.5,59.5,0
20191223T,82.02,82.02,82.02,82.02,0
20191224T,56.56,56.56,56.56,56.56,0
20191225T,56.56,56.56,56.56,56.56,0
20191226T,58.35,58.35,58.35,58.35,0
20191227T,81.33,81.33,81.33,81.33,0
20191230T,86.87,86.87,86.87,86.87,0
20191231T,69.72,69.72,69.72,69.72,0
20200101T,76.55,76.55,76.55,76.55,0
20200102T,76.11,76.11,76.11,76.11,0
20200103T,74.63,74.63,74.63,74.63,0
20200106T,81.11,81.11,81.11,81.11,0
20200107T,71.69,71.69,71.69,71.69,0
20200108T,55.66,55.66,55.66,55.66,0
20200109T,83.35,83.35,83.35,83.35,0
20200110T,84.91,84.91,84.91,84.91,0
20200113T,82.12,82.12,82.12,82.12,0
20200114T,81.41,81.41,81.41,81.41,0
20200115T,76.48,76.48,76.48,76.48,0
20200116T,69.24,69.24,69.24,69.24,0
20200117T,92.39,92.39,92.39,92.39,0
20200120T,58.97,58.97,58.97,58.97,0
20200121T,92.71,92.71,92.71,92.71,0
20200122T,55.88,55.88,55.88,55.88,0
20200123T,61.45,61.45,61.45,61.45,0
20200124T,76.86,76.86,76.86,76.86,0
20200127T,72.19,72.19,72.19,72.19,0
20200128T,65.95,65.95,65.95,65.95,0
20200129T,72.03,72.03,72.03,72.03,0
20200130T,68.26,68.26,68.26,68.26,0
20200131T,80.0,80.0,80.0,80.0,0
20200203T,66.96,66.96,66.96,66.96,0
20200204T,61.07,61.07,61.07,61.07,0
20200205T,77.06,77.06,77.06,77.06,0
20200206T,71.37,71.37,71.37,71.37,0
20200207T,60.95,60.95,60.95,60.95,0
20200210T,66.49,66.49,66.49,66.49,0
20200211T,62.71,62.71,62.71,62.71,0
20200212T,62.76,62.76,62.76,62.76,0
20200213T,68.01,68.01,68.01,68.01,0
20200214T,62.31,62.31,62.31,62.31,0
20200217T,84.82,84.82,84.82,84.82,0
20200218T,78.33,78.33,78.33,78.33,0
20200219T,86.1,86.1,86.1,86.1,0
20200220T,40.59,40.59,40.59,40.59,0
20200221T,40.59,40.59,40.59,40.59,0
20200224T,41.22,41.22,41.22,41.22,0
20200225T,38.08,38.08,38.08,38.08,0
20200226T,55.53,55.53,55.53,55.53,0
20200227T,67.53,67.53,67.53,67.53,0
20200228T,88.66,88.66,88.66,88.66,0
20200302T,80.72,80.72,80.72,80.72,0
20200303T,78.64,78.64,78.64,78.64,0
20200304T,87.09,87.09,87.09,87.09,0
20200305T,56.73,56.73,56.73,56.73,0
20200306T,65.85,65.85,65.85,65.85,0
20200309T,54.78,54.78,54.78,54.78,0
20200310T,54.78,54.78,54.78,54.78,0
20200311T,62.16,62.16,62.16,62.16,0
20200312T,46.91,46.91,46.91,46.91,0
20200313T,47.64,47.64,47.64,47.64,0
20200316T,47.63,47.63,47.63,47.63,0
20200317T,54.09,54.09,54.09,54.09,0
20200318T,52.56,52.56,52.56,52.56,0
