date,open,high,low,close,volume
20251219T,54.63,54.63,54.63,54.63,0
20251222T,99.99,99.99,99.99,99.99,0
20251223T,99.99,99.99,99.99,99.99,0
20251224T,96.6,96.6,96.6,96.6,0
20251225T,96.6,96.6,96.6,96.6,0
20251226T,100.0,100.0,100.0,100.0,0
20251229T,99.1,99.1,99.1,99.1,0
20251230T,85.46,85.46,85.46,85.46,0
20251231T,66.55,66.55,66.55,66.55,0
20260101T,30.85,30.85,30.85,30.85,0
20260102T,90.03,90.03,90.03,90.03,0
20260105T,45.39,45.39,45.39,45.39,0
20260106T,37.58,37.58,37.58,37.58,0
20260107T,84.28,84.28,84.28,84.28,0
20260108T,89.13,89.13,89.13,89.13,0
20260109T,47.3,47.3,47.3,47.3,0
20260112T,36.79,36.79,36.79,36.79,0
20260113T,98.15,98.15,98.15,98.15,0
20260114T,78.85,78.85,78.85,78.85,0
20260115T,78.85,78.85,78.85,78.85,0
20260116T,98.5,98.5,98.5,98.5,0
20260119T,50.16,50.16,50.16,50.16,0
20260120T,98.85,98.85,98.85,98.85,0
20260121T,85.16,85.16,85.16,85.16,0
20260122T,55.55,55.55,55.55,55.55,0
20260123T,88.95,88.95,88.95,88.95,0
20260127T,86.68,86.68,86.68,86.68,0
20260128T,92.36,92.36,92.36,92.36,0
20260129T,75.51,75.51,75.51,75.51,0
20260130T,85.67,85.67,85.67,85.67,0
20260202T,51.96,51.96,51.96,51.96,0
20260203T,74.49,74.49,74.49,74.49,0
20260204T,73.4,73.4,73.4,73.4,0
20260205T,96.45,96.45,96.45,96.45,0
20260206T,76.82,76.82,76.82,76.82,0
20260209T,80.4,80.4,80.4,80.4,0
20260210T,78.76,78.76,78.76,78.76,0
