date,open,high,low,close,volume
20191001T,50.16,50.16,50.16,50.16,0
20191003T,57.64,57.64,57.64,57.64,0
20191004T,59.68,59.68,59.68,59.68,0
20191007T,52.45,52.45,52.45,52.45,0
20191008T,52.45,52.45,52.45,52.45,0
20191009T,58.55,58.55,58.55,58.55,0
20191010T,51.31,51.31,51.31,51.31,0
20191011T,65.86,65.86,65.86,65.86,0
20191014T,58.36,58.36,58.36,58.36,0
20191015T,61.11,61.11,61.11,61.11,0
20191016T,79.19,79.19,79.19,79.19,0
20191017T,61.03,61.03,61.03,61.03,0
20191018T,70.23,70.23,70.23,70.23,0
20191021T,70.23,70.23,70.23,70.23,0
20191022T,90.71,90.71,90.71,90.71,0
20191023T,50.86,50.86,50.86,50.86,0
20191024T,43.98,43.98,43.98,43.98,0
20191025T,66.5,66.5,66.5,66.5,0
20191028T,61.8,61.8,61.8,61.8,0
20191029T,50.19,50.19,50.19,50.19,0
20191030T,54.06,54.06,54.06,54.06,0
20191031T,56.17,56.17,56.17,56.17,0
20191101T,63.09,63.09,63.09,63.09,0
20191104T,67.41,67.41,67.41,67.41,0
20191105T,51.09,51.09,51.09,51.09,0
20191106T,74.51,74.51,74.51,74.51,0
20191107T,58.27,58.27,58.27,58.27,0
20191108T,18.49,18.49,18.49,18.49,0
20191111T,47.3,47.3,47.3,47.3,0
20191112T,47.3,47.3,47.3,47.3,0
20191113T,56.95,56.95,56.95,56.95,0
20191114T,65.89,65.89,65.89,65.89,0
20191115T,50.82,50.82,50.82,50.82,0
20191118T,57.68,57.68,57.68,57.68,0
20191119T,65.89,65.89,65.89,65.89,0
20191120T,83.73,83.73,83.73,83.73,0
20191121T,63.05,63.05,63.05,63.05,0
20191122T,68.69,68.69,68.69,68.69,0
20191125T,63.38,63.38,63.38,63.38,0
20191126T,67.5,67.5,67.5,67.5,0
20191127T,68.39,68.39,68.39,68.39,0
20191128T,80.39,80.39,80.39,80.39,0
20191129T,66.59,66.59,66.59,66.59,0
20191202T,86.94,86.94,86.94,86.94,0
20191203T,78.0,78.0,78.0,78.0,0
20191204T,78.22,78.22,78.22,78.22,0
20191205T,71.95,71.95,71.95,71.95,0
20191206T,93.01,93.01,93.01,93.01,0
20191209T,51.75,51.75,51.75,51.75,0
20191210T,53.24,53.24,53.24,53.24,0
20191211T,56.78,56.78,56.78,56.78,0
20191212T,72.82,72.82,72.82,72.82,0
20191213T,50.31,50.31,50.31,50.31,0
20191216T,77.86,77.86,77.86,77.86,0
20191217T,79.04,79.04,79.04,79.04,0
20191218T,53.98,53.98,53.98,53.98,0
20191219T,56.5,56.5,56.5,56.5,0
20191220T,65.91,65.91,65.91,65.91,0
20191223T,96.51,96.51,96.51,96.51,0
20191224T,51.29,51.29,51.29,51.29,0
20191225T,51.29,51.29,51.29,51.29,0
20191226T,50.07,50.07,50.07,50.07,0
20191227T,55.97,55.97,55.97,55.97,0
20191230T,52.78,52.78,52.78,52.78,0
20191231T,87.39,87.39,87.39,87.39,0
20200101T,64.92,64.92,64.92,64.92,0
20200102T,42.74,42.74,42.74,42.74,0
20200103T,61.86,61.86,61.86,61.86,0
20200106T,53.24,53.24,53.24,53.24,0
20200107T,55.61,55.61,55.61,55.61,0
20200108T,70.84,70.84,70.84,70.84,0
20200109T,87.14,87.14,87.14,87.14,0
20200110T,64.02,64.02,64.02,64.02,0
20200113T,82.43,82.43,82.43,82.43,0
20200114T,69.22,69.22,69.22,69.22,0
20200115T,91.64,91.64,91.64,91.64,0
20200116T,43.44,43.44,43.44,43.44,0
20200117T,96.95,96.95,96.95,96.95,0
20200120T,55.76,55.76,55.76,55.76,0
20200121T,93.16,93.16,93.16,93.16,0
20200122T,59.25,59.25,59.25,59.25,0
20200123T,57.14,57.14,57.14,57.14,0
20200124T,54.44,54.44,54.44,54.44,0
20200127T,97.87,97.87,97.87,97.87,0
20200128T,59.58,59.58,59.58,59.58,0
20200129T,85.25,85.25,85.25,85.25,0
20200130T,17.18,17.18,17.18,17.18,0
20200131T,51.12,51.12,51.12,51.12,0
20200203T,61.28,61.28,61.28,61.28,0
20200204T,60.59,60.59,60.59,60.59,0
20200205T,83.04,83.04,83.04,83.04,0
20200206T,55.14,55.14,55.14,55.14,0
20200207T,90.83,90.83,90.83,90.83,0
20200210T,66.95,66.95,66.95,66.95,0
20200211T,68.56,68.56,68.56,68.56,0
20200212T,87.23,87.23,87.23,87.23,0
20200213T,59.97,59.97,59.97,59.97,0
20200214T,65.68,65.68,65.68,65.68,0
20200217T,79.04,79.04,79.04,79.04,0
20200218T,60.56,60.56,60.56,60.56,0
20200219T,70.53,70.53,70.53,70.53,0
20200220T,72.81,72.81,72.81,72.81,0
20200221T,72.81,72.81,72.81,72.81,0
20200224T,76.45,76.45,76.45,76.45,0
20200225T,75.91,75.91,75.91,75.91,0
20200226T,67.19,67.19,67.19,67.19,0
20200227T,76.27,76.27,76.27,76.27,0
20200228T,73.19,73.19,73.19,73.19,0
20200302T,83.0,83.0,83.0,83.0,0
20200303T,86.26,86.26,86.26,86.26,0
20200304T,74.06,74.06,74.06,74.06,0
20200305T,71.99,71.99,71.99,71.99,0
20200306T,75.06,75.06,75.06,75.06,0
20200309T,71.22,71.22,71.22,71.22,0
20200310T,71.22,71.22,71.22,71.22,0
20200311T,46.31,46.31,46.31,46.31,0
20200312T,74.02,74.02,74.02,74.02,0
20200313T,96.37,96.37,96.37,96.37,0
20200316T,81.84,81.84,81.84,81.84,0
20200317T,61.75,61.75,61.75,61.75,0
20200318T,60.07,60.07,60.07,60.07,0
20200319T,67.77,67.77,67.77,67.77,0
20200320T,54.12,54.12,54.12,54.12,0
20200323T,69.81,69.81,69.81,69.81,0
20200324T,60.27,60.27,60.27,60.27,0
20200325T,62.15,62.15,62.15,62.15,0
20200326T,49.11,49.11,49.11,49.11,0
20200327T,43.87,43.87,43.87,43.87,0
20200330T,59.84,59.84,59.84,59.84,0
20200331T,58.28,58.28,58.28,58.28,0
20200401T,44.72,44.72,44.72,44.72,0
20200402T,44.72,44.72,44.72,44.72,0
20200403T,56.68,56.68,56.68,56.68,0
20200406T,56.68,56.68,56.68,56.68,0
20200407T,52.96,52.96,52.96,52.96,0
20200408T,43.13,43.13,43.13,43.13,0
20200409T,53.27,53.27,53.27,53.27,0
20200410T,53.27,53.27,53.27,53.27,0
20200413T,59.8,59.8,59.8,59.8,0
20200415T,60.94,60.94,60.94,60.94,0
20200416T,60.28,60.28,60.28,60.28,0
20200417T,75.36,75.36,75.36,75.36,0
20200420T,55.93,55.93,55.93,55.93,0
20200421T,63.02,63.02,63.02,63.02,0
