date,open,high,low,close,volume
20251013T,52.82,52.82,52.82,52.82,0
20251014T,67.42,67.42,67.42,67.42,0
20251015T,74.83,74.83,74.83,74.83,0
20251016T,48.96,48.96,48.96,48.96,0
20251017T,47.24,47.24,47.24,47.24,0
20251020T,59.42,59.42,59.42,59.42,0
20251021T,73.67,73.67,73.67,73.67,0
20251022T,73.67,73.67,73.67,73.67,0
20251023T,70.94,70.94,70.94,70.94,0
20251024T,55.49,55.49,55.49,55.49,0
20251027T,74.59,74.59,74.59,74.59,0
20251028T,61.21,61.21,61.21,61.21,0
20251029T,59.93,59.93,59.93,59.93,0
20251030T,66.28,66.28,66.28,66.28,0
20251031T,65.74,65.74,65.74,65.74,0
20251103T,59.91,59.91,59.91,59.91,0
20251104T,72.55,72.55,72.55,72.55,0
20251105T,72.55,72.55,72.55,72.55,0
20251106T,68.1,68.1,68.1,68.1,0
20251107T,51.65,51.65,51.65,51.65,0
20251110T,46.64,46.64,46.64,46.64,0
20251111T,52.82,52.82,52.82,52.82,0
20251112T,46.34,46.34,46.34,46.34,0
20251113T,57.2,57.2,57.2,57.2,0
20251114T,71.42,71.42,71.42,71.42,0
20251117T,62.61,62.61,62.61,62.61,0
20251118T,79.39,79.39,79.39,79.39,0
20251119T,66.75,66.75,66.75,66.75,0
20251120T,65.4,65.4,65.4,65.4,0
20251121T,86.18,86.18,86.18,86.18,0
20251124T,61.13,61.13,61.13,61.13,0
20251125T,57.82,57.82,57.82,57.82,0
20251126T,40.07,40.07,40.07,40.07,0
20251127T,53.17,53.17,53.17,53.17,0
20251128T,54.36,54.36,54.36,54.36,0
20251201T,31.15,31.15,31.15,31.15,0
20251202T,51.73,51.73,51.73,51.73,0
20251203T,74.86,74.86,74.86,74.86,0
20251204T,65.64,65.64,65.64,65.64,0
20251205T,63.64,63.64,63.64,63.64,0
20251208T,67.78,67.78,67.78,67.78,0
20251209T,47.18,47.18,47.18,47.18,0
20251210T,46.97,46.97,46.97,46.97,0
20251211T,51.54,51.54,51.54,51.54,0
20251212T,52.16,52.16,52.16,52.16,0
20251215T,57.01,57.01,57.01,57.01,0
20251216T,59.49,59.49,59.49,59.49,0
20251217T,62.12,62.12,62.12,62.12,0
20251218T,66.18,66.18,66.18,66.18,0
20251219T,50.23,50.23,50.23,50.23,0
20251222T,64.07,64.07,64.07,64.07,0
20251223T,22.32,22.32,22.32,22.32,0
20251224T,40.29,40.29,40.29,40.29,0
20251225T,40.29,40.29,40.29,40.29,0
20251226T,49.86,49.86,49.86,49.86,0
20251229T,54.47,54.47,54.47,54.47,0
20251230T,27.82,27.82,27.82,27.82,0
20251231T,33.23,33.23,33.23,33.23,0
20260101T,52.98,52.98,52.98,52.98,0
20260102T,65.57,65.57,65.57,65.57,0
20260105T,52.16,52.16,52.16,52.16,0
20260106T,66.7,66.7,66.7,66.7,0
20260107T,52.26,52.26,52.26,52.26,0
20260108T,57.4,57.4,57.4,57.4,0
20260109T,72.07,72.07,72.07,72.07,0
20260112T,37.08,37.08,37.08,37.08,0
20260113T,42.83,42.83,42.83,42.83,0
20260114T,48.62,48.62,48.62,48.62,0
20260115T,48.62,48.62,48.62,48.62,0
20260116T,59.32,59.32,59.32,59.32,0
20260119T,65.93,65.93,65.93,65.93,0
20260120T,62.56,62.56,62.56,62.56,0
20260121T,56.01,56.01,56.01,56.01,0
20260122T,41.15,41.15,41.15,41.15,0
20260123T,66.59,66.59,66.59,66.59,0
20260127T,64.81,64.81,64.81,64.81,0
20260128T,43.84,43.84,43.84,43.84,0
20260129T,61.41,61.41,61.41,61.41,0
20260130T,52.82,52.82,52.82,52.82,0
20260202T,10.6,10.6,10.6,10.6,0
20260203T,26.09,26.09,26.09,26.09,0
20260204T,34.71,34.71,34.71,34.71,0
20260205T,66.84,66.84,66.84,66.84,0
20260206T,39.65,39.65,39.65,39.65,0
20260209T,57.0,57.0,57.0,57.0,0
20260210T,63.64,63.64,63.64,63.64,0
