date,open,high,low,close,volume
20191001T,52.43,52.43,52.43,52.43,0
20191003T,52.24,52.24,52.24,52.24,0
20191004T,39.34,39.34,39.34,39.34,0
20191007T,82.54,82.54,82.54,82.54,0
20191008T,82.54,82.54,82.54,82.54,0
20191009T,59.64,59.64,59.64,59.64,0
20191010T,72.17,72.17,72.17,72.17,0
20191011T,73.28,73.28,73.28,73.28,0
20191014T,69.36,69.36,69.36,69.36,0
20191015T,90.57,90.57,90.57,90.57,0
20191016T,86.19,86.19,86.19,86.19,0
20191017T,74.93,74.93,74.93,74.93,0
20191018T,68.73,68.73,68.73,68.73,0
20191021T,68.73,68.73,68.73,68.73,0
20191022T,76.92,76.92,76.92,76.92,0
20191023T,50.0,50.0,50.0,50.0,0
20191024T,57.63,57.63,57.63,57.63,0
20191025T,95.93,95.93,95.93,95.93,0
20191028T,69.92,69.92,69.92,69.92,0
20191029T,100.0,100.0,100.0,100.0,0
20191030T,40.93,40.93,40.93,40.93,0
20191031T,45.83,45.83,45.83,45.83,0
20191101T,78.68,78.68,78.68,78.68,0
20191104T,90.0,90.0,90.0,90.0,0
20191105T,59.84,59.84,59.84,59.84,0
20191106T,92.96,92.96,92.96,92.96,0
20191107T,54.14,54.14,54.14,54.14,0
20191108T,52.78,52.78,52.78,52.78,0
20191111T,51.69,51.69,51.69,51.69,0
20191112T,51.69,51.69,51.69,51.69,0
20191113T,100.0,100.0,100.0,100.0,0
20191114T,35.0,35.0,35.0,35.0,0
20191115T,50.0,50.0,50.0,50.0,0
20191119T,69.23,69.23,69.23,69.23,0
20191120T,86.75,86.75,86.75,86.75,0
20191121T,77.48,77.48,77.48,77.48,0
20191122T,60.28,60.28,60.28,60.28,0
20191125T,31.03,31.03,31.03,31.03,0
20191126T,50.77,50.77,50.77,50.77,0
20191127T,67.68,67.68,67.68,67.68,0
20191128T,19.55,19.55,19.55,19.55,0
20191129T,39.65,39.65,39.65,39.65,0
20191202T,44.73,44.73,44.73,44.73,0
20191203T,62.74,62.74,62.74,62.74,0
20191204T,70.17,70.17,70.17,70.17,0
20191205T,67.03,67.03,67.03,67.03,0
20191206T,30.98,30.98,30.98,30.98,0
20191209T,52.62,52.62,52.62,52.62,0
20191210T,38.87,38.87,38.87,38.87,0
20191211T,40.77,40.77,40.77,40.77,0
20191212T,42.91,42.91,42.91,42.91,0
20191213T,69.07,69.07,69.07,69.07,0
20191216T,54.05,54.05,54.05,54.05,0
20191217T,22.87,22.87,22.87,22.87,0
20191218T,21.08,21.08,21.08,21.08,0
20191219T,11.71,11.71,11.71,11.71,0
20191220T,37.47,37.47,37.47,37.47,0
20191223T,41.61,41.61,41.61,41.61,0
20191224T,39.42,39.42,39.42,39.42,0
20191225T,39.42,39.42,39.42,39.42,0
20191226T,70.39,70.39,70.39,70.39,0
20191227T,69.57,69.57,69.57,69.57,0
20191230T,64.84,64.84,64.84,64.84,0
20191231T,91.08,91.08,91.08,91.08,0
20200101T,74.37,74.37,74.37,74.37,0
20200102T,40.55,40.55,40.55,40.55,0
20200103T,54.3,54.3,54.3,54.3,0
20200106T,47.35,47.35,47.35,47.35,0
20200107T,23.62,23.62,23.62,23.62,0
20200108T,20.78,20.78,20.78,20.78,0
20200109T,74.81,74.81,74.81,74.81,0
20200110T,61.77,61.77,61.77,61.77,0
20200113T,25.3,25.3,25.3,25.3,0
20200114T,3.26,3.26,3.26,3.26,0
20200115T,16.82,16.82,16.82,16.82,0
20200116T,91.8,91.8,91.8,91.8,0
