date,open,high,low,close,volume
20191001T,35.94,35.94,35.94,35.94,0
20191003T,51.51,51.51,51.51,51.51,0
20191004T,57.21,57.21,57.21,57.21,0
20191007T,62.15,62.15,62.15,62.15,0
20191008T,62.15,62.15,62.15,62.15,0
20191009T,53.79,53.79,53.79,53.79,0
20191010T,59.51,59.51,59.51,59.51,0
20191011T,45.98,45.98,45.98,45.98,0
20191014T,67.97,67.97,67.97,67.97,0
20191015T,54.13,54.13,54.13,54.13,0
20191016T,68.22,68.22,68.22,68.22,0
20191017T,61.2,61.2,61.2,61.2,0
20191018T,43.69,43.69,43.69,43.69,0
20191021T,43.69,43.69,43.69,43.69,0
20191022T,66.57,66.57,66.57,66.57,0
20191023T,38.84,38.84,38.84,38.84,0
20191024T,61.97,61.97,61.97,61.97,0
20191025T,55.53,55.53,55.53,55.53,0
20191028T,60.76,60.76,60.76,60.76,0
20191029T,56.22,56.22,56.22,56.22,0
20191030T,53.42,53.42,53.42,53.42,0
20191031T,58.04,58.04,58.04,58.04,0
20191101T,64.27,64.27,64.27,64.27,0
20191104T,76.05,76.05,76.05,76.05,0
20191105T,51.15,51.15,51.15,51.15,0
20191106T,49.02,49.02,49.02,49.02,0
20191107T,60.37,60.37,60.37,60.37,0
20191108T,34.22,34.22,34.22,34.22,0
20191111T,51.88,51.88,51.88,51.88,0
20191112T,51.88,51.88,51.88,51.88,0
20191113T,33.35,33.35,33.35,33.35,0
20191114T,21.52,21.52,21.52,21.52,0
20191115T,61.55,61.55,61.55,61.55,0
20191118T,43.93,43.93,43.93,43.93,0
20191119T,37.84,37.84,37.84,37.84,0
20191120T,43.25,43.25,43.25,43.25,0
20191121T,48.09,48.09,48.09,48.09,0
20191122T,62.87,62.87,62.87,62.87,0
20191125T,46.85,46.85,46.85,46.85,0
20191126T,41.64,41.64,41.64,41.64,0
20191127T,38.03,38.03,38.03,38.03,0
20191128T,74.8,74.8,74.8,74.8,0
20191129T,43.06,43.06,43.06,43.06,0
20191202T,63.19,63.19,63.19,63.19,0
20191203T,56.62,56.62,56.62,56.62,0
20191204T,31.97,31.97,31.97,31.97,0
20191205T,49.41,49.41,49.41,49.41,0
20191206T,77.03,77.03,77.03,77.03,0
20191209T,48.8,48.8,48.8,48.8,0
20191210T,46.0,46.0,46.0,46.0,0
20191211T,72.64,72.64,72.64,72.64,0
20191212T,46.67,46.67,46.67,46.67,0
20191213T,61.88,61.88,61.88,61.88,0
20191216T,70.33,70.33,70.33,70.33,0
20191217T,68.87,68.87,68.87,68.87,0
20191218T,64.37,64.37,64.37,64.37,0
20191219T,66.87,66.87,66.87,66.87,0
20191220T,86.04,86.04,86.04,86.04,0
20191223T,74.99,74.99,74.99,74.99,0
20191224T,74.56,74.56,74.56,74.56,0
20191225T,74.56,74.56,74.56,74.56,0
20191226T,70.49,70.49,70.49,70.49,0
20191227T,68.48,68.48,68.48,68.48,0
20191230T,37.66,37.66,37.66,37.66,0
20191231T,46.92,46.92,46.92,46.92,0
20200101T,55.49,55.49,55.49,55.49,0
20200102T,31.15,31.15,31.15,31.15,0
20200103T,39.16,39.16,39.16,39.16,0
20200106T,54.24,54.24,54.24,54.24,0
20200107T,48.4,48.4,48.4,48.4,0
20200108T,67.83,67.83,67.83,67.83,0
20200109T,70.9,70.9,70.9,70.9,0
20200110T,51.19,51.19,51.19,51.19,0
20200113T,68.9,68.9,68.9,68.9,0
20200114T,62.17,62.17,62.17,62.17,0
20200115T,55.3,55.3,55.3,55.3,0
20200116T,43.29,43.29,43.29,43.29,0
20200117T,56.81,56.81,56.81,56.81,0
20200120T,52.86,52.86,52.86,52.86,0
20200121T,57.75,57.75,57.75,57.75,0
20200122T,50.82,50.82,50.82,50.82,0
20200123T,31.04,31.04,31.04,31.04,0
20200124T,53.34,53.34,53.34,53.34,0
20200127T,53.32,53.32,53.32,53.32,0
20200128T,41.74,41.74,41.74,41.74,0
20200129T,62.91,62.91,62.91,62.91,0
20200130T,73.79,73.79,73.79,73.79,0
