date,open,high,low,close,volume
20191001T,57.44,57.44,57.44,57.44,0
20191003T,68.78,68.78,68.78,68.78,0
20191004T,37.91,37.91,37.91,37.91,0
20191007T,61.79,61.79,61.79,61.79,0
20191008T,61.79,61.79,61.79,61.79,0
20191009T,68.92,68.92,68.92,68.92,0
20191010T,71.15,71.15,71.15,71.15,0
20191011T,82.13,82.13,82.13,82.13,0
20191014T,73.49,73.49,73.49,73.49,0
20191015T,70.92,70.92,70.92,70.92,0
20191016T,69.62,69.62,69.62,69.62,0
20191017T,71.34,71.34,71.34,71.34,0
20191018T,80.68,80.68,80.68,80.68,0
20191021T,80.68,80.68,80.68,80.68,0
20191022T,52.5,52.5,52.5,52.5,0
20191023T,59.8,59.8,59.8,59.8,0
20191024T,49.03,49.03,49.03,49.03,0
20191025T,69.3,69.3,69.3,69.3,0
20191028T,86.27,86.27,86.27,86.27,0
20191029T,74.55,74.55,74.55,74.55,0
20191030T,73.51,73.51,73.51,73.51,0
20191031T,66.46,66.46,66.46,66.46,0
20191101T,79.9,79.9,79.9,79.9,0
20191104T,62.27,62.27,62.27,62.27,0
20191105T,54.05,54.05,54.05,54.05,0
20191106T,64.99,64.99,64.99,64.99,0
20191107T,62.73,62.73,62.73,62.73,0
20191108T,56.4,56.4,56.4,56.4,0
20191111T,68.88,68.88,68.88,68.88,0
20191112T,68.88,68.88,68.88,68.88,0
20191113T,79.84,79.84,79.84,79.84,0
20191114T,77.15,77.15,77.15,77.15,0
20191115T,55.51,55.51,55.51,55.51,0
20191118T,65.97,65.97,65.97,65.97,0
20191119T,73.09,73.09,73.09,73.09,0
20191120T,78.12,78.12,78.12,78.12,0
20191121T,77.99,77.99,77.99,77.99,0
20191122T,63.42,63.42,63.42,63.42,0
20191125T,65.75,65.75,65.75,65.75,0
20191126T,66.05,66.05,66.05,66.05,0
20191127T,79.08,79.08,79.08,79.08,0
20191128T,67.11,67.11,67.11,67.11,0
20191129T,67.84,67.84,67.84,67.84,0
20191202T,64.84,64.84,64.84,64.84,0
20191203T,76.2,76.2,76.2,76.2,0
20191204T,63.94,63.94,63.94,63.94,0
20191205T,66.37,66.37,66.37,66.37,0
20191206T,42.79,42.79,42.79,42.79,0
20191209T,74.71,74.71,74.71,74.71,0
20191210T,87.72,87.72,87.72,87.72,0
20191211T,70.04,70.04,70.04,70.04,0
20191212T,67.42,67.42,67.42,67.42,0
20191213T,65.92,65.92,65.92,65.92,0
20191216T,72.27,72.27,72.27,72.27,0
20191217T,81.45,81.45,81.45,81.45,0
20191218T,43.29,43.29,43.29,43.29,0
20191219T,52.31,52.31,52.31,52.31,0
20191220T,64.61,64.61,64.61,64.61,0
20191223T,26.74,26.74,26.74,26.74,0
20191224T,68.74,68.74,68.74,68.74,0
20191225T,68.74,68.74,68.74,68.74,0
20191226T,74.06,74.06,74.06,74.06,0
20191227T,71.23,71.23,71.23,71.23,0
20191230T,81.82,81.82,81.82,81.82,0
20191231T,67.2,67.2,67.2,67.2,0
20200101T,62.15,62.15,62.15,62.15,0
20200102T,60.82,60.82,60.82,60.82,0
20200103T,56.33,56.33,56.33,56.33,0
20200106T,61.25,61.25,61.25,61.25,0
20200107T,62.14,62.14,62.14,62.14,0
20200108T,66.09,66.09,66.09,66.09,0
20200109T,60.05,60.05,60.05,60.05,0
20200110T,65.17,65.17,65.17,65.17,0
20200113T,63.22,63.22,63.22,63.22,0
20200114T,66.13,66.13,66.13,66.13,0
20200115T,66.3,66.3,66.3,66.3,0
20200116T,79.64,79.64,79.64,79.64,0
20200117T,69.66,69.66,69.66,69.66,0
20200120T,82.32,82.32,82.32,82.32,0
20200121T,74.53,74.53,74.53,74.53,0
20200122T,67.7,67.7,67.7,67.7,0
20200123T,67.8,67.8,67.8,67.8,0
20200124T,71.59,71.59,71.59,71.59,0
20200127T,49.15,49.15,49.15,49.15,0
20200128T,72.77,72.77,72.77,72.77,0
20200129T,55.06,55.06,55.06,55.06,0
20200130T,47.87,47.87,47.87,47.87,0
20200131T,35.49,35.49,35.49,35.49,0
20200203T,59.84,59.84,59.84,59.84,0
20200204T,53.61,53.61,53.61,53.61,0
20200205T,84.7,84.7,84.7,84.7,0
