date,open,high,low,close,volume
20191001T,23.21,23.21,23.21,23.21,0
20191003T,20.94,20.94,20.94,20.94,0
20191004T,22.79,22.79,22.79,22.79,0
20191007T,11.64,11.64,11.64,11.64,0
20191008T,11.64,11.64,11.64,11.64,0
20191009T,14.73,14.73,14.73,14.73,0
20191010T,20.24,20.24,20.24,20.24,0
20191011T,27.39,27.39,27.39,27.39,0
20191014T,28.46,28.46,28.46,28.46,0
20191015T,23.3,23.3,23.3,23.3,0
20191016T,15.52,15.52,15.52,15.52,0
20191017T,27.39,27.39,27.39,27.39,0
20191018T,25.47,25.47,25.47,25.47,0
20191021T,25.47,25.47,25.47,25.47,0
20191022T,22.12,22.12,22.12,22.12,0
20191023T,29.7,29.7,29.7,29.7,0
20191024T,30.01,30.01,30.01,30.01,0
20191025T,30.6,30.6,30.6,30.6,0
20191028T,18.86,18.86,18.86,18.86,0
20191029T,23.22,23.22,23.22,23.22,0
20191030T,22.41,22.41,22.41,22.41,0
20191031T,30.39,30.39,30.39,30.39,0
20191101T,36.57,36.57,36.57,36.57,0
20191104T,24.52,24.52,24.52,24.52,0
20191105T,24.92,24.92,24.92,24.92,0
20191106T,17.32,17.32,17.32,17.32,0
20191107T,17.4,17.4,17.4,17.4,0
20191108T,19.25,19.25,19.25,19.25,0
20191111T,33.42,33.42,33.42,33.42,0
20191112T,33.42,33.42,33.42,33.42,0
20191113T,29.6,29.6,29.6,29.6,0
20191114T,18.87,18.87,18.87,18.87,0
20191115T,15.92,15.92,15.92,15.92,0
20191118T,23.07,23.07,23.07,23.07,0
20191119T,38.53,38.53,38.53,38.53,0
20191120T,23.18,23.18,23.18,23.18,0
20191121T,31.16,31.16,31.16,31.16,0
20191122T,26.83,26.83,26.83,26.83,0
20191125T,21.9,21.9,21.9,21.9,0
20191126T,23.99,23.99,23.99,23.99,0
20191127T,29.19,29.19,29.19,29.19,0
20191128T,16.54,16.54,16.54,16.54,0
20191129T,17.09,17.09,17.09,17.09,0
