date,open,high,low,close,volume
20210629T,52.57,52.57,52.57,52.57,0
20210630T,25.39,25.39,25.39,25.39,0
20210701T,39.78,39.78,39.78,39.78,0
20210702T,34.52,34.52,34.52,34.52,0
20210705T,61.24,61.24,61.24,61.24,0
20210706T,96.7,96.7,96.7,96.7,0
20210707T,42.98,42.98,42.98,42.98,0
20210708T,90.7,90.7,90.7,90.7,0
20210709T,48.61,48.61,48.61,48.61,0
20210712T,46.02,46.02,46.02,46.02,0
20210713T,57.75,57.75,57.75,57.75,0
20210714T,100.0,100.0,100.0,100.0,0
20210715T,53.18,53.18,53.18,53.18,0
20210716T,42.52,42.52,42.52,42.52,0
20210719T,56.33,56.33,56.33,56.33,0
20210720T,43.24,43.24,43.24,43.24,0
20210721T,43.24,43.24,43.24,43.24,0
20210722T,44.98,44.98,44.98,44.98,0
20210723T,51.92,51.92,51.92,51.92,0
20210726T,51.34,51.34,51.34,51.34,0
20210727T,61.09,61.09,61.09,61.09,0
20210728T,51.41,51.41,51.41,51.41,0
20210729T,46.59,46.59,46.59,46.59,0
20210730T,65.21,65.21,65.21,65.21,0
20210802T,64.04,64.04,64.04,64.04,0
20210803T,64.13,64.13,64.13,64.13,0
20210804T,54.83,54.83,54.83,54.83,0
20210805T,62.13,62.13,62.13,62.13,0
20210806T,57.3,57.3,57.3,57.3,0
20210809T,52.86,52.86,52.86,52.86,0
20210810T,68.19,68.19,68.19,68.19,0
20210811T,51.88,51.88,51.88,51.88,0
20210812T,42.52,42.52,42.52,42.52,0
20210813T,51.77,51.77,51.77,51.77,0
20210816T,60.87,60.87,60.87,60.87,0
20210817T,66.15,66.15,66.15,66.15,0
20210818T,66.64,66.64,66.64,66.64,0
20210819T,66.64,66.64,66.64,66.64,0
20210820T,51.4,51.4,51.4,51.4,0
20210823T,89.18,89.18,89.18,89.18,0
20210824T,43.39,43.39,43.39,43.39,0
20210825T,52.61,52.61,52.61,52.61,0
20210826T,65.81,65.81,65.81,65.81,0
20210827T,59.62,59.62,59.62,59.62,0
20210830T,42.86,42.86,42.86,42.86,0
20210831T,56.6,56.6,56.6,56.6,0
20210901T,56.52,56.52,56.52,56.52,0
20210902T,55.4,55.4,55.4,55.4,0
20210903T,51.48,51.48,51.48,51.48,0
20210906T,77.53,77.53,77.53,77.53,0
20210907T,76.98,76.98,76.98,76.98,0
20210908T,65.35,65.35,65.35,65.35,0
20210909T,57.91,57.91,57.91,57.91,0
20210910T,57.91,57.91,57.91,57.91,0
20210913T,59.6,59.6,59.6,59.6,0
20210914T,76.01,76.01,76.01,76.01,0
20210915T,73.47,73.47,73.47,73.47,0
20210916T,59.63,59.63,59.63,59.63,0
20210917T,53.64,53.64,53.64,53.64,0
20210920T,80.33,80.33,80.33,80.33,0
20210921T,61.08,61.08,61.08,61.08,0
20210922T,78.2,78.2,78.2,78.2,0
20210923T,63.76,63.76,63.76,63.76,0
20210924T,66.77,66.77,66.77,66.77,0
20210927T,77.64,77.64,77.64,77.64,0
20210928T,72.46,72.46,72.46,72.46,0
20210929T,71.82,71.82,71.82,71.82,0
20210930T,75.57,75.57,75.57,75.57,0
20211001T,73.97,73.97,73.97,73.97,0
20211004T,66.66,66.66,66.66,66.66,0
20211005T,74.97,74.97,74.97,74.97,0
20211006T,66.67,66.67,66.67,66.67,0
20211007T,73.38,73.38,73.38,73.38,0
20211008T,75.8,75.8,75.8,75.8,0
20211011T,82.37,82.37,82.37,82.37,0
20211012T,67.78,67.78,67.78,67.78,0
20211013T,82.47,82.47,82.47,82.47,0
20211014T,71.36,71.36,71.36,71.36,0
20211015T,71.36,71.36,71.36,71.36,0
20211018T,65.1,65.1,65.1,65.1,0
