date,open,high,low,close,volume
20191001T,81.49,81.49,81.49,81.49,0
20191003T,81.83,81.83,81.83,81.83,0
20191004T,74.25,74.25,74.25,74.25,0
20191007T,74.23,74.23,74.23,74.23,0
20191008T,74.23,74.23,74.23,74.23,0
20191009T,64.9,64.9,64.9,64.9,0
20191010T,70.47,70.47,70.47,70.47,0
20191011T,76.3,76.3,76.3,76.3,0
20191014T,84.04,84.04,84.04,84.04,0
20191015T,84.71,84.71,84.71,84.71,0
20191016T,77.9,77.9,77.9,77.9,0
20191017T,68.14,68.14,68.14,68.14,0
20191018T,76.73,76.73,76.73,76.73,0
20191021T,76.73,76.73,76.73,76.73,0
20191022T,82.53,82.53,82.53,82.53,0
20191023T,75.62,75.62,75.62,75.62,0
20191024T,70.88,70.88,70.88,70.88,0
20191025T,59.53,59.53,59.53,59.53,0
20191028T,93.1,93.1,93.1,93.1,0
20191029T,75.67,75.67,75.67,75.67,0
20191030T,67.99,67.99,67.99,67.99,0
20191031T,75.89,75.89,75.89,75.89,0
20191101T,67.03,67.03,67.03,67.03,0
20191104T,74.21,74.21,74.21,74.21,0
20191105T,76.6,76.6,76.6,76.6,0
20191106T,71.56,71.56,71.56,71.56,0
20191107T,81.96,81.96,81.96,81.96,0
20191108T,87.34,87.34,87.34,87.34,0
20191111T,98.06,98.06,98.06,98.06,0
20191112T,98.06,98.06,98.06,98.06,0
20191113T,99.98,99.98,99.98,99.98,0
20191114T,100.0,100.0,100.0,100.0,0
20191115T,66.45,66.45,66.45,66.45,0
20191118T,63.59,63.59,63.59,63.59,0
20191119T,81.1,81.1,81.1,81.1,0
20191120T,78.98,78.98,78.98,78.98,0
20191121T,53.33,53.33,53.33,53.33,0
20191122T,72.14,72.14,72.14,72.14,0
20191125T,85.14,85.14,85.14,85.14,0
20191126T,97.12,97.12,97.12,97.12,0
20191127T,65.01,65.01,65.01,65.01,0
20191128T,80.42,80.42,80.42,80.42,0
20191129T,62.68,62.68,62.68,62.68,0
20191202T,74.51,74.51,74.51,74.51,0
20191203T,67.75,67.75,67.75,67.75,0
20191204T,59.98,59.98,59.98,59.98,0
20191205T,68.02,68.02,68.02,68.02,0
20191206T,68.73,68.73,68.73,68.73,0
20191209T,60.63,60.63,60.63,60.63,0
20191210T,67.51,67.51,67.51,67.51,0
20191211T,85.23,85.23,85.23,85.23,0
20191212T,73.46,73.46,73.46,73.46,0
20191213T,56.29,56.29,56.29,56.29,0
20191216T,71.12,71.12,71.12,71.12,0
20191217T,54.76,54.76,54.76,54.76,0
20191218T,69.64,69.64,69.64,69.64,0
20191219T,57.61,57.61,57.61,57.61,0
20191220T,51.53,51.53,51.53,51.53,0
20191223T,81.74,81.74,81.74,81.74,0
20191224T,74.92,74.92,74.92,74.92,0
20191225T,74.92,74.92,74.92,74.92,0
20191226T,80.56,80.56,80.56,80.56,0
20191227T,70.63,70.63,70.63,70.63,0
20191230T,73.47,73.47,73.47,73.47,0
20191231T,60.01,60.01,60.01,60.01,0
20200101T,76.14,76.14,76.14,76.14,0
20200102T,62.94,62.94,62.94,62.94,0
20200103T,58.58,58.58,58.58,58.58,0
20200106T,76.46,76.46,76.46,76.46,0
20200107T,83.8,83.8,83.8,83.8,0
20200108T,66.59,66.59,66.59,66.59,0
20200109T,70.48,70.48,70.48,70.48,0
20200110T,62.51,62.51,62.51,62.51,0
20200113T,68.49,68.49,68.49,68.49,0
20200114T,83.76,83.76,83.76,83.76,0
20200115T,67.05,67.05,67.05,67.05,0
20200116T,68.69,68.69,68.69,68.69,0
20200117T,47.29,47.29,47.29,47.29,0
20200120T,31.87,31.87,31.87,31.87,0
20200121T,73.15,73.15,73.15,73.15,0
20200122T,80.63,80.63,80.63,80.63,0
20200123T,54.17,54.17,54.17,54.17,0
20200124T,64.5,64.5,64.5,64.5,0
20200127T,80.47,80.47,80.47,80.47,0
20200128T,57.69,57.69,57.69,57.69,0
20200129T,92.12,92.12,92.12,92.12,0
20200130T,100.0,100.0,100.0,100.0,0
20200131T,65.02,65.02,65.02,65.02,0
20200203T,76.3,76.3,76.3,76.3,0
20200204T,69.75,69.75,69.75,69.75,0
20200205T,74.34,74.34,74.34,74.34,0
20200206T,71.1,71.1,71.1,71.1,0
20200207T,78.83,78.83,78.83,78.83,0
20200210T,51.61,51.61,51.61,51.61,0
20200211T,60.3,60.3,60.3,60.3,0
20200212T,67.22,67.22,67.22,67.22,0
20200213T,55.81,55.81,55.81,55.81,0
20200214T,63.61,63.61,63.61,63.61,0
20200217T,71.7,71.7,71.7,71.7,0
20200218T,70.17,70.17,70.17,70.17,0
20200219T,39.63,39.63,39.63,39.63,0
20200220T,71.95,71.95,71.95,71.95,0
20200221T,71.95,71.95,71.95,71.95,0
20200224T,59.82,59.82,59.82,59.82,0
20200225T,54.53,54.53,54.53,54.53,0
20200226T,73.62,73.62,73.62,73.62,0
20200227T,72.5,72.5,72.5,72.5,0
20200228T,64.45,64.45,64.45,64.45,0
20200302T,67.86,67.86,67.86,67.86,0
20200303T,70.35,70.35,70.35,70.35,0
20200304T,75.17,75.17,75.17,75.17,0
20200305T,61.89,61.89,61.89,61.89,0
20200306T,99.69,99.69,99.69,99.69,0
20200309T,100.0,100.0,100.0,100.0,0
20200310T,100.0,100.0,100.0,100.0,0
20200311T,67.38,67.38,67.38,67.38,0
20200312T,100.0,100.0,100.0,100.0,0
20200313T,91.9,91.9,91.9,91.9,0
20200316T,75.0,75.0,75.0,75.0,0
20200317T,83.13,83.13,83.13,83.13,0
20200318T,72.24,72.24,72.24,72.24,0
20200319T,96.11,96.11,96.11,96.11,0
20200320T,63.63,63.63,63.63,63.63,0
20200323T,77.06,77.06,77.06,77.06,0
20200324T,63.27,63.27,63.27,63.27,0
20200325T,65.02,65.02,65.02,65.02,0
20200326T,86.79,86.79,86.79,86.79,0
20200327T,94.43,94.43,94.43,94.43,0
20200330T,81.7,81.7,81.7,81.7,0
20200331T,99.16,99.16,99.16,99.16,0
20200401T,98.23,98.23,98.23,98.23,0
20200402T,98.23,98.23,98.23,98.23,0
20200403T,100.0,100.0,100.0,100.0,0
20200406T,100.0,100.0,100.0,100.0,0
20200407T,99.73,99.73,99.73,99.73,0
20200408T,100.0,100.0,100.0,100.0,0
20200409T,100.0,100.0,100.0,100.0,0
20200410T,100.0,100.0,100.0,100.0,0
20200413T,99.19,99.19,99.19,99.19,0
20200415T,98.58,98.58,98.58,98.58,0
20200416T,100.0,100.0,100.0,100.0,0
20200417T,100.0,100.0,100.0,100.0,0
20200420T,100.0,100.0,100.0,100.0,0
20200421T,56.77,56.77,56.77,56.77,0
20200422T,66.67,66.67,66.67,66.67,0
20200423T,66.69,66.69,66.69,66.69,0
20200424T,82.13,82.13,82.13,82.13,0
20200427T,74.57,74.57,74.57,74.57,0
20200428T,79.14,79.14,79.14,79.14,0
20200429T,77.54,77.54,77.54,77.54,0
20200430T,68.28,68.28,68.28,68.28,0
20200501T,68.28,68.28,68.28,68.28,0
20200504T,69.02,69.02,69.02,69.02,0
20200505T,29.01,29.01,29.01,29.01,0
20200506T,72.53,72.53,72.53,72.53,0
20200507T,81.18,81.18,81.18,81.18,0
20200508T,85.45,85.45,85.45,85.45,0
20200511T,84.1,84.1,84.1,84.1,0
20200512T,69.74,69.74,69.74,69.74,0
20200513T,77.61,77.61,77.61,77.61,0
20200514T,63.83,63.83,63.83,63.83,0
20200515T,57.35,57.35,57.35,57.35,0
20200518T,70.02,70.02,70.02,70.02,0
20200519T,67.45,67.45,67.45,67.45,0
20200520T,59.95,59.95,59.95,59.95,0
20200521T,62.34,62.34,62.34,62.34,0
20200522T,41.34,41.34,41.34,41.34,0
20200525T,41.34,41.34,41.34,41.34,0
20200526T,61.78,61.78,61.78,61.78,0
20200527T,49.96,49.96,49.96,49.96,0
20200528T,66.67,66.67,66.67,66.67,0
20200529T,67.23,67.23,67.23,67.23,0
20200601T,80.48,80.48,80.48,80.48,0
20200602T,79.49,79.49,79.49,79.49,0
20200603T,77.66,77.66,77.66,77.66,0
20200604T,84.32,84.32,84.32,84.32,0
20200605T,79.46,79.46,79.46,79.46,0
20200608T,100.0,100.0,100.0,100.0,0
20200609T,100.0,100.0,100.0,100.0,0
20200610T,77.42,77.42,77.42,77.42,0
