date,open,high,low,close,volume
20241028T,47.97,47.97,47.97,47.97,0
20241029T,25.81,25.81,25.81,25.81,0
20241030T,30.92,30.92,30.92,30.92,0
20241031T,17.77,17.77,17.77,17.77,0
20241101T,17.5,17.5,17.5,17.5,0
20241104T,15.1,15.1,15.1,15.1,0
20241105T,16.05,16.05,16.05,16.05,0
20241106T,14.98,14.98,14.98,14.98,0
20241107T,28.04,28.04,28.04,28.04,0
20241108T,23.13,23.13,23.13,23.13,0
20241111T,26.82,26.82,26.82,26.82,0
20241112T,18.02,18.02,18.02,18.02,0
20241113T,23.51,23.51,23.51,23.51,0
20241114T,25.51,25.51,25.51,25.51,0
20241118T,20.22,20.22,20.22,20.22,0
20241119T,22.74,22.74,22.74,22.74,0
20241120T,22.74,22.74,22.74,22.74,0
20241121T,30.19,30.19,30.19,30.19,0
20241122T,20.52,20.52,20.52,20.52,0
20241125T,33.78,33.78,33.78,33.78,0
20241126T,29.9,29.9,29.9,29.9,0
20241127T,20.24,20.24,20.24,20.24,0
20241128T,39.43,39.43,39.43,39.43,0
20241129T,35.76,35.76,35.76,35.76,0
20241202T,20.06,20.06,20.06,20.06,0
20241203T,36.27,36.27,36.27,36.27,0
20241204T,28.58,28.58,28.58,28.58,0
20241205T,20.54,20.54,20.54,20.54,0
20241206T,17.52,17.52,17.52,17.52,0
20241209T,22.75,22.75,22.75,22.75,0
20241210T,17.44,17.44,17.44,17.44,0
20241211T,18.95,18.95,18.95,18.95,0
20241212T,14.34,14.34,14.34,14.34,0
20241213T,19.29,19.29,19.29,19.29,0
20241216T,31.02,31.02,31.02,31.02,0
20241217T,18.34,18.34,18.34,18.34,0
20241218T,19.58,19.58,19.58,19.58,0
20241219T,17.2,17.2,17.2,17.2,0
20241220T,31.52,31.52,31.52,31.52,0
20241223T,17.65,17.65,17.65,17.65,0
20241224T,24.48,24.48,24.48,24.48,0
20241225T,24.48,24.48,24.48,24.48,0
20241226T,26.61,26.61,26.61,26.61,0
20241227T,25.82,25.82,25.82,25.82,0
20241230T,19.77,19.77,19.77,19.77,0
20241231T,22.39,22.39,22.39,22.39,0
20250101T,20.57,20.57,20.57,20.57,0
20250102T,23.84,23.84,23.84,23.84,0
20250103T,25.6,25.6,25.6,25.6,0
20250106T,27.99,27.99,27.99,27.99,0
20250107T,22.83,22.83,22.83,22.83,0
20250108T,34.18,34.18,34.18,34.18,0
20250109T,34.42,34.42,34.42,34.42,0
20250110T,25.74,25.74,25.74,25.74,0
20250113T,26.97,26.97,26.97,26.97,0
20250114T,19.84,19.84,19.84,19.84,0
20250115T,20.98,20.98,20.98,20.98,0
20250116T,23.83,23.83,23.83,23.83,0
20250117T,28.94,28.94,28.94,28.94,0
20250120T,24.41,24.41,24.41,24.41,0
20250121T,21.95,21.95,21.95,21.95,0
20250122T,30.31,30.31,30.31,30.31,0
20250123T,25.05,25.05,25.05,25.05,0
20250124T,28.69,28.69,28.69,28.69,0
20250127T,19.1,19.1,19.1,19.1,0
20250128T,23.18,23.18,23.18,23.18,0
20250129T,17.83,17.83,17.83,17.83,0
20250130T,23.69,23.69,23.69,23.69,0
20250131T,13.02,13.02,13.02,13.02,0
20250203T,19.25,19.25,19.25,19.25,0
20250204T,19.2,19.2,19.2,19.2,0
20250205T,21.41,21.41,21.41,21.41,0
20250206T,28.31,28.31,28.31,28.31,0
20250207T,18.33,18.33,18.33,18.33,0
20250210T,26.22,26.22,26.22,26.22,0
20250211T,31.76,31.76,31.76,31.76,0
20250212T,15.49,15.49,15.49,15.49,0
20250213T,14.0,14.0,14.0,14.0,0
20250214T,25.5,25.5,25.5,25.5,0
20250217T,18.1,18.1,18.1,18.1,0
20250218T,20.98,20.98,20.98,20.98,0
20250219T,16.38,16.38,16.38,16.38,0
20250220T,14.54,14.54,14.54,14.54,0
20250221T,25.04,25.04,25.04,25.04,0
20250224T,18.87,18.87,18.87,18.87,0
20250225T,19.5,19.5,19.5,19.5,0
20250227T,25.58,25.58,25.58,25.58,0
20250228T,23.88,23.88,23.88,23.88,0
20250303T,19.49,19.49,19.49,19.49,0
20250304T,17.81,17.81,17.81,17.81,0
20250305T,26.04,26.04,26.04,26.04,0
20250306T,31.66,31.66,31.66,31.66,0
20250307T,20.37,20.37,20.37,20.37,0
20250310T,35.04,35.04,35.04,35.04,0
20250311T,27.62,27.62,27.62,27.62,0
20250312T,28.4,28.4,28.4,28.4,0
20250313T,31.74,31.74,31.74,31.74,0
20250317T,28.73,28.73,28.73,28.73,0
20250318T,36.85,36.85,36.85,36.85,0
20250319T,32.6,32.6,32.6,32.6,0
20250320T,36.39,36.39,36.39,36.39,0
20250321T,32.92,32.92,32.92,32.92,0
20250324T,29.04,29.04,29.04,29.04,0
20250325T,29.77,29.77,29.77,29.77,0
20250326T,24.52,24.52,24.52,24.52,0
20250327T,35.19,35.19,35.19,35.19,0
20250328T,29.59,29.59,29.59,29.59,0
20250401T,30.53,30.53,30.53,30.53,0
20250402T,36.17,36.17,36.17,36.17,0
20250403T,27.34,27.34,27.34,27.34,0
20250404T,36.25,36.25,36.25,36.25,0
20250407T,33.56,33.56,33.56,33.56,0
20250408T,25.51,25.51,25.51,25.51,0
20250409T,26.76,26.76,26.76,26.76,0
20250411T,30.02,30.02,30.02,30.02,0
20250415T,33.83,33.83,33.83,33.83,0
20250416T,32.46,32.46,32.46,32.46,0
20250417T,18.51,18.51,18.51,18.51,0
20250421T,32.74,32.74,32.74,32.74,0
20250422T,17.94,17.94,17.94,17.94,0
20250423T,12.06,12.06,12.06,12.06,0
20250424T,20.6,20.6,20.6,20.6,0
20250425T,31.01,31.01,31.01,31.01,0
20250428T,23.97,23.97,23.97,23.97,0
20250429T,35.09,35.09,35.09,35.09,0
20250430T,40.72,40.72,40.72,40.72,0
20250502T,33.8,33.8,33.8,33.8,0
20250505T,26.59,26.59,26.59,26.59,0
20250506T,37.22,37.22,37.22,37.22,0
20250507T,28.04,28.04,28.04,28.04,0
20250508T,32.08,32.08,32.08,32.08,0
20250509T,33.11,33.11,33.11,33.11,0
20250512T,44.22,44.22,44.22,44.22,0
20250513T,39.83,39.83,39.83,39.83,0
20250514T,32.3,32.3,32.3,32.3,0
20250515T,34.65,34.65,34.65,34.65,0
20250516T,32.31,32.31,32.31,32.31,0
20250519T,30.94,30.94,30.94,30.94,0
20250520T,30.05,30.05,30.05,30.05,0
20250521T,38.73,38.73,38.73,38.73,0
20250522T,20.41,20.41,20.41,20.41,0
20250523T,22.86,22.86,22.86,22.86,0
20250526T,30.38,30.38,30.38,30.38,0
20250527T,38.48,38.48,38.48,38.48,0
20250528T,40.41,40.41,40.41,40.41,0
20250529T,28.22,28.22,28.22,28.22,0
20250530T,25.91,25.91,25.91,25.91,0
20250602T,36.61,36.61,36.61,36.61,0
20250603T,32.33,32.33,32.33,32.33,0
20250604T,27.68,27.68,27.68,27.68,0
20250605T,25.83,25.83,25.83,25.83,0
20250606T,34.48,34.48,34.48,34.48,0
20250609T,42.02,42.02,42.02,42.02,0
20250610T,27.67,27.67,27.67,27.67,0
20250611T,24.48,24.48,24.48,24.48,0
20250612T,28.57,28.57,28.57,28.57,0
20250613T,31.35,31.35,31.35,31.35,0
20250616T,32.15,32.15,32.15,32.15,0
20250617T,44.22,44.22,44.22,44.22,0
20250618T,41.53,41.53,41.53,41.53,0
20250619T,30.51,30.51,30.51,30.51,0
20250620T,39.71,39.71,39.71,39.71,0
20250623T,20.07,20.07,20.07,20.07,0
20250624T,18.0,18.0,18.0,18.0,0
20250625T,23.61,23.61,23.61,23.61,0
20250626T,23.94,23.94,23.94,23.94,0
20250627T,21.29,21.29,21.29,21.29,0
20250630T,21.91,21.91,21.91,21.91,0
20250701T,27.13,27.13,27.13,27.13,0
20250702T,33.12,33.12,33.12,33.12,0
20250703T,21.31,21.31,21.31,21.31,0
20250704T,25.41,25.41,25.41,25.41,0
20250707T,39.2,39.2,39.2,39.2,0
20250708T,27.8,27.8,27.8,27.8,0
20250709T,21.33,21.33,21.33,21.33,0
20250710T,23.44,23.44,23.44,23.44,0
20250711T,25.11,25.11,25.11,25.11,0
20250714T,25.04,25.04,25.04,25.04,0
20250715T,24.04,24.04,24.04,24.04,0
20250716T,20.27,20.27,20.27,20.27,0
20250717T,30.64,30.64,30.64,30.64,0
20250718T,29.68,29.68,29.68,29.68,0
20250721T,27.32,27.32,27.32,27.32,0
20250722T,24.34,24.34,24.34,24.34,0
20250723T,25.14,25.14,25.14,25.14,0
20250724T,28.45,28.45,28.45,28.45,0
20250725T,36.25,36.25,36.25,36.25,0
20250728T,38.24,38.24,38.24,38.24,0
20250729T,16.78,16.78,16.78,16.78,0
20250730T,25.53,25.53,25.53,25.53,0
20250731T,29.02,29.02,29.02,29.02,0
20250801T,25.48,25.48,25.48,25.48,0
20250804T,27.11,27.11,27.11,27.11,0
20250805T,36.79,36.79,36.79,36.79,0
20250806T,31.59,31.59,31.59,31.59,0
20250807T,29.16,29.16,29.16,29.16,0
20250808T,33.31,33.31,33.31,33.31,0
20250811T,27.79,27.79,27.79,27.79,0
20250812T,24.97,24.97,24.97,24.97,0
20250813T,48.48,48.48,48.48,48.48,0
20250814T,26.87,26.87,26.87,26.87,0
20250818T,32.6,32.6,32.6,32.6,0
20250819T,24.56,24.56,24.56,24.56,0
20250820T,41.04,41.04,41.04,41.04,0
20250821T,33.45,33.45,33.45,33.45,0
20250822T,36.83,36.83,36.83,36.83,0
20250825T,28.13,28.13,28.13,28.13,0
20250826T,59.96,59.96,59.96,59.96,0
20250828T,24.16,24.16,24.16,24.16,0
20250829T,14.5,14.5,14.5,14.5,0
20250901T,32.65,32.65,32.65,32.65,0
20250902T,17.06,17.06,17.06,17.06,0
20250903T,22.77,22.77,22.77,22.77,0
20250904T,26.59,26.59,26.59,26.59,0
20250905T,21.07,21.07,21.07,21.07,0
20250908T,31.84,31.84,31.84,31.84,0
20250909T,26.66,26.66,26.66,26.66,0
20250910T,27.08,27.08,27.08,27.08,0
20250911T,13.2,13.2,13.2,13.2,0
20250912T,16.05,16.05,16.05,16.05,0
20250915T,19.55,19.55,19.55,19.55,0
20250916T,24.17,24.17,24.17,24.17,0
20250917T,20.19,20.19,20.19,20.19,0
20250918T,33.68,33.68,33.68,33.68,0
20250919T,32.48,32.48,32.48,32.48,0
20250922T,27.65,27.65,27.65,27.65,0
20250923T,27.94,27.94,27.94,27.94,0
20250924T,20.98,20.98,20.98,20.98,0
20250925T,28.74,28.74,28.74,28.74,0
20250926T,27.02,27.02,27.02,27.02,0
20250929T,22.81,22.81,22.81,22.81,0
20250930T,24.5,24.5,24.5,24.5,0
20251001T,18.98,18.98,18.98,18.98,0
20251003T,21.73,21.73,21.73,21.73,0
20251006T,25.33,25.33,25.33,25.33,0
20251007T,29.41,29.41,29.41,29.41,0
20251008T,32.16,32.16,32.16,32.16,0
20251009T,28.4,28.4,28.4,28.4,0
20251010T,30.62,30.62,30.62,30.62,0
20251013T,26.99,26.99,26.99,26.99,0
20251014T,24.31,24.31,24.31,24.31,0
20251015T,26.36,26.36,26.36,26.36,0
