date,open,high,low,close,volume
20191001T,55.41,55.41,55.41,55.41,0
20191003T,51.03,51.03,51.03,51.03,0
20191004T,85.33,85.33,85.33,85.33,0
20191007T,66.32,66.32,66.32,66.32,0
20191008T,66.32,66.32,66.32,66.32,0
20191009T,61.19,61.19,61.19,61.19,0
20191010T,53.62,53.62,53.62,53.62,0
20191011T,81.93,81.93,81.93,81.93,0
20191014T,68.17,68.17,68.17,68.17,0
20191015T,68.29,68.29,68.29,68.29,0
20191016T,29.76,29.76,29.76,29.76,0
20191017T,53.34,53.34,53.34,53.34,0
20191018T,26.18,26.18,26.18,26.18,0
20191021T,26.18,26.18,26.18,26.18,0
20191022T,33.7,33.7,33.7,33.7,0
20191023T,36.08,36.08,36.08,36.08,0
20191024T,50.19,50.19,50.19,50.19,0
20191025T,27.61,27.61,27.61,27.61,0
20191028T,57.26,57.26,57.26,57.26,0
20191029T,55.32,55.32,55.32,55.32,0
20191030T,48.47,48.47,48.47,48.47,0
20191031T,48.15,48.15,48.15,48.15,0
20191101T,57.13,57.13,57.13,57.13,0
20191104T,69.92,69.92,69.92,69.92,0
20191105T,79.9,79.9,79.9,79.9,0
20191106T,37.17,37.17,37.17,37.17,0
20191107T,58.7,58.7,58.7,58.7,0
20191108T,35.08,35.08,35.08,35.08,0
20191111T,60.4,60.4,60.4,60.4,0
20191112T,60.4,60.4,60.4,60.4,0
20191113T,57.32,57.32,57.32,57.32,0
20191114T,16.31,16.31,16.31,16.31,0
20191115T,53.29,53.29,53.29,53.29,0
20191118T,79.52,79.52,79.52,79.52,0
20191119T,58.95,58.95,58.95,58.95,0
20191120T,88.6,88.6,88.6,88.6,0
20191121T,51.76,51.76,51.76,51.76,0
20191122T,54.89,54.89,54.89,54.89,0
20191125T,65.05,65.05,65.05,65.05,0
20191126T,32.49,32.49,32.49,32.49,0
20191127T,73.43,73.43,73.43,73.43,0
20191128T,66.34,66.34,66.34,66.34,0
20191129T,47.12,47.12,47.12,47.12,0
20191202T,76.77,76.77,76.77,76.77,0
20191203T,77.96,77.96,77.96,77.96,0
20191204T,59.64,59.64,59.64,59.64,0
20191205T,38.48,38.48,38.48,38.48,0
20191206T,70.6,70.6,70.6,70.6,0
20191209T,55.2,55.2,55.2,55.2,0
